label,comments,ID,id
2,Chả ai nói 5tr nhỏ. Cái ngta nói là câu chuyện đằng sau đó. Sao cứ phải lên giọng trịch thượng trong khi còn ko hiểu rõ cái vấn đề????,25.0,
2,r bạn nghỉ 1 đứa con gái vừa làm nuôi con mà có nhận đc trợ cấp có 5tr bạn nghỉ 5tr đó to quá nuôi tốt 1 đứa trẻ à,26.0,
0,ngta nói là 5tr so sánh với thu nhập cao của Jack chứ ko ai phán xét số 5tr đó ít hay nh. nuôi con chẳng bh là đủ cả nếu muốn con bằng bạn bằng bè,27.0,
0,"công dân bình thường thì ai nói bác ơi…quả này là hót họt ngta mới đáng nhắc tới chứ bác..bác căng thế,",28.0,
2,"Chấp làm gì đám thanh niên tik tok này hả bác  chắc j tụi nó chửi bới ở đây, tháng làm ra đc nổi 5tr chứ ",29.0,
0,Căn bản lượng thu nhập là bao nhiêu m kiếm vài trăm tr một tháng chu cấp cho con vỏn vẹn 5tr ở thành phố lớn 5tr ko đủ tiền sinh hoạt cho trẻ,30.0,
0,người ta giáp người ta bảo nuôi con năm triệu của ai đó nhưng ngt có chê 5 triệu đó bé đâu,31.0,
0,vậy b có con chưa b ơi.chưa kể lúc ốm đau hay con đi viện bạn nhỉ.tiền sữa ăn học ko cũng 5tr nhé.,33.0,
1,""" thử đi lấy vợ rồi có con riêng xem "" ? về bảo bố m vậy nhá",34.0,
2,5 triệu = 1 Jack đó ạ,35.0,
2,ông cháu k biết cái gì cả.bó ra bao nhiêu tiền gặp Messi nhưng nuôi con 5tr 1 tháng,36.0,
0,"vậy chắc bạn rất vất vả ms kiếm dc 5tr nên b nghĩ nó to , tôi nghèo nhưg 1 tháng 2 con hơn chục k đủ lo cho con b nhé",37.0,
-1,Jay JQKA2 báo sâm. nghĩa câu này là gì nhỉ,38.0,
-1,"hợp vần th bn,chứ câu messi vs jack lquan gì đâu =)))",39.0,
-1,khịa đó,40.0,
-1,"Liên quan mà, jack chụp hình dới messi đó =]]",41.0,
0,Ko biết vụ messi với jack à fen,42.0,
0,Jack lấy hình ảnh messi vào MV khi k xin phép đó,43.0,
0,"Sai r bn, câu đấy là câu để chốt là win r ý, câu trc ""xg vụ này ik"" là kết thúc màn rap ý bn, vừa vần vừa nghĩa nhe",44.0,
0,Không có gì là không liên quan đâu :))))),45.0,
0,vì nó thích ,46.0,
0,xuanpac có cái biệt danh JayJ thì thêm QKA2 thành dây jqka2 chả báo sâm =))),47.0,
0,biết chơi sâm k bác :v,48.0,
0,mình lại ko hiểu theo nghĩa đen :))),49.0,
-1,Jack đó,50.0,
-1,Sảnh rồng :))),51.0,
0,đây là battle khen jay jqka2 báo sâm là đang khen bên kia chắc chắn thắng ấy :))))),52.0,
0,cứ tưởng nó có liên quan đến troll rách :)),53.0,
-1,thanh niên chưa trải,55.0,
1,"Câu thương hiệu của XuanPac, k có nghĩa gì cụ thể nhma nó vui nhạc XuanPac mà k có ""JQKA báo sâm chết con cụ m đi thì k phải nhạc"" XuanPac",56.0,
0,Jay Z là tên rapper còn JQKA2 là báo sâm đó b :)),57.0,
0,Cái này là battle khen đối thủ hả,58.0,
-1,này là thể loại rap j vậy mn k hiểu lắm,59.0,
-1,khen đối thủ :))),60.0,
-1,battle rap no beat,61.0,
-1,battlefreestyle,62.0,
-1,"battle freestyle khác nhé. Này là có chuẩn bị trước, lúc đấu ứng biến thêm thôi",63.0,
-1,nhầm nhầm sr,64.0,
-1,Battle rap no beat,65.0,
-1,no beat,67.0,
-1,Rap vần,68.0,
1,Rap kiểu lò gì vậy,69.0,
-1,rap kiểu rap,70.0,
-1,rap battle no beat thể loại khen nhau ,71.0,
1,rap xl á tuổi trẻ bây h nghe vậy là hay cười haha mà mình chả thấy hay ho j,72.0,
1,rap cai lol que,73.0,
2,"hiểu đơn giản là rap nâng tầm đối thủ, còn nói nó thô tý là rap tự nhục",74.0,
0,má đến phần tao nuôi con 5 triệu moẹ cười phột luôn may là ko ăn cơm,75.0,
-1,Thế đi thay quần đi ,76.0,
2,Văn hoá giới trẻ giờ nó lạ thật :)),78.0,
0,"cái này có từ chục năm trc r,",79.0,
0,Giờ mới biết xong kêu bây giờ lạ =)),80.0,
0,Này nó ra đời từ thời bạn chưa đc nặn ra .,81.0,
2,bọn này cho ăn học cho phí bạn,82.0,
-1,kid,83.0,
0,ông mới lạ á ông ơi :))),84.0,
-1,"Đại Vũ ơi, Phúc Du tới kìa",85.0,
-1,xuanpac kẻ luôn chiếm spotlight :)),86.0,
-1,:)) mỗi lần lên hài thì thôi rồi,87.0,
2,hỏng 1 thế hệ,88.0,
0,Chuẩn bác,89.0,
-1,Thật sự :)),90.0,
0,bác lại overthingking r,91.0,
1,hỏng thế dell nào lên án thứ đàn ông ko có trách no mà hỏng là hỏng chỗ mẹ nào hay you là jack thứ 2 :))),92.0,
-1,is not that deep,93.0,
2,Cụ đi tàu sáu ván r mà con cháu vác lên cho chết lần nữa. Chịu thế hệ,94.0,
2,J97 không cay đâu ,95.0,
0,ô người anh em,96.0,
0,ô người ae ,97.0,
0,"ô người anh em , đi comment dạo à",98.0,
0,chắc là k cay đâu,100.0,
2,caydodai thôi,101.0,
2,nó có coi mấy loại này đâu mà cay,102.0,
2,thì nó có phải rapper đâu mà coi ,103.0,
0,nhầm. ST và J97 đều biết rap và xuất nghề có liên quan tới rap,104.0,
2,nhưng giờ ai công nhận dách là ráp bơ ,105.0,
2,mà rap được vài câu cũng được gọi là ráp bơ thì anh cũng đã là ráp bơ rồi,106.0,
3,namki,107.0,
2,Rap hay là hài độc thoại vậy,108.0,
0,hài độc thoại gọi battle rap bằng cụ,109.0,
0,battle rap gọi hài đọc thoại bằng ông nội,110.0,
2,chả ai cãi làm gì. 1 cái phải mồi setup cả buổi để chốt câu cuối nhạt nhẽo; 1 cái cứ 2 câu 1 câu setup 1 punchline chốt liên tục cả trận thì đủ hiểu cái nào hay hơn rồi ,111.0,
0,"Battle no beat rap, cho ai chưa biết đây là 1 trong những cái nôi sinh ra Phúc Du",112.0,
0,cười hơn hài độc thoại ,113.0,
2,đây là battel rap no beat việc học quan trọng lắm con,115.0,
1,cho hỏi là rap thì liên quan con mẹ j vc học,116.0,
1,mầy không học thì mầy comment là hài độc thoại à ? chứ mầy biết nó là cái đéo gì,117.0,
1,"học flow, học vần, học punchline?học kiến thức xã hội để battle chứ cc gì?",118.0,
0,Battel cơ à =))))))))))),119.0,
0,Mình cũng thấy hợp vs hài độc thoại. Hay ai gửi cho rách hộ cái,120.0,
0,battle rap nó thế mà,121.0,
-1,Ah thế ah,122.0,
0,chuẩn mà bạn. động vào idol mến à kkk,123.0,
0,Ko. Bạn là nhất,124.0,
0,Chương trình j đây ae,125.0,
-1,dissneeland,126.0,
-1,tên khác r ní xneeland,127.0,
0,:))) nó vẫn là dissneeland chẳng qua số 9 k phong thuỷ nên mc ill lấy xneeland :)) bạn nhé,128.0,
0,Đây là dissneeland 9 đó ,129.0,
0,Dissneeland 9 có lâu rồi nma chỉ cho thành viên đăng ký trên YouTube xem được thôi,130.0,
0,X chính là 9 đó bạn ,131.0,
0,the voice kid nhé bạn,132.0,
-1,Chủi lọn,133.0,
0,hhh nhưng mà em thấy nội dung nó hơi ko có hiểu,134.0,
0,dù hiểu đang khịa ai nma nội dung liên kết ấy ạ,135.0,
-1,Đ có beat nó cứ kiểu gì í :))),136.0,
-1,freestyle mà,137.0,
0,"Tôi bt tôi cũng hay ra hồ giảng võ xem , nhưng mà thích nghe beat hơn ",138.0,
0,Mấy cái này muốn có beat cũg đc nhưg mà hình như ít bên nc ngoài cũg z,139.0,
0,này là battle no beat chứ k phải freestyle,140.0,
0,No beat nó k phải freestyle,141.0,
0,Bộ môn này là ko beat mà ,142.0,
0,Bt mà ,143.0,
2,thế bạn hiểu gì về rap ?,144.0,
0,T đ hiểu gì về rap nhưng t chơi dc freestyle t đớp dc boom bap t xoáy dc trap beat t nhảy dc type beat :/ mới chơi freestyle dc 2 năm b ơi :(( còn nghe rap thì từ lúc nào ko nhớ ạ ,145.0,
2,B đọc hiểu có vấn đề à mà hỏi lại mình kiểu vậy ? Thế b hiểu gì về rap ?,146.0,
0,Đây là nghệ thuật gì,147.0,
0,này là chửi nhau hả,148.0,
0,battle khen mà ông,149.0,
0," sao tui thấy như kiểu chửi ý, chắc tại tui ko hợp cái này",150.0,
2,ông ngây thơ thật kkk,151.0,
0,đỉnh cao của chửi là tưởnng nó khen mình,152.0,
0,Này là làm thơ bạn ơi,153.0,
2,chửi. chửi rách 5 củ ,154.0,
0,hài độc thoại à,155.0,
-1,độc thoại khác ạ,156.0,
0,Nhìn mặt ông này cứ như ông dưa leo ấy,157.0,
-1,@_k_Trang_ thấm đii elm,158.0,
-1,Thấm ko nổi á,159.0,
3,Sao tụi bay cứ parky namky v,160.0,
0,Có thể k phải Người VN,161.0,
-1,hoặc b biết tại sao bf ít pbvm r đấy,162.0,
-1,nhai á,163.0,
2,gia phả hình tròn hay nói thế,164.0,
2,domdom con nó cay,165.0,
-1,Nick ảo tụi phản động ý mà,166.0,
0,kệ mấy thằng lăng nhăng đó đi,167.0,
-1,@dha @nguieen @hui @Ducsenpaiii clm hài,168.0,
-1,hetcuu(  ŏ  ŏ ),169.0,
-1,@kim châu hiểu k,170.0,
0,hiểu nha,171.0,
-1,@Doeee :v,172.0,
2,Mặt buồn cười vchhh,173.0,
0,@Thanh Ngân nhìn mặt nó kìaaaa bưm! thần thái thế ,174.0,
0,Phải tag Đức Anh vào :))),175.0,
0,jack ko bao giờ bỏ con,176.0,
-1,tác xa từ bao và giờ ra,177.0,
-1,@thww @Vieetz @kthuy. hay,178.0,
-1,là s ta,179.0,
2,khịa jack 5cu :),180.0,
-1,ranh4,182.0,
0,Pha khịa nay quá là vần luon,183.0,
0,Quan trọng vẫn là thần thái nha,184.0,
0,Nhìn mặt mà thấy nghiêm trọng vê lù,185.0,
-1,@Đăng Như iu theế,186.0,
0,mặt ổng hề ,187.0,
-1,Nín cười giữ lắm đó =))))),188.0,
-1,hài vkl ,189.0,
-1,battle khen hả mn ,190.0,
-1,Đúng rồi,191.0,
0,Nhìn mặt ông Xuân Pắc buồn cười,192.0,
0,Mặt anh ta tỉnh bơ ,193.0,
0,Nói chung là. Jack thì t biết chứ thằng này thì t chịu. ,194.0,
3,Bắc Nam là ae kí đầu cali,195.0,
0,t cười vì cái mặt của ổg:),196.0,
-1,Này là rap á,197.0,
0,Đây là cụ tổ của rap,198.0,
-1,hình như bất tiện khen giải trí thôi,199.0,
-1,Rap dis á.,200.0,
0,Battle khen dis đau ra,201.0,
-1,Thấy kiểu dis á,202.0,
0,Rap no beat! Có từ lâu r,203.0,
-1,battle mà,204.0,
0,chắc lần đầu xem nó thế,205.0,
0,chửi nhau có vần,207.0,
0,Bản chất của rap đó,208.0,
-1,battle no beat,209.0,
0,Rap no beat giải tự phát,210.0,
-1,Uh đr,211.0,
2,Rap gì kỳ vậy ?,212.0,
0,Này rap battle mà ôg nên ko có beat,213.0,
0,Sao nhìn eminem khác dữ vậy,214.0,
-1,Có hai loại một loại có beat một ko có,215.0,
0,Thấy trong phim eminem vẫn đấu như này nhưng có vần có nhịp đoàng hoàng mà ta đâu có giống đọc điếu như này,216.0,
-1,Mỗi người style khác nhau th,217.0,
2,Cái này là rap việt chứ k phải rap của người da màu đúng k  rap viẹt đã tiến hoá tới mức chơi 1 mình rồi,218.0,
-1,có battle theo nhạc và battle no beat nha,219.0,
2,Này giống là đối văn đối thơ nhau thì đúng hơn..chả thấy tính nhạc ở đâu thì sao gọi là nhạc rap???,220.0,
0,Mệt ghê ta giải thích cho bọn m khản cổ r mà cứ kêu ko phải=)),221.0,
0,Mấy cái này khỏi giải thích biết lâu rồi nhưng rõ ràng quan điểm đây ko phải là nhạc..trò chơi vui vẻ battle đối chữ vs nhau thì đúng,222.0,
2,Bọn rap fan tháng 8 mà :)),223.0,
0,Còn nói giống đọc văn điếu nữa chứ=)))),224.0,
-1,rap fan ag,225.0,
2,biết mà vẫn nói đc mấy câu này,226.0,
0,Là khác quan điểm thế thôi..,227.0,
2,Chịu ;))) mấy rap fan tháng 8,228.0,
2,"khác qdiem thì đừng nghe chứ cái freestyle battle này under từ cái thời nào r,chứ rap fan thì nên nghe rạp Việt thôi chứ mấy này trình đâu nghe",229.0,
2,Chắc nghe toàn mấy bài hot hot r bảo là rap fan=)),230.0,
0,Nhưng mà coi mấy trận beef on stage này gieo vần đỉnh thật. Giờ kh còn ai battle nhau nữa coi mấy này đỡ thèm ,231.0,
0,"Nói thật tôi vs nhiều ng khác nghe rap từ những thời LK,Eminem từ lâu lắm rồi và rất nhiều ng chả coi đây là nhạc..đừng ấu trĩ như vậy nữa..nhẹ nhàng khác quan điểm đừng thể hiện ok?",232.0,
2,"ừ thế bạn nghe tuef thờinLK ,Eminem nói được câu đó thì bạn phải hiểu rõ cái thời under k đc biết đến nhiều thì nó rap như nào nhé ,ấu trĩ ? b đang nói b nghe xưa thì t kể chứ b lôi qdiem vào là sai r",233.0,
0,"Thời trc nữa Tupac Biggie rap vẫn có tính nhạc vẫn feel quẩy theo dc nhé…còn thời LK,Eminem thì nhạc đã quá hay rồi ko bàn thêm",234.0,
0,Thôi cứ tự vui với nhau đi  nhìn hài thật sự  như kiểu hài đọc thoại,235.0,
0,"đây là rap battle no beat, không phải nhạc rap nhé vì nó không có tính nhạc.",236.0,
0,"eminem là freestyle r, còn ô này là đấu ko nhạc",237.0,
0,rap battle chứ có phải nhạc đâu mà đòi,238.0,
0,bruh bọn mễ nó chơi trước luôn ấy chứ ở đó mà ko với chả no  no beat punchline bọn ló chơi lâuuuuu r,239.0,
0,"đây là thể loại battle KOTD rap ko beat chuyên dùng để so punchline, fact, và cách đi flow, món này chỉ có miền Bắc là chơi nhiều vì trong Nam ko phổ biến môn này nên ko ai biết thôi",240.0,
-1,Nhưng nó k đọc văn điếu ,241.0,
0,"Eminem cũng chơi k nhạc kìa , nhưng nó k chơi văn điếu",242.0,
0,"Môn đọc văn điếu này cũng có người chơi nhiều à , có mấy chỗ này đi xem hài cũng vui",243.0,
0,"Đừng chỉ xem vài cái gameshow mà b đã nghĩ là mk hiểu hết về rap, trên truyền hình họ hướng tới nhiều lứa tuổi còn đây nó như là văn hoá gốc của rap",244.0,
2,Văn hoá rap từ dân da màu  còn Rap Việt này tiếng hoá thành 1 loại văn điếu chơi 1 mình ,245.0,
0,Cả rap game có mỗi eminem thôi à,246.0,
0,Thế thì chú thử tra suppahotfire vs blueface đi nhé,247.0,
2,"Nhưng ổng là rap god  t k chơi rap mà t cũng biết tên ổng , t ít nghe mà t cũng biết ổng , còn rap này giống hài đọc thoại t hay xem ",248.0,
2," Thôi các bạn cứ đọc hài đi , nghe cũng hay hay",249.0,
0,"Thế tại sao các chương trình đc mua từ nc ngoài vẫn phải đi theo kịch bản tựa bản gốc, rap từ da màu thì đi theo văn hoá gốc có sao đâu,b ko thích có thể lướt qua đv mà",250.0,
2,"K tui k thích lướt qua , tui thích khịa cái lũ này dc k , t rảnh mà  nhìn hài độc thoại mà k bình luận 1 câu nó k thú vị",251.0,
0,ôi anh đom đóm,252.0,
0,Ráp chửi đó,254.0,
-1,rft8,255.0,
0,Sao mặt nó tỉnh dữ z ,256.0,
0,Rất tỉnh và đẹp trai,257.0,
-1,yes yes,258.0,
3,parky là phe của Son tung nhé.,259.0,
0,Điểm nhấn ở đấy đấy,260.0,
3,parky,261.0,
3,namky bỏ con cay,262.0,
0,Phái cái biểu cảm ông này ghê ,263.0,
-1,@yp h,264.0,
-1,@Thuy Van Luong nhớ tới ai đó,265.0,
3,t mê parky này ,266.0,
3,namky,267.0,
3,namkiki,268.0,
2,cắn nhau kinh thế,269.0,
2,ϐׁׅ֒ố ׁׅ݊àᨮׁׅ֮ ỉɑׁׅ֮ ᥣׁׅ֪υׁׅôׁׅ ᥎ׁׅàᨵׁׅ ׁׅ݊ặtׁׅ ᝯׁả hׁׅ֮ọ ׁׅhׁׅ֮à ׁׅ݊àᨮׁׅ֮ ׁׅhׁׅ֮ɑׁׅ֮ tׁׅhׁׅ֮ằׁׅᧁׁ ׁׅᧁׁhׁׁׅׅ֮ệtׁׅ ׁׅ֒úᝯׁ,270.0,
-1,caliii,271.0,
2,hình như tụi m lệch lạc nhận thức á. rõ là t nói t mê cái rap này mà thấy mấy đứa tay nhanh hơn não á  mà toàn thấy avatar hoạt hình vs trù tượng. bạn bè của nhau hả ,272.0,
0,kiki lại đây cho xương nek,273.0,
-1,Còn t mê mm,274.0,
-1,mê cách m bị ngn hc,275.0,
2,ảnh hưởng m à? mê cái cách m thích chĩa mõm vào việc k phải của m ,276.0,
-1,em be banh bao chó : gâu gâu ẳg ẳg ứ ừ,277.0,
-1,[],278.0,
3,nammki là đom đóm hả,280.0,
0,Lên mạng kick war chửi bới pvbm thì hay lắm hả bạn,281.0,
3,Còn đỡ namky rap như tụng kinh,282.0,
3,Sắp đến ngày giải phóng namky rồi đấy ,283.0,
0,Jack đã xem và đánh giá,284.0,
0,thích cái cách anh ấy nhịn cươid,285.0,
2,Con tao mà nó học cái thẻ loại này chắc tao từ nó mất,286.0,
0,Ơ đây là rap khen à ,287.0,
-1,thì khen vế trước mà ,288.0,
0,Má coi mà cừ ná thở ,289.0,
2,Cái clip này t sẽ đăng khịa ck cũ t. Nuôi con 5tr mà cả lò nhà nó nghĩ nhiều rồi. 3tr thôi ,290.0,
0,jay không có vui đâu,291.0,
3,"fan rách 5 củ cay, đoé bt nói j mở mồm parky",292.0,
0,Kiểu này t mà lên chửi có khi còn mượt hơn ý chứ,293.0,
2,"Thấy hay là được hỏi hỏi lắm cl, cmay làm được gì cho xh rồi mà đòi hỏi lắm thế ?",294.0,
0,nhìn xuanpac cứ giống vi ngọc lan kiểu j ý,295.0,
2,Trẻ ranh giờ toán rác. Pbvm giống bọn thượng đẳng ngoại quốc nhỉ. S kg biến mẹ khỏi đất VN đi cho đỡ ô nhiễm,296.0,
-1,câu nào pbvm thế??,297.0,
0,phát biểu văn minh,298.0,
-1,Đọc bl ở dưới xem có pbvm kh,299.0,
0,mày đang nói với bài đăng mà.thằng nào pbvm thì chửi thằng đó mày đem lên bài đăng làm j.,300.0,
0,bình tĩnh nào anh zai. đây là sân chơi có quy củ đàng hoàng,301.0,
0,ngta đang nói mấy thằng cmt “parky namki” ở dứoi kìa,302.0,
2,chả hiểu hay ở đâu chửi bậy thế này bảo sao ngôn từ nó xuất phát từ đầu đường xó chợ,303.0,
-1,mày lon vai,304.0,
2,V chắc có cả mấy đứa bl pbvm lớn tuổi nhưng não không phát triển rồi,305.0,
0,cali k chỗ chĩa mõm ở đây,306.0,
0,bọn nó là Cali mà việt nam có chứa bọn này đâu,307.0,
2,Đúg rap j như chủi nhau lời rap thô tục,308.0,
-1,Jak 5 củ đấy hả,309.0,
0,10₫ ng anh em,310.0,
-1,nghe vui v=)),311.0,
2,Nhìn mặt nó rap tỉnh queo càng mắc cười ,312.0,
0,ngày xưa ở quê tui buổi tối ra đường là thấy đom đóm bay sáng rực mà bây giờ lâu lâu mới thấy đc 1 con ,313.0,
-1,@nhi kiều là kiều nhi @BNgoc @Vịt trời chuấtt,314.0,
0,Tao nuôi con 5tr. Má nó thâm ;)))) nuôi corgi hả,315.0,
-1,nuôi con chích choè ,316.0,
-1,tội bé sol m ,317.0,
0,jack buồn,318.0,
-1,Cayyyyy kkkk,319.0,
-1,Cười sảng,320.0,
-1,Hay chưa??,321.0,
0,đạp người khác xuống để đc nổi hơn đây mà.,322.0,
0,mặt ông cố này hài thật sự,323.0,
0,này không ghẹo bạn,324.0,
0,rap hay thế,325.0,
-1,fan jack đâu ,326.0,
3,parky chữi đc đấy,327.0,
-1,phân cali,328.0,
0,"Cali gì thằng này , nó ở Miền Nam thẳng căng đấy chứ Cali nào",329.0,
2,"Miền Nam thì sao??Bạn bt tại sao thủ đô k đặt ở miền nam k.Vì miền nam muốn theo tây,mất công giải phóng nó xong bh nó muốn phản động",330.0,
2,miền nam hay k thì nó cũng pbvm mẹ r:),331.0,
0,bố xin lỗi con trai nhé,332.0,
-1,ok .. rất vui nanki,333.0,
3,Parky gang bang má mày hay gì mà uất ức ,334.0,
3,namky cay ,335.0,
3,cali chính tả đc đấy,336.0,
-1,Túi lọc trà,337.0,
3,Chửi bọn namquỳ m đấy,338.0,
2,lới r làm sao cho người dưới nể đi,339.0,
2,chú lớn rồi mà ăn nói j kì vậy chú,340.0,
0,cho comment hay đấy ,341.0,
2,trung bình dan đom đóm,342.0,
2,ngon vào táp,343.0,
3,cali cũng kinh nhề,344.0,
2,bọn m biết chửi nhau dell đâu lũ dân trí thấp chỉ thôi,345.0,
2,mẹ m bọn t còn chơi dc chứ nói gì dăm ba cái chữ :))),346.0,
-1,:ϐׁׅ֒ố ׁׅ݊àᨮׁׅ֮ ỉɑׁׅ֮ ᥣׁׅ֪υׁׅôׁׅ ᥎ׁׅàᨵׁׅ ׁׅ݊ặtׁׅ ᝯׁả hׁׅ֮ọ ׁׅhׁׅ֮à ׁׅ݊àᨮׁׅ֮ ׁׅhׁׅ֮ɑׁׅ֮ tׁׅhׁׅ֮ằׁׅᧁׁ ׁׅᧁׁhׁׁׅׅ֮ệtׁׅ ׁׅ֒úᝯׁ,347.0,
0,bố xin lỗi vì ngày ấy k dùng bao với mẹ con,348.0,
0,ngoan tý anh cho xương,349.0,
0,Ngoan ngoan tí t còn cho cục xương,350.0,
2,+1 gia phả hình tròn,351.0,
2,30/4/1975 đầu bọn m nằm dưới chân ae t,352.0,
3,Chữi là gì bạn. Tiếng cali à,353.0,
-1,"""miền là mộ hậu phương vững chắc"" của miền nam cậu bt không",354.0,
-1,30/4/75,355.0,
2,gia phả hình tròn hả con. mày gọi người đẻ ra mày là mẹ hay chị hay bà nội,356.0,
-1,Khạc...phụt,357.0,
2,ngọng thì rap sao đc,358.0,
2,gia phả hình tròn à.khát lâu chưa cháu,359.0,
-1,Đóm cay à,361.0,
2,ngu,362.0,
0,Câm các con,363.0,
-1,"chữi là gì dạ, có trong từ điển tiếng Việt à nhóc ",365.0,
0,ngoan anh cho cục xương,366.0,
0,"""bộ bn nghĩ v ngầu với hay lắm hả?"" nói chuyện cs duyên rê dễ cưng lắm nè",367.0,
2,m tuổi deo j chửi đc bằng bọn tao ,368.0,
3,Ko pk cali bỏ con à,369.0,
3,trẻ con cali mất nc câm mồm cho ng lớn nch,371.0,
2,Sao lớn rồi mà ăn nói như bọn vô học thế,372.0,
-1,thì bọn t nói Cali chúng m đấy,373.0,
2,người lớn nói chuyện còn thua 1 thg kid,374.0,
3,"namkiki chửi như trẻ con , đ bao h thấm ",376.0,
0,bt v t đã đeo bao vào ,377.0,
0,đọc tên bố đi con zai,378.0,
-1,cận huyết,379.0,
-1,jack con haha ,380.0,
-1,nhai,381.0,
2,Đã fan rách lại còn Cali à ?,382.0,
0,Mẹ mày nóng bỏng lắm con trai,384.0,
-1,Tg kt,385.0,
2,có lớn mà k có khôn,386.0,
2,Trẩu à con,387.0,
2,bố mày chắc nhục với cả họ lắm khi đẻ ra loại như m,388.0,
-1,30/4/1975,389.0,
2,Nhìn mặt là biết làm gì có nhận thức ,390.0,
0,con nuôi của ráck,391.0,
0,bảo đeo bao vào thì đéo nghe. chán,392.0,
3,đâu như namki làm nô lệ bị câm,393.0,
3,sao bằng memaychửi m khi biết m là calino hẳn bả batluc lắm,394.0,
2,Ngọng vlin. Chữi là đ gì :)),395.0,
-1,đóm con à cu,396.0,
-1,chửi thằg trí đấy hay là phải d,397.0,
3,thế mới thấy bọn cali chúng m tuổi (.) sánh vai vs dân Việt Nam bọn tao,398.0,
0,ko có ny là đúng r,399.0,
-1,Cứt  đâu ra đây,400.0,
3,Namki k chửi đc nvay cay hả,401.0,
-1,pịa dê tươi ,402.0,
-1,trẩu,403.0,
3,Chứ ai như namki chửi dẹo dẹo vậy đâu,404.0,
0,Thằng 9 vía,405.0,
2,Tên tấn trí mà phát ngôn như concard vậy em,406.0,
-1,Nhạt,407.0,
-1,@MyHuân thấy đang onl nên tag cho nghe hh,408.0,
0,Mắc cười nhất là cái mặt ổng :v,409.0,
-1,ké,410.0,
0,Mời jack vào nghe ,411.0,
2,cha bỏ con là có thiệt,412.0,
0,sao hay dị quá Jack đã xem,413.0,
0,tao chả hiểu đây là thể loại nhạc nào luôn,414.0,
0,Giống các cụ ngày xưa đối thơ thôi,415.0,
0,"tạm gọi là đối kháng ko beat. Thể loại này chơi vần hơi bị đỉnh, vì ko phải theo nhạc.",416.0,
0,"nó là nhạc không chính thống, battle ground, chửi, khen, chê. nhưng cuối cùng k có j to tát đâu",418.0,
0,mặc ổng tĩnh bơ,419.0,
-1,jack 5 của haha,420.0,
3,ko hiểu ngày xưa bắc vào hỗ trợ quân nam tới chiến tranh Trung quốc năm ra hỗ trợ lại bắc còn bây giờ máy đứa trẻ người lớn cứ parky ăn cá rô cây namkiiki haiz,421.0,
2,Bố mẹ chúng nó là ae ruột mà bạn. Kkkk,422.0,
