teencode,meaning
mik, mình
mih, mình
lmj, làm gì
nick, tài khoản
đểnh, đỉnh
đink, đỉnh
đỉnk, đỉnh
30/4, bamươithángtư
30.4, bamươithángtư
lox, lồn
em rai, em trai
troll, chơi khăm
mọe, mẹ
oog, ông
ôg, ông
homeless, không nhà
avatar, ảnh đại diện
100%, tất cả
qtrong, quan trọng
qtr, quá trời
qtrog, quan trọng
video, video
kuk, cứt
vcl, vãi cả lồn
vkl, vãi cả lồn
clg, cái lồn gì
clgt, cái lồn gì thế
ts, tới
bk, biết
dị, vậy
he, nha
ngkh, người khác
ngkhac, người khác
bỡi, bởi
l, lồn
ị, ỉa
wc, vệ sinh
uk, ừ
shit, cứt
3w, ba que
sún, súng
bắgn, bắn
béc kỳ, bắc kỳ
vnch, việt nam cộng hòa
khmer, khơ me
bth, bình thường
bth., bình thường
clone, cái lồn
nch, nói chuyện
dzị, vậy
parkky, bắc kỳ
zọ, vậy
zậy, vậy
zẫy, dẫy
dọ, vậy
i, đi
cầy, chó
tró, chó
four`, đỉ
cave, đỉ
pảky, bắc kỳ
padkkkyyy, bắc kỳ
del, đéo
đel, đéo
đéo, đéo
méo, đéo
mé, má
condime, con đỉ mẹ
gr, nhóm
check, kiểm tra
pa, ba
chiuj, chịu
3we, ba que
pảky, bắc kỳ
3 sọc, ba que
baque, ba que
parque, ba que
pts, photoshop
xì rách, xì dách
p2, phần hai
acc, tài khoản
pay, bay
mọe, mẹ
đđ, đạo đức
kthuc, kiến thức
aan, ăn
tđộ, thái độ
đánh gi, đánh giá
donate, ủng hộ
thimz, thím
thims, thím
khum, không
zề, về
đii, đi
ah, à
caí, cái
2vc, hai vợ chồng
ủn, ủng
kk, haha
dêll, đéo
lz, lồn
loz, lồn
mẽo, mỹ
mĩ, mỹ
9 tộc, cửu tộc
packy, bắc kỳ
dii, điều
oii, ơi
mài, mày
full, toàn bộ
t12, tháng 12
sin lỗi, xin lỗi
noái, nói
mía, má
3que, ba que
cs, cuộc sống
vail, vãi
zk, vợ
we, quá
vkck, vợ chồng
ml, mặt lồn
///, ba que
đt, điện thoại
ák, á
cố í, cố ý
vô í, vô ý
vid, video
inbox, nhắn tin
ib, nhắn tin
drift, trượt
bro, anh
youtobe, youtube
hó, chó
avata, ảnh đại diện
ava, ảnh đại diện
đin, điên
nl, ngu lồn
nungl, nứng lồn
thast, thất
kt, kết thúc
bar we, ba que
nsut, nghệ sĩ ưu tú
thiếc thực, thiết thực
loaii, loại
đuýt, đít
uhm, ừa
éo, đéo
report, báo cáo
repot, báo cáo
m///ẹ, mẹ
hử, hả
delay, trễ
êy, này
job, việc
dùm, giùm
đi chốn, đi trốn
nhen, nha
miễn nhễ, miễn lễ
êk, ê
thor, thỏ
sin, xin
phin, phim
7 màu, .
trk, trước
juan, chuẩn
donet, ủng hộ
okk, đồng ý
z, vậy
v, vậy
face, mặt
lón, lồn
dẫy, vậy
tphcm, thành phố Hồ Chí Minh
all in, tất tay
nails, móng tay
tầu, tàu
coppy, sao chép
u.f.o, vật thể bay không xác định
thix, thích
cmn, con mẹ nó
cmay, chúng mày
mell, đéo
overthingking, suy nghĩ quá nhiều
overthinking, suy nghĩ quá nhiều
overload, quá tải
team, nhóm
trũy, trĩ
lun, luôn
anti, chống lại
trailer, đoạn giới thiệu
gòi, rồi
kao, tao
unfollows, bỏ theo dõi
unfollow, bỏ theo dõi
rùi, rồi
edit, chỉnh sửa
zịt, việt
zị, vậy
zay, vậy
zữ, dữ
dzách, dách
xai, sai
kbh, không bao giờ
click, nhấp chuột
update, cập nhật
deadline, hạn chót
tùi, rồi
tùi, rồi
comment, bình luận
streamer, người phát trực tiếp
status, trạng thái
tus, trạng thái
xaoloz, xạo lồn
group, nhóm
nek, nè
pvbm, phân biệt vùng miền
4`, phò
four`, phò
chóo, chó
page, trang
like, thích
trend, xu hướng
azai, anh trai
ditme, địt mẹ
bamươithángtư, 30/4
dịt, vịt
âyz, ấy
thor, thỏ
quễ, quỷ
cẹc, cặc
bús, bú
combat, chiến đấu
cútt, cút
fía, phía
stk, số tài khoản
mhir, nhỉ
ghpg, giáo hội phật giáo
xamlon, xàm lồn
lon, lồn
ziên, duyên
dú, vú
care, quan tâm
cmm, con mẹ mày
dcm, địt con mẹ
dù mẹ, đù mẹ
flex, khoe khoang
topic, chủ đề
zẻ, vẻ
vaiz, vãi
lozz, lồn
zỗ zái, vỗ dái
za, ra
dzach, dách
tròi, trời
thoi, thôi
t7m, thỏ 7 màu
bh, bao giờ
cgi, cái gì
fifai, freefire
fi fai, freefire
duii, vui
dui, vui
cmj, con mẹ gì
atsm, ảo tưởng sức mạnh
date, hạn
sdt, số điện thoại
adu, á đù
nvieen, nhân viên
cnó, chúng nó
chet, chết
nthe, như thế
bjk, biết
zutubi, youtube
kte, kinh tế
chụy, chị
bùn, buồn
hông, không
idol, thần tượng
pùn, buồn
ẻ, ỉa
gòy, rồi
dỡn, giỡn
ksao, không sao
khong, không
dữ liệu, hạn chót
lõi, lỗi
trungky, trung kỳ
pakkyy, bắc kỳ
pakky, bắc kỳ
namkii, nam kỳ
namki, nam kỳ
namkibacki, nam kỳ bắc kỳ
backi, bắc kỳ
parki, bắc kỳ
khok, khóc
móa, má
mé, má
đb, đầu buồi
gtđb, giao thông đường bộ
tgia, tham gia
link, liên kết
face, facebook
cno, chúng nó
fame, nổi tiếng
cm, chúng mày
chx,chưa
đỉm,điểm
oce,ok
tc,tính chất
tch,tính chất
ha,hả
auce,ok
dethun,dễ thương
kcj,không có gì
kcgi,không có gì
qlai,quay lại
qu ,quá 
=,bằng
5tr,5 triệu
dell,đéo
đ,đéo
deo,đéo
pbvm,phân biệt vùng miền
thg l,thằng lồn
l, luôn
rách,jack
st,sơn tùng
giai,trai
rai,trai
vn,việt nam
username,người dùng
bawe,ba que
djtme, địt mẹ
e,em
