comments,ID
Duy Nqp chả phải thì sao :))))) chúng mày đang viết và nói chữ quốc ngữ đấy. Uống nước nhớ nguồn đi. Đừng ăn cứt đá bô.,1879
"Minh Tân biết chữ quốc ngữ ở đâu ra ko, nói chuyện ngu như bò mà còn tỏ ra nguy hiểm, vcl thiệt. Chữ quốc ngữ do tu sỹ châu âu sáng tạo ra, rồi truyền vào đàn trong, lúc đó ngoài bắc dốt bỏ mẹ ra, đã dốt còn bày đặt dạy đời, ngu",1880
Duy Nqp cái diss. :))))) đến phút này tao khẳng định mày ngu bẩm sinh. Chứ luyện tập thì đéo thằng nào ngu bằng mày :)))))),1881
"Minh Tân thật là hãm, chắc mày nghĩ Bác Hồ tạo ra chức quốc ngữ xong mang vào miền nam dạy quá. Nói thế thì biết nó ngu từ gốc rồi, đúng là bản chất éo sai được.",1882
"Trịnh Quoc Anh t Giao Lạc ,Giao Thủy nè cu",1884
Trịnh Quoc Anh thế à cu,1886
Trịnh Quoc Anh Parky à,1887
Duy Nqp qá hay,1888
Minh Tân mù chữ cmm thời pháp mẹ cha tao đã đc học chữ rồi k biết im mồm thằng parky tỏ vẻ ta hiểu biết nhưng thật ra đel biết cái đách gì cả,1889
Nguyễn Quang Vinh mẹ,1892
Vo Hoang Phu cha,1893
Vo Hoang Phu miền Bắc năm 54 rồi :))),1894
Trần Văn Quyền gốc bắc 2k ạ . 54 chỉ có bọn cali con thôi .,1895
Vo Hoang Phu nằm vùng đấy :d,1896
Nguyễn Quang Vinh backy con xuống nam kỳ ăn tàn dư Mỹ ngụy,1897
Nguyễn Quang Vinh k vấn đề nhưng nói tới cái đong đỏng nhảy mún tới nóc nhà,1898
"Hoàng Tuấn Dương chửi ai đâu bạn ơi, từ nào là chửi dị he, giọng điệu này chắc bạn là ấy ấy rồi",1903
"Hoàng Tuấn Dương là tiếng người đó bạn ,bạn k hiểu thì b coi lại mình coi phải con người k, dị he",1905
Hoàng Tuấn Dương bỡi nói tới cái đong đỏng lên mà cũng k chịu,1908
"Hoàng Tuấn Dương ""dị he"" là dị đó he, vậy đó he, vậy đấy ha, vậy đấy hả, đấy là cách người đấy vùng đấy dùng từ, cách nói, chứ sai gì đấy b :))",1913
Hoàng Tuấn Dương ngu chết mẹ,1914
"Hùng Nguyễn xin lỗi b chứ nãy h chẳng đụng chạm tới ai, tự nhiên bay vô cắn tui thôi ,còn b lo cho con b đi ,lo cho thiên hạ quá",1916
"Hùng Nguyễn lo cho bé cún của b đi nhé ,con tui tui dạy nó sao thì kệ tui ,nói chuyện kỉu đó nghe ngứa tai quá ,sống k biết tốt được nhiu nói chuyện ra vẻ quá",1917
Hoàng Tuấn Dương thanh niên chưa nghe từ đong đỏng bao giờ à :))),1918
"Mai Cơn Giắc Sơn chưa ai nhắc ts cali ca léo gì ,chưa đụng j ts tụi m mà tụi m dẫy nữa r",1922
"Mai Cơn Giắc Sơn tụi m nhạy cảm quá r ,có tật ai ns j ra cũng giật mình",1923
"Mai Cơn Giắc Sơn thì m cmt đi, ai cali thì trả lời m ,t thì k rảnh, đâu phải nơi t sống , còn có cơ hội cũng mún đi cho biết đây biết đó à",1925
"Mai Cơn Giắc Sơn m cứ nói nam kì hay nam gì m thích chả ai quan tâm , à mà m ns z h t mới thấy m ms chính là thằg kì thị ng khác trước đó",1926
Sinh Tố Pơ ngặt là mấy thằng nó hay kì thị ng khác cho mình là nhất là trung tâm vũ trụ thì nó lại tưởng nó là nạn nhân chứ,1928
"Tiến Hoàng Chanel làm mình làm mẩy hả cá rô cây ,ngứa r chứ j",1955
"Tiến Hoàng Chanel nam kỳ hay nam j đi nữa cũng chẳng ai quan tâm đâu, có m á, m chuẩn bị nhẩy tới nóc nhà r đó, ăn rau muống nhìu vô cho bổ cái óc shit của m đi",1956
"Dat Dang đr vui vẻ thôi, gọi ng khác như thế này như thế nọ thì được, chứ ns tới cái quạo",1958
"Tiến Hoàng Chanel kêu nam kỳ thấy tự hào ghê, sao bắc kỳ kì vậy :))",1959
"Vũ Công vậy thì câm đi đầu shit, làm như t cần nói chuyện với mặt nụ cười dọc như m",1961
"Vũ Công xin lỗi đéo nói đạo lý mời next qua 1 bên ,m đéo là cái j mà phán xét xạo l ở đây, biến đi m",1963
Vũ Công mặt như thằng nghiện mà bố láo,1964
"Nguyễn Quang Vinh vì người bắc tự làm xấu vùng miền của mình thôi, đến nam hàn còn hạn chế nhập cảnh người miền bắc vn mà ;))",1968
"Nguyễn Cương thoải mái chỉ có loại cẩu như m mới sợ ngta nói đúng tên thôi, nhìn m như con cún tội quá",1969
"Nguyễn Cương loại này thì chỉ có súc vật mới làm mấy hành động như vậy ,súc sanh biết viết chữ là có thật",1971
"Nguyễn Cương nhục dùm cho tụi ăn rau muống vs cá rô cây tụi bây á,chứ ng miền Nam chẳng ai như loại súc vật như mầy ,loại m là sản phẩm của gia phả hình tròn đó",1972
"Nguyễn Cương tr tr chẳng ai nói ts ngụy à ,bí lời quá r cái nói dọng đó hả con trai, hồi đó ba mẹ m chùi đít cho t ổng bã đâu có sạo lờ như m",1974
"Nguyễn Cương văn hay xin tặng cho loài súc sanh như m, như z chưa đủ hay sao, mẹ m đi làm chuyện gì vs cha già hàng sớm mà để lọt ra cái bản mặt lờ như m vậy con trai",1976
"Nguyễn Cương chúc cho tụi cưn mau nói chuyện được tròn vành rỏ chử nha, chứ nói chuyện kỉu đớt đớt z con ng tụi t k hỉu, gáng ăn shit nhìu vô đặng mau tiến hoá thành con người",1977
"Nguyễn Cương là thứ m á ,cũng chịu khó quá he súc sanh, súc sanh thì mãi là súc sanh ,đầu óc k hơn k kém 1 loài chỉ biết ăn xương",1979
Nguyễn Cương mời tiếp tục thể hiện mình là 1 con súc vật nhé,1980
"Nguyễn Cương bí văn hả j mà ăn cắp câu nói của t vậy súc vật ,thì ra rep cmt lâu là đi rình mò nhà t như thằng ăn trộm ,lộn như loài súc vật đang tìm shit mới đúng",1981
"Nguyễn Cương súc vật nó nói chuyện cũng k giống con ng nữa, thôi dành iot cho loài súc vật như m đi ,chứ m ăn rau muống cá rô cây k làm j có dinh dưỡng",1983
Nguyễn Cương thiểu năng chính là thứ mà thằng súc vật m đang mang đó,1984
"Nguyễn Cương thì ra tụi m chỉ biết có từ cay ,qua nay thấy thằng nào cũng nói , súc vật mà cũng biết vị cay nữa ta, loài súc sanh này chắc ăn shit trộn ớt nè",1986
"Nguyễn Cương thôi đi cái thứ như còn lời lẻ j để nói vs t ,chỉ biết lâu lâu gâu lên mấy tiếng như vậy thôi, súc vật thì mãi là súc vật ,đừg bắt trước hành động của con ng nữa",1987
Nguyễn Cương k biết sáng m đã ăn sáng bằng cá rô cây kho chưa,1988
Nguyễn Cương thấy hình dáng m t cũng mún tin m là con ng lắm mà m càng nói thì con súc sanh trong ng m nó lại lòi ra,1990
"Trương Trung từ điển tiếng Việt có"" dị he"" à nói sai thì tự ái",1991
"Nguyễn Cương đói thì tụi t cũng ăn cá thật chứ đâu ăn cá cây như m, thiệt tội cho m á súc sanh",1992
"Nguyễn Cương chỗ t nhìu gỗ lắm ,để t đẻo cho m vài con cá cho m gặm he súc vật",1993
"Nguyễn Cương nói r m đừng có lấy văn của t đc k ,năn nĩ mà ,nghe câu chửi t hay quá nói quài ,súc sanh nhìn mặt cũng ngầu như cái bồn cầu he",1995
Nguyễn Cương đi wc x ăn lun nhé con trai,1999
Nguyễn Cương đủ k t gửi thêm cho ít nè của t nhìu vị lắm m thích ăn vị gì,2000
"Nguyễn Cương đói thì nói t gửi shit cho ăn chứ k nói t đâu biết , z ăn nha, đừng ngại",2002
"Nguyễn Cương à thì ra m k hỉu tiếng người ns m mà m trả lời đâu đâu k à, súc sanh mà ,súyt nưã thì t lại quên m là con súc vật",2003
"Nguyễn Cương ăn ngon miệng nha, nhìn m ăn shit ngon miệng t cũng vui lắm súc vật à",2005
Nguyễn Cương à mà m ngoài ăn shit ra còn ăn j nữa k vậy,2006
"Nguyễn Cương ăn x r hả hèn chi miệng còn dính kìa súc sanh ,ăn x chùi mép nha, h đi tìm shit tiếp đi ,chìu có cái mà ăn",2009
Nguyễn Cương ăn x đi tìm cái đầu khất của thằng bố m ăn tráng miệng đi,2010
"Nguyễn Cương nữa lại ăn cắp văn ,chắc tại súc sanh k đi học nên k biết cách cải lộn vs con ng nên ms ăn cắp văn phải k , s mà nhà loạn luân s mà đẻ r đc con súc sanh như m cũng hay he",2012
Hà Thị Phương con cac nó dính trên mặt m kìa,2014
Hà Thị Phương m là thằng ăn shit chung vs thằng Cương j nè phải k,2015
"Hà Thị Phương thấy có hình con chó trong trang là t nghi m rồi , thì ra m là 4 chân , cút mẹ m đi",2016
"Nguyễn Cương haha nó chỉ biết có nhiu đó thôi bây ơi, ăn cớc riết nhìn đâu cũng thấy cớc là có thật, mới ăn cớt r mà s thấy m vẫn có vẽ thèm z",2018
Thai Quách có gì đâu mà kì. Bọn nô dịch như chúng m hở tý là phân biệt. Trong miệng nhiều phân quá mà,2020
Tiến Hoàng Chanel đâu phải ai cũng như nhà m ăn phân :))),2022
"Hà Thị Phương thì ra m là con chó lang thang thấy người lại vô cắn ,dòng ăn shit như m thì, thôi nghiệp j m nói thì dành hết cho m á, mặt cac, thứ như m đm coi chừng k có ma nào dám sáp vô đâu, nói ts cuối cùng thì m cũg lại là 1 con súc sanh",2024
Thai Quách nhường gia phả nhà m tất,2025
"Hà Thị Phương mặt cạc của m là cái thứ ai thấy cũng tránh xa đó con chó à, tưởng mình thanh cao",2026
"Tiến Hoàng Chanel đâu có nhường được, chỉ có nhà m là ăn quen thôi",2027
"Tiến Hoàng Chanel quai lại r hả súc sanh , ăn cức no chưa mà trở lại r , bồn kỳ lắc à, m đúng là 1 con chó ngoan đó",2028
"Hà Thị Phương súc sanh tụi m hùa nhau cắn ng giỏi quá , chúc m sớm sánh duyên vs chó đực nge",2029
Khương nhảy chỗ nào vậy?Nó cũng nhue Nam Kì hay Trung Kì thôi nhóc,2030
"Nguyễn Hải chú nói z cho chứ thằg nhóc như tui thấy nó nhảy quá tr đó , đặc biệt là ng ở ngoãi đó",2034
"Trương Trung vùng m tốt làm quá nhóc con à, lo đẻo cá gỗ đi ,ns nhìu quá, bố láo quá",2035
"Hà Thị Phương cảm ơn dog nha, sủa tiếp cắn tiếp đi, qua nay mới có dog cái ,sủa nghe vui tai lắm",2036
Khương Tao kêu vợ mày lên đây với mày rồi đấy. Không biết lên đây xem mày làm trò nãy giờ vợ mày thấy sao,2040
Trương Trung tao bắt lỗi mỗi mày thôi được không cu,2041
"Duy Ranh con, vào sài gòn rồi thấy người ta nói thì ra bắt lỗi nhé, xem họ nói gì mầy, còn mầy đã cố tình không hiểu thì có viết văn giải trình thì cũng không hiểu được đâu ranh con ạ",2045
"Trương Trung tao đang sài gòn này ranh con, vùng miền mày là cái xó nào tao không quan tâm, từ điển tiếng Việt không có thì là không có sai là sai, bao giờ cái xó của m đại diện cho Việt Nam thì hẵng nói nhé ranh con",2046
"Trương Trung Bắc Trung Nam tao đều đã đi nên đừng nói tao đi đây đi đó tao ỉa vào mặt cho đấy nhóc con, ""ếch ngồi đáy giếng""",2047
"Duy Ranh mỗm này, mẹ m từ Bắc vào Nam rồi còn phân biệt, võ mồm, vào Sài Gòn định cư rồi thì đi ra ngoài mỗm đi thằng Ranh, ra ngoài xem có vỡ mồm không, Bố m đang ở Hà Nội này ranh con, phân biệt địt mẹ mày",2048
"Trương Trung tự ái ngay, tao không phân biệt vùng miền thấy có con chó nào đó nói tiếng địa phương nó là đúng, vào nói sai thì chó nó tự ái nó sủa nó táp, chán thanh niên đã thiếu hiểu biết còn thích ra vẻ phân tích ngôn ngữ các thứ, thôi ngậm mõm lại … See more",2049
"Duy thằng kia nó phân biệt vùng miền? Nó dùng từ dị đó he để Châm Biếm thằng nào đấy, t mới bảo là cách nó dùng từ như thế? M lại vào bắt lỗi lại như th kia, 2 th m là 1 à?",2051
"Trương Trung vậy "" dị đó he"" có trong từ điển Tiếng Việt không tao hỏi thật",2052
Duy nó nói Châm Biếm th kia,2053
Nguyễn Quang Vinh Bắc kỳ là tổ tiên chúng nó mà bạn.Cứ thằng nào giấy khai sinh có chữ dân tộc Kinh tổ tiên chúng nó là bắc kỳ đó.Nó chửi packy khác gì chửi tổ tiên nó đâu,2054
Khương Giấy khai sinh có chữ dân tộc Kinh không nếu ko có thì miễn bàn còn nếu có chữ dân tộc Kinh thì xem lại tổ tiên từ packy mà ra hay từ chămpa khomer nhé bạn,2055
"Quốc Thực chắc mày là bắc kỳ loz ăn cá rô cây rồi, mọi miên là thằng cha con gái mẹ mày á, chó ăn cức",2062
"Quốc Thực à mà nhìn m giống mấy thằg tây bắc ăn pịa ăn cức khen ngon quá ,",2063
"Quang Anh m kiu con m gọi đi ,đéo có liên quan tới thứ giòng giống đó",2066
"Phạm Mạnh bắc kỳ tụi m vô nam chi nhìu z , vô đây xin việc hả ,tụi chúng m đi ts đâu bị kì thị tới đó ,đi xkld còn bị nước ngoài cấm mấy nữa đó ,tìm hiểu thông tin lại đi con",2069
"Phạm Mạnh mà bộ tụi bắc kỳ tụi m nhột hả, thấy thương tụi m ,cứ tìm đít của ng miền nam tụi t cắn ,chúc m sớm trở lại làm người nge chó ,đụ trâu đụ bò riết ngu đần",2070
"Phạm Mạnh nếu tụi bắc kỳ chúng m nhột thì cứ lên tiếng t thông cảm mà lũ khỉ đói ăn , ăn rau muống 7 món k mà",2072
"Phạm Mạnh nói tiếng người đc k, hay chỉ biết nói tiếng chó z bắc kỳ ,bắc kỳ ,bắc kỳ , chắc nhột lắm r",2074
"Phạm Mạnh bắc kỳ ơi nhột lắm phải k ,ngứa lắm phải k, sáng ăn cức chưa chó",2076
"Phạm Mạnh ăn cức chưa, bắc kỳ ăn cức chưa",2078
"Phạm Mạnh lũ bắc kỳ ngứa dữ r ,nghe ns bắc kỳ chắc tức lắm ,bắc kỳ thì có tiến hoá thì cũng k thành con ng đc",2081
"Phạm Mạnh dấu hiệu của đuối lý , đúng là bắc kỳ ngu",2082
"Phạm Mạnh ráng ăn cức nhìu cho khôn ra nghe bắc kỳ , dị he",2083
"Phạm Mạnh cha mẹ súc vật đẻ ra thằg con súc sanh bắc kỳ như m đó , ngứa quá thì cứ gãi ,súc sanh ăn cức",2085
"Phạm Mạnh bắc kỳ ăn cức biết nói có nhiu đó đó ,bắc kỳ bắc kỳ bắc kỳ ,tức đỏ dái hết r kìa bắc kỳ ơi, ăn rau muống k s khôn nỗi, nên ăn thêm nhìu cức nữa nghe con",2087
"Phạm Mạnh k cay thì chả lý do j phải rep cmt ,thôi vô nam nè tụi t cho cức ăn nè súc sanh ,tinh trùng khuyết tật",2091
"Phạm Mạnh vậy nha ,nào vô nam alo t hốt cức của ae miền nam cho ăn",2092
"Quốc Thực mà t hỏi cái này tụi mày trả lời nè ,đừng có trả lời tàu lau he, tụi bắc kỳ tụi m tức lắm hả gì ,nếu m tức thì giao lưu thử coi tụi m tới đâu, còn k thì mày next về cái xứ bắc kỳ của m đj , cay lắm hả j mấy con chó",2100
"Quốc Thực như k bay dô cắn đít r nói cay vs đắng gì ,cay là tụi bắc kỳ ăn cức của m cay á",2101
Nguyễn Quang Vinh như nhau cc. Thấy pakycho sợ thấy mẹ. Lũ mọi rợ,2106
"Nguyễn Quang Vinh ngứa tai sao ko đi ngoáy mà đi dãy lên thế, trung kỳ nam kỳ nói ngta cười khà khà mà nói parky lại là pbvm =]], tiêu chuẩn kép à",2107
Nguyễn Cường t sống trong nam. Ae t nói t bk bth. Mà mấy đứa hay pbvm thì chả phải nói ? Bảo 3/ vs cali lại dãy lên bàn tròn,2108
"Nguyễn Quang Vinh kâka, t bth, chả quan tâm vì t cũng chơi đủ miền, nghe mắc cười thôi =]]",2109
"Nguyễn Cường t nói ở trên là nói mấy tk 3/ hay pbvm thôi. Chứ mấy thằng bạn t kêu t bk con , t cũng bảo bọn nó nk , t thấy bth. Chả sao. Người bắc thì mấy nó kêu t bk t thấy k sai. T chỉ ghét mấy đứa thích pbvm thôi .",2110
"Nguyễn Quang Vinh thì thế, nchung bên nào cũng có thằng pbvm thôi",2111
"Quốc Thực ok z là chứng tỏ bắc kỳ tức lắm r, z đi sủa j sủa đi , tự nhiên nghe bắc kỳ",2113
"Dương Tiến Mạnh uống đi con trai, uống vô r có sức sủa ,thêm 1 thằng nữa nhột",2115
Khương nói thẳng mẹ là Bắc Kì đi. Parky làm mẹ gì cho rối,2119
Nguyễn Quang Vinh parky đần độn,2120
Nguyen Pino thôi ông im moẹ mõm đi . Mấy loại 3/ đâu bao h dám đưa mặt l của mình ra . Sợ bị tế đó . Toàn phải núp clone . Tội thật . Tội hơn tró,2121
"Nguyễn Quang Vinh thiếu gì, trên tiktok người ta để ảnh thật đầy",2122
Nguyen Pino m k thấy t bảo chữ parky thì bth. Còn mấy đứa 3/ cali pbvm mới k bth . Đọc hiểu có vấn đề à ? Hay ở mẽo ăn xúc xích nhiều quá nên lú,2123
"Nguyễn Quang Vinh nếu mày từ parky bth thì rep tao làm gì parky ăn pịa nên đần vcl, người ta nói 1 hiểu 2, chúng mày nghe 9 mà éo hiểu 1 nữa",2124
Nguyen Pino t thấy bth vs ng bth. Còn bọn 3/ nch kiểu khịa khịa núp clone như m thì t chửi bth,2125
"Khương Người miền Bắc là người Việt xịn, người Việt chính tông mà lại",2126
"Tung Pham Duong xịn tới nỗi đi tới đâu bị ghét tới đó, xịn quá s k ở ngoãi đi ,vô nam làm chi cho ngta ghét",2128
Viet Anh lại thêm 1 con chó ngứa,2131
"Viet Anh cay lắm hả con, còn nếu m nói k cay thì mời m cút, mà m trả lời là m cay",2132
"Nguyễn Quang Vinh ủa thì ngoài bắc gọi là bk đr, mà bk có j hay sao gọi tới nhảy đỏng lên z, tự nhiên nói pbvm thà im đi ai nói tới",2133
Bến Bờ Bình Yên m có đọc hết cmt t rep k hay chỉ biết táp,2134
"Hoàng Thảo tại bọn bắc kỳ chúng m xấu tính quá , chửi k lại r đi làm chuyện tiểu nhân ,giống chó tụi m cũng biết xem hình hả",2136
"Hoàng Thảo cảm ơn đã quan tâm à, bọn chúng m có qua thì có lại thôi, làm như tụi m tốt lắm k bằg",2137
"Kòy Saker bắc kì nhột nữa r kìa, chọt trúng chỗ thốn tụi m rồi ,bắc kỳ ăn cá rô cây ,ăn nhằm lựu đạn chết cha bắc kỳ , m thấy t làm tặng m bài thơ có hay k",2140
"Kòy Saker tụi m nhột quá khi bị gọi bắc kỳ nên mới nghĩ ra mấy cái tên đó hả, chả ăn thua đâu con chó à, chỉ có m mới cay thôi chứ tụi t thấy chả có gì ,nhột quá k biết làm gì đúng k lủ khỉ chưa kịp tiến hoá",2142
"Kòy Saker nam kiki ,nam cali, nghe hài quá ,nhưng bắc kỳ ăn cá rô cây nghe hay hơn ,chắc m thích được gọi là bắc kì lắm đúng k chó, vô nam tụi t cho shit ăn thoải mái nè",2144
Nguyễn Quang Vinh cay thế nhờ,2145
Nguyễn Quang Vinh ko có gì mắc gì phải lôi 3q cali vào. Mày nhột hả,2146
Trịnh Sang thì bọn 3 que vs cali con hay khịa bk đó chứ sao . M 3 que à sao bênh nó z,2147
Nguyễn Quang Vinh parkky thì ai cũng ghét đâu phải riêng 3que cali. Xung quanh bạn bè tao ai chẳng ghét parkky ko lẽ cali hết hả ta. Ác cái toàn ở vn…. Kkkkk. Parkky thấy nhột mới nhảy dựng . Chứ m kêu t 3que 4 que cũng đc mà. Kkkk,2148
Trịnh Sang sao ae t nói k sao mà mấy đứa hay pbvm t ghét vậy thôi . Còn mở mồm ra như m thì chắc gốc 3/ hoặc cali con rồi. Phân biệt cha m vs mẹ m kìa thằng cu,2149
Nguyễn Quang Vinh không trịnh sang k phải 3que hay 3 sọc gì . Mà trịnh sang là gì thì ảnh đại diện ns rõ rồi,2150
Nguyễn Quang Vinh 3/ mới có quyền khịa Parky chúng mày à,2151
"Lãm Lãm nch bth thì k sao. Ae t cũng kêu t bắc kì bth. Còn thể loại pbvm thì xứng đáng gốc 3/ rồi đó. M nhột à cu 3 que , cali con ?",2152
"Nguyễn Quang Vinh Khịa chúng mày là Cali á? Parky chúng mày có lối suy nghĩ lạ nhẩy Bố mà ở Cali xơi bò bú vang cho sướng, khịa chúng mày làm gì phí thời gian hả Parky phỏng đạn",2153
Lãm Lãm nói phát tự vả rồi còn gì. Cali con thì im mõm. Đéo có tư cách phát biểu + nch vs bố.,2154
Lãm Lãm chỉ có giỏi vác clone xong mõm thôi. K biết ngày nổi 3 bữa k hay liếm cẳng ngta để đc cục xương . Thua chó nhà t còn đc ăn đầy đủ,2155
"Nguyễn Quang Vinh Cali con là cái đéo gì thế, tên ông nội mày à parky? Nguyễn Quang Cali à Mày là cái cục gì đòi tư cách :)) Parky ảo tưởng vcc",2156
"Nguyễn Quang Vinh Chuẩn, bố thấy 2 con parky bận áo cưới đắm đuối nhìn nhau",2157
Lãm Lãm nam cầy cũng cưới nhau moà,2158
"Sinh Tố Pơ Dẵm phải đuôi mày à, bụi đâu lao ra oẳng câu thiếu i ốt vậy Bắc cầy tró",2159
Lãm Lãm ủa sao mà sồn sồn ghê zọ nói người ta thì được thì người ta nói lại thôi nam cầy ạ,2160
"Sinh Tố Pơ Mày nhảy xồm vào bố, kêu bố xồn là thế nào con Bắc cầy tró zọ zọ",2161
