usernames,comments,total_react,Like,Haha,Care,Love,Wow,Angry,Sad
Khương,"Hoàng Tuấn Dương là tiếng người đó bạn ,bạn k hiểu thì b coi lại mình coi phải con người k, dị he",0,0,0,0,0,0,0,0
Hoàng Tuấn Dương,=)))),0,0,0,0,0,0,0,0
Hoàng Tuấn Dương,cuối cùng cũng lại chỉ là văn cùn thôi à,1,0,0,0,0,1,0,0
Khương,Hoàng Tuấn Dương bỡi nói tới cái đong đỏng lên mà cũng k chịu,1,1,0,0,0,0,0,0
Hoàng Tuấn Dương,"Nói có thể ngọng do vùng miền, nhưng viết, tiếng Việt chỉ có 1 thôi :)) ví dụ như ""Chiếc áo này củ rồi nhưng vẫn dùng tốt""củ gì , củ cặc à :)))",9,0,9,0,0,0,0,0
Khương,"Tối ngày đúng là chỉ biết soi dưới váy ngta ra để nói, thua b rồi b ơi, dị he ,mãi iu à",0,0,0,0,0,0,0,0
Hoàng Tuấn Dương,lại còn đong đỏng là clg gì nữa :))),2,0,2,0,0,0,0,0
Hoàng Tuấn Dương,bỡi :))),1,0,1,0,0,0,0,0
Trương Trung,"Hoàng Tuấn Dương ""dị he"" là dị đó he, vậy đó he, vậy đấy ha, vậy đấy hả, đấy là cách người đấy vùng đấy dùng từ, cách nói, chứ sai gì đấy b :))",1,1,0,0,0,0,0,0
Khương,Hoàng Tuấn Dương ngu chết mẹ,1,1,0,0,0,0,0,0
Hùng Nguyễn,Khương có con rồi. Sống sao cho con cái nó tự hào về ba má nó ông ạ.,0,0,0,0,0,0,0,0
Khương,"Hùng Nguyễn xin lỗi b chứ nãy h chẳng đụng chạm tới ai, tự nhiên bay vô cắn tui thôi ,còn b lo cho con b đi ,lo cho thiên hạ quá",0,0,0,0,0,0,0,0
Khương,"Hùng Nguyễn lo cho bé cún của b đi nhé ,con tui tui dạy nó sao thì kệ tui ,nói chuyện kỉu đó nghe ngứa tai quá ,sống k biết tốt được nhiu nói chuyện ra vẻ quá",0,0,0,0,0,0,0,0
NC Hoài Thạnh,Hoàng Tuấn Dương thanh niên chưa nghe từ đong đỏng bao giờ à :))),0,0,0,0,0,0,0,0
Lê Đức Tuyên,Khương có vợ có con rồi mà nói chuyện như thg con nít,0,0,0,0,0,0,0,0
Khương,Lê Đức Tuyên vậy thì mời ng lớn next,0,0,0,0,0,0,0,0
Mai Cơn Giắc Sơn,"Khương mấy thằng nam kì cứ nhắc chữ cali, giải phóng, 30/4 giãy như bị đút đuông dừa vào đít còn gì",0,0,0,0,0,0,0,0
Khương,"Mai Cơn Giắc Sơn chưa ai nhắc ts cali ca léo gì ,chưa đụng j ts tụi m mà tụi m dẫy nữa r",0,0,0,0,0,0,0,0
Khương,"Mai Cơn Giắc Sơn tụi m nhạy cảm quá r ,có tật ai ns j ra cũng giật mình",0,0,0,0,0,0,0,0
Mai Cơn Giắc Sơn,Khương thật là nam kì bọn mày ko nhạy cảm ko ? Giờ mày thử cmt chữ cali trên tiktok vs mấy bài trên face xem đứa nào vào cắn,0,0,0,0,0,0,0,0
Khương,"Mai Cơn Giắc Sơn thì m cmt đi, ai cali thì trả lời m ,t thì k rảnh, đâu phải nơi t sống , còn có cơ hội cũng mún đi cho biết đây biết đó à",0,0,0,0,0,0,0,0
Khương,"Mai Cơn Giắc Sơn m cứ nói nam kì hay nam gì m thích chả ai quan tâm , à mà m ns z h t mới thấy m ms chính là thằg kì thị ng khác trước đó",0,0,0,0,0,0,0,0
Sinh Tố Pơ,Khương không sao nam cầy với miền Bắc chung 1 dòng máu mà,0,0,0,0,0,0,0,0
Khương,Sinh Tố Pơ ngặt là mấy thằng nó hay kì thị ng khác cho mình là nhất là trung tâm vũ trụ thì nó lại tưởng nó là nạn nhân chứ,0,0,0,0,0,0,0,0
Nguyễn Đạt,Khương thổ khơ me cho xem cái nhà đi mấy thằng thổ khơ me 95% là ở nhà rơm nhà lá 5% còn lại thì được ở nhà tôn,0,0,0,0,0,0,0,0
Khương,"Nguyễn Đạt lộn r cha nội ơi ,tìm mấy ng đó đi an giang sóc trăng á , qua đó r nói z đó r cho nó chôn m ở đó",0,0,0,0,0,0,0,0
Khương,Nguyễn Đạt lại thêm thằmg xạo phân biệt ng khác vô nói chuyện bị phân biệt,0,0,0,0,0,0,0,0
Nguyễn Đạt,"Khương ghê thế à bảo nó ra đây nói câu bk đi
bọn tui người kinh có ăn học đầy đủ chắc không sao đâu chứ sợ mấy ông khơ me cà màu an giang lắm",0,0,0,0,0,0,0,0
Nguyễn Đạt,Khương đó bảo đến nhà lá trúng tim đen nhảy xuyên nóc nhà rồi,0,0,0,0,0,0,0,0
Khương,"Nguyễn Đạt ăn học ,chắc đi học lo ăn k thì có chứ ăn học, nói chuyện kỉu mất dạy",0,0,0,0,0,0,0,0
Nguyễn Đạt,Khương về khoản ăn tôi đó qua đc mấy ông khơ me đó đặc sản ham ăn lười làm mà chưa nghe à,0,0,0,0,0,0,0,0
Nguyễn Đạt,Khương thời hiện đại rồi mà toàn lớp 9 lớp 10 nghỉ học đi làm kiếm tiền rồi,0,0,0,0,0,0,0,0
Khương,"Nguyễn Đạt kệ m đi ,t cũng đâu phải khơ me, sủa tiếp đi ,dị he ,mãi iu à",0,0,0,0,0,0,0,0
Nguyễn Đạt,Khương thôi cà mau thì làm gì có người kinh bảo sg bd còn đc chứ cà màu làm gì có người kinh,0,0,0,0,0,0,0,0
Nguyễn Đạt,"Khương trúng tim đen rồi
nhảy xuyên cái nóc nhà lun",0,0,0,0,0,0,0,0
Khương,"Nguyễn Đạt là m đang nói m đó ,vô học vô duyên mà tưởng hay ,lúc tao đi học chắc ba mẹ m đang tạo ra thằng tinh trùng khuyết tật như m đó",0,0,0,0,0,0,0,0
Nguyễn Đạt,Khương mấy thằng thổ khơ me cay không vô duyên sao vô bình luận bênh thẳng chủ tus trong khi nó pbvm,0,0,0,0,0,0,0,0
Nguyễn Đạt,Khương mấy con tinh trùng khuyết tật khơ me nhà mày ăn tàn phá hại gen của bọn campuchia có khác toàn bọn óc ca,0,0,0,0,0,0,0,0
Khương,"Nguyễn Đạt à mà thằng vô học này cũng chịu khó vô trang cá nhân ngkhac rình mò he, nhưng dân tộc kinh tụi t đéo có loại súc sanh như này",0,0,0,0,0,0,0,0
Khương,Lo đẻo cá đi mai kho ăn,0,0,0,0,0,0,0,0
Nguyễn Đạt,Khương bọn thổ khơ me chúng mày mà nhận người kinh à người kinh di cư bắc vào đến sài gòn bình dương thôi vào gì đến cà mau mày,0,0,0,0,0,0,0,0
Khương,"Nguyễn Đạt bỡi thứ vô học như m chui dưới háng ng khác thì biết j m ơi ,đẻo x con cá chưa ,mai chấm vs pịa mà ăn",0,0,0,0,0,0,0,0
Khương,Thứ vô học súc sanh súc vật như m thì chỉ biết có nhiu đó,0,0,0,0,0,0,0,0
Nguyễn Đạt,Khương khơ me thì bảo khơ me cứ nhận người kinh tổ tiên nhà chúng mày bên cam kìa chứ đừng nhận vơ,0,0,0,0,0,0,0,0
Khương,"Nguyễn Đạt tới cái hình đại diện của con ng còn k có coi chừng biết tiếng ng chứ là loại 4 chân đuôi dài lông lá , bỡi đâu dám phơi mặt ra",0,0,0,0,0,0,0,0
Khương,"Nguyễn Đạt đó bỡi z sủa đc nhiu đó sủa quài ,chọc chọc hồi chạy vô nam tìm tới nhà cắn bây giờ",0,0,0,0,0,0,0,0
Nguyễn Đạt,Khương toàn nhà rơm nhà nào chả giống nhau biết tìm kiểu gì,0,0,0,0,0,0,0,0
Khương,"Nguyễn Đạt
tối ngày quanh quẩn trong hán ng khác thì biết đc cái gì , ví dụ ở nhà rơm mà ăn cá thật thì cũng ngon hơn cá rô cây",0,0,0,0,0,0,0,0
Khương,Nguyễn Đạt coi chừng đang chui ở gầm cầu ống cống r đi phán xét ng khác à,0,0,0,0,0,0,0,0
Tiến Hoàng Chanel,"Khương à thì ra là thg nam kỳ.
M nhảy đong đỏng lên t coi.",0,0,0,0,0,0,0,0
Khương,"Tiến Hoàng Chanel làm mình làm mẩy hả cá rô cây ,ngứa r chứ j",0,0,0,0,0,0,0,0
Khương,"Tiến Hoàng Chanel nam kỳ hay nam j đi nữa cũng chẳng ai quan tâm đâu, có m á, m chuẩn bị nhẩy tới nóc nhà r đó, ăn rau muống nhìu vô cho bổ cái óc shit của m đi",0,0,0,0,0,0,0,0
Dat Dang,Khương bọn nào nó nhảy chứ tôi thấy chả vấn đề gì,1,1,0,0,0,0,0,0
Khương,"Dat Dang đr vui vẻ thôi, gọi ng khác như thế này như thế nọ thì được, chứ ns tới cái quạo",0,0,0,0,0,0,0,0
Thai Quách,"Tiến Hoàng Chanel kêu nam kỳ thấy tự hào ghê, sao bắc kỳ kì vậy :))",0,0,0,0,0,0,0,0
Vũ Công,Khương nhiều lúc nói chuyện với thằng não ngắn như m cũng chán,0,0,0,0,0,0,0,0
Khương,"Vũ Công vậy thì câm đi đầu shit, làm như t cần nói chuyện với mặt nụ cười dọc như m",0,0,0,0,0,0,0,0
Vũ Công,"Khương não m
Ngắn lắm tự nhận đạo lý dởm",0,0,0,0,0,0,0,0
Khương,"Vũ Công xin lỗi đéo nói đạo lý mời next qua 1 bên ,m đéo là cái j mà phán xét xạo l ở đây, biến đi m",0,0,0,0,0,0,0,0
Khương,Vũ Công mặt như thằng nghiện mà bố láo,0,0,0,0,0,0,0,0
Vũ Công,Khương như mặt thằng nghiện kk. Mặt m ko như nghiện mà ng ta nói xấu cái m đỏng đảnh nhảy tới nóc kìa,0,0,0,0,0,0,0,0
Vũ Công,Khương trước khi nói người khác thì phải tự nghĩ tới mình. Ko thành ra tự vả tự nhục,0,0,0,0,0,0,0,0
Nguyễn Cương,Khương nailki,0,0,0,0,0,0,0,0
Thien Uy Duong,"Nguyễn Quang Vinh
vì người bắc tự làm xấu vùng miền của mình thôi, đến nam hàn còn hạn chế nhập cảnh người miền bắc vn mà ;))",0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương thoải mái chỉ có loại cẩu như m mới sợ ngta nói đúng tên thôi, nhìn m như con cún tội quá",0,0,0,0,0,0,0,0
Nguyễn Cương,Khương 3 nô lệ tự nhục tiêu biểu =)),0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương loại này thì chỉ có súc vật mới làm mấy hành động như vậy ,súc sanh biết viết chữ là có thật",0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương nhục dùm cho tụi ăn rau muống vs cá rô cây tụi bây á,chứ ng miền Nam chẳng ai như loại súc vật như mầy ,loại m là sản phẩm của gia phả hình tròn đó",0,0,0,0,0,0,0,0
Nguyễn Cương,Khương nhột à ngụy con =)) phản động chỉ có thế thôi,0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương tr tr chẳng ai nói ts ngụy à ,bí lời quá r cái nói dọng đó hả con trai, hồi đó ba mẹ m chùi đít cho t ổng bã đâu có sạo lờ như m",0,0,0,0,0,0,0,0
Nguyễn Cương,Khương còn văn nào hay hơn k ngụy con =)),0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương văn hay xin tặng cho loài súc sanh như m, như z chưa đủ hay sao, mẹ m đi làm chuyện gì vs cha già hàng sớm mà để lọt ra cái bản mặt lờ như m vậy con trai",0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương chúc cho tụi cưn mau nói chuyện được tròn vành rỏ chử nha, chứ nói chuyện kỉu đớt đớt z con ng tụi t k hỉu, gáng ăn shit nhìu vô đặng mau tiến hoá thành con người",0,0,0,0,0,0,0,0
Nguyễn Cương,Khương gia phả vòng tròn đây r,0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương là thứ m á ,cũng chịu khó quá he súc sanh, súc sanh thì mãi là súc sanh ,đầu óc k hơn k kém 1 loài chỉ biết ăn xương",0,0,0,0,0,0,0,0
Khương,Nguyễn Cương mời tiếp tục thể hiện mình là 1 con súc vật nhé,0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương bí văn hả j mà ăn cắp câu nói của t vậy súc vật ,thì ra rep cmt lâu là đi rình mò nhà t như thằng ăn trộm ,lộn như loài súc vật đang tìm shit mới đúng",0,0,0,0,0,0,0,0
Nguyễn Cương,"Khương k dc cay , ăn thêm iot vào chứ nc như thằng thiểu năng",0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương súc vật nó nói chuyện cũng k giống con ng nữa, thôi dành iot cho loài súc vật như m đi ,chứ m ăn rau muống cá rô cây k làm j có dinh dưỡng",0,0,0,0,0,0,0,0
Khương,Nguyễn Cương thiểu năng chính là thứ mà thằng súc vật m đang mang đó,0,0,0,0,0,0,0,0
Nguyễn Cương,"Khương đúng gia phả hình tròn có khác, nc đần quá =))",6,2,4,0,0,0,0,0
Khương,"Nguyễn Cương thì ra tụi m chỉ biết có từ cay ,qua nay thấy thằng nào cũng nói , súc vật mà cũng biết vị cay nữa ta, loài súc sanh này chắc ăn shit trộn ớt nè",0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương thôi đi cái thứ như còn lời lẻ j để nói vs t ,chỉ biết lâu lâu gâu lên mấy tiếng như vậy thôi, súc vật thì mãi là súc vật ,đừg bắt trước hành động của con ng nữa",0,0,0,0,0,0,0,0
Khương,Nguyễn Cương k biết sáng m đã ăn sáng bằng cá rô cây kho chưa,0,0,0,0,0,0,0,0
Nguyễn Cương,Khương thằng nô đói ăn hay sao mà đòi ăn nãy giờ v =)),0,0,0,0,0,0,0,0
Khương,Nguyễn Cương thấy hình dáng m t cũng mún tin m là con ng lắm mà m càng nói thì con súc sanh trong ng m nó lại lòi ra,0,0,0,0,0,0,0,0
Duy,"Trương Trung từ điển tiếng Việt có"" dị he"" à nói sai thì tự ái",0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương đói thì tụi t cũng ăn cá thật chứ đâu ăn cá cây như m, thiệt tội cho m á súc sanh",0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương chỗ t nhìu gỗ lắm ,để t đẻo cho m vài con cá cho m gặm he súc vật",0,0,0,0,0,0,0,0
Nguyễn Cương,"Khương chắn thằng nô quá, thôi thì thông cảm cho gia phả vòng tròn , nhìn cũng tội mà ...thôi",0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương nói r m đừng có lấy văn của t đc k ,năn nĩ mà ,nghe câu chửi t hay quá nói quài ,súc sanh nhìn mặt cũng ngầu như cái bồn cầu he",0,0,0,0,0,0,0,0
Khương,"Nhìn mặt súc sanh là mún ị lên ,mà ị lên coi chừng nó ăn sạch k còn 1 miếng à",0,0,0,0,0,0,0,0
Khương,"À à m là"" bồn kỳ lắc ""đúng k",0,0,0,0,0,0,0,0
Nguyễn Cương,"Khương sáng h chưa dc ăn à nô, đợi t đi wc đã nhé(",0,0,0,0,0,0,0,0
Khương,Nguyễn Cương đi wc x ăn lun nhé con trai,0,0,0,0,0,0,0,0
Khương,Nguyễn Cương đủ k t gửi thêm cho ít nè của t nhìu vị lắm m thích ăn vị gì,0,0,0,0,0,0,0,0
Nguyễn Cương,Khương à uk để dành cho nô con nữa hả ok nô,0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương đói thì nói t gửi shit cho ăn chứ k nói t đâu biết , z ăn nha, đừng ngại",0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương à thì ra m k hỉu tiếng người ns m mà m trả lời đâu đâu k à, súc sanh mà ,súyt nưã thì t lại quên m là con súc vật",0,0,0,0,0,0,0,0
Nguyễn Cương,Khương còn thằng nô bố thì đợi chiều nhé =)),0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương ăn ngon miệng nha, nhìn m ăn shit ngon miệng t cũng vui lắm súc vật à",0,0,0,0,0,0,0,0
Khương,Nguyễn Cương à mà m ngoài ăn shit ra còn ăn j nữa k vậy,0,0,0,0,0,0,0,0
Nguyễn Cương,Khương nô mẹ thì nhịn hôm may nha mai mới có,0,0,0,0,0,0,0,0
Khương,"Mà ngoài đó có nhìu shit để ăn k, vô nam tụi t cho thêm nè",0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương ăn x r hả hèn chi miệng còn dính kìa súc sanh ,ăn x chùi mép nha, h đi tìm shit tiếp đi ,chìu có cái mà ăn",0,0,0,0,0,0,0,0
Khương,Nguyễn Cương ăn x đi tìm cái đầu khất của thằng bố m ăn tráng miệng đi,0,0,0,0,0,0,0,0
Nguyễn Cương,"Khương bảo nô bố đợi chiều đi , đừng hối , hối nữa là anh cho gia đình vòng tròn của nô nhìn hết đấy •_•",0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương nữa lại ăn cắp văn ,chắc tại súc sanh k đi học nên k biết cách cải lộn vs con ng nên ms ăn cắp văn phải k , s mà nhà loạn luân s mà đẻ r đc con súc sanh như m cũng hay he",0,0,0,0,0,0,0,0
Hà Thị Phương,"Khương nói người khác thì tưởng mình hay, người khác nói lại mình thì dãy ra như lợn bị chọc tiết. Cmt thì câu trước vả ngược câu sau, câu sau đá câu trước. Con người chứ có phải con cac đâu mà nói chuyện ngu vcl",2,1,0,0,1,0,0,0
Khương,Hà Thị Phương con cac nó dính trên mặt m kìa,0,0,0,0,0,0,0,0
Khương,Hà Thị Phương m là thằng ăn shit chung vs thằng Cương j nè phải k,0,0,0,0,0,0,0,0
Khương,"Hà Thị Phương thấy có hình con chó trong trang là t nghi m rồi , thì ra m là 4 chân , cút mẹ m đi",1,0,1,0,0,0,0,0
Nguyễn Cương,Khương đừng xin nữa hôm nay t phạt thằng nô bố m nhịn r =)),0,0,0,0,0,0,0,0
Khương,"Nguyễn Cương haha nó chỉ biết có nhiu đó thôi bây ơi, ăn cớc riết nhìn đâu cũng thấy cớc là có thật, mới ăn cớt r mà s thấy m vẫn có vẽ thèm z",0,0,0,0,0,0,0,0
Hà Thị Phương,"Khương khiếp cái thể loại như mày quá. Đeo hiểu sao cũng lấy được vợ rồi tòi ra thằng con, vợ mày dị tật hay mù đúng không? Riêng thằng con mày với cái tình trạng của mày như này thì sau này cũng đeo có cái tích sự gì đâu :)))
Chăm chỉ lên đây sủa rong… See more",0,0,0,0,0,0,0,0
Tiến Hoàng Chanel,Thai Quách có gì đâu mà kì. Bọn nô dịch như chúng m hở tý là phân biệt. Trong miệng nhiều phân quá mà,1,0,1,0,0,0,0,0
Nguyễn Cương,Khương tại m sủa nhiều quá t nhốt thằng súc nô bố m vào cũi r,0,0,0,0,0,0,0,0
Thai Quách,Tiến Hoàng Chanel đâu phải ai cũng như nhà m ăn phân :))),0,0,0,0,0,0,0,0
Hà Thị Phương,Khương loại mày đeo bằng 1 sợi lông của con chó nhà tao chứ huống gì. Trông mặt mày tởm vậy cơ mà :))),0,0,0,0,0,0,0,0
Khương,"Hà Thị Phương thì ra m là con chó lang thang thấy người lại vô cắn ,dòng ăn shit như m thì, thôi nghiệp j m nói thì dành hết cho m á, mặt cac, thứ như m đm coi chừng k có ma nào dám sáp vô đâu, nói ts cuối cùng thì m cũg lại là 1 con súc sanh",1,0,1,0,0,0,0,0
Tiến Hoàng Chanel,Thai Quách nhường gia phả nhà m tất,0,0,0,0,0,0,0,0
Khương,"Hà Thị Phương mặt cạc của m là cái thứ ai thấy cũng tránh xa đó con chó à, tưởng mình thanh cao",0,0,0,0,0,0,0,0
Thai Quách,"Tiến Hoàng Chanel đâu có nhường được, chỉ có nhà m là ăn quen thôi",0,0,0,0,0,0,0,0
Khương,"Tiến Hoàng Chanel quai lại r hả súc sanh , ăn cức no chưa mà trở lại r , bồn kỳ lắc à, m đúng là 1 con chó ngoan đó",0,0,0,0,0,0,0,0
Khương,"Hà Thị Phương súc sanh tụi m hùa nhau cắn ng giỏi quá , chúc m sớm sánh duyên vs chó đực nge",0,0,0,0,0,0,0,0
Nguyễn Hải,Khương nhảy chỗ nào vậy?Nó cũng nhue Nam Kì hay Trung Kì thôi nhóc,0,0,0,0,0,0,0,0
Hà Thị Phương,"Khươngcay lắm đúng không
. Trông kìa, tao nói đúng ghê. Trông mày đéo khác gì con lợn bị chọc tiết cả. Mấy cái văn của mấy thằng đã đéo đẹp,đéo giàu, nguu và nhân cách như l như mày tao gặp nhiều rồi. Có biết nói gì ngoài mấy câu đấy đâu. Nhụccc",0,0,0,0,0,0,0,0
Hà Thị Phương,"Khương để tao kêu con vợ mày vào đây xem mày táp nha. Chứ thấy mày lẻ loi, cô đơn quá. Hay để tao chụp lại cho vợ với cả lũ dòng họ nhà mày xem cái mõm lợn của mày táp người khác rồi lại dãy ra như thế này
. Chắc vui lắm nhỉ",0,0,0,0,0,0,0,0
Trương Trung,Duy về bắt lỗi cả vùng cả miền kìa cu,0,0,0,0,0,0,0,0
Khương,"Nguyễn Hải chú nói z cho chứ thằg nhóc như tui thấy nó nhảy quá tr đó , đặc biệt là ng ở ngoãi đó",2,2,0,0,0,0,0,0
Khương,"Trương Trung vùng m tốt làm quá nhóc con à, lo đẻo cá gỗ đi ,ns nhìu quá, bố láo quá",5,5,0,0,0,0,0,0
Khương,"Hà Thị Phương cảm ơn dog nha, sủa tiếp cắn tiếp đi, qua nay mới có dog cái ,sủa nghe vui tai lắm",0,0,0,0,0,0,0,0
Trương Trung,"Khương m đang nói gì đấy t không thể hiểu được, vùng nào đẻo cá gỗ?",0,0,0,0,0,0,0,0
Nguyễn Hải,"Khương
,những thằng nói với mục đích pbvm thì nó còn
cho ấy chứ nhảu gì,nói bình thường có sao.",0,0,0,0,0,0,0,0
