
teencode,meaning
3//, ba que
3///, ba que
parkychoo, bắc kỳ
p, bạn
clm, cái lồn mẹ
ửa, tranh cãi
fb, facebook
dgai, đẹp gái
xink, xinh
xint, xinh
mxh, mạng xã hội
kco, không có
chjch, chịch
gvien, giáo viên
rep, trả lời
dr, đúng rồi
đr, đúng rồi
bme, bố mẹ
vd, ví dụ
avt, ảnh đại diện
đk, được
đko, đúng không
dk, được
gđ, gia đình
bl, bình luận
ph, phải
mik, mình
mih, mình
lmj, làm gì
nick, tài khoản
đểnh, đỉnh
đink, đỉnh
đỉnk, đỉnh
30/4, bamươithángtư
30.4, bamươithángtư
lox, lồn
em rai, em trai
troll, chơi khăm
mọe, mẹ
oog, ông
ôg, ông
homeless, không nhà
avatar, ảnh đại diện
100%, tất cả
qtrong, quan trọng
qtr, quá trời
qtrog, quan trọng
video, video
kuk, cứt
vcl, vãi cả lồn
vkl, vãi cả lồn
clg, cái lồn gì
clgt, cái lồn gì thế
ts, tới
bk, biết
dị, vậy
he, nha
ngkh, người khác
ngkhac, người khác
bỡi, bởi
l, lồn
ị, ỉa
wc, vệ sinh
uk, ừ
shit, cứt
.3/, ba que
3/, ba que
3w, ba que
sún, súng
bắgn, bắn
béc kỳ, bắc kỳ
vnch, việt nam cộng hòa
khmer, khơ me
3//, ba que
3///, ba que
bth, bình thường
bth., bình thường
clone, cái lồn
nch, nói chuyện
dzị, vậy
parkky, bắc kỳ
zọ, vậy
zậy, vậy
zẫy, dẫy
dọ, vậy
i, đi
cầy, chó
tró, chó
four`, đỉ
cave, đỉ
pảky, bắc kỳ
padkkkyyy, bắc kỳ
del, đéo
đel, đéo
đéo, đéo
méo, đéo
mé, má
condime, con đỉ mẹ
gr, nhóm
check, kiểm tra
pa, ba
chiuj, chịu
3we, ba que
pảky, bắc kỳ
3 sọc, ba que
baque, ba que
parque, ba que
pts, photoshop
xì rách, xì dách
p2, phần hai
acc, tài khoản
pay, bay
mọe, mẹ
đđ, đạo đức
kthuc, kiến thức
aan, ăn
tđộ, thái độ
đánh gi, đánh giá
donate, ủng hộ
thimz, thím
thims, thím
khum, không
zề, về
đii, đi
3///, ba que
ah, à
caí, cái
2vc, hài vãi cứt
ủn, ủng
kk, haha
dêll, đéo
lz, lồn
loz, lồn
mẽo, mỹ
mĩ, mỹ
9 tộc, cửu tộc
packy, bắc kỳ
3/, ba que
dii, điều
oii, ơi
mài, mày
full, toàn bộ
t12, tháng 12
sin lỗi, xin lỗi
noái, nói
mía, má
3que, ba que
cs, cuộc sống
vail, vãi
zk, vợ
we, quá
vkck, vợ chồng
ml, mặt lồn
///, ba que
đt, điện thoại
ák, á
cố í, cố ý
vô í, vô ý
vid, video
inbox, nhắn tin
ib, nhắn tin
drift, trượt
bro, anh
youtobe, youtube
hó, chó
avata, ảnh đại diện
ava, ảnh đại diện
đin, điên
nl, ngu lồn
nungl, nứng lồn
thast, thất
kt, kết thúc
bar we, ba que
nsut, nghệ sĩ ưu tú
thiếc thực, thiết thực
loaii, loại
đuýt, đít
uhm, ừa
éo, đéo
report, báo cáo
repot, báo cáo
m///ẹ, mẹ
hử, hả
delay, trễ
êy, này
job, việc
dùm, giùm
đi chốn, đi trốn
nhen, nha
miễn nhễ, miễn lễ
êk, ê
thor, thỏ
sin, xin
phin, phim
7 màu, .
trk, trước
juan, chuẩn
donet, ủng hộ
okk, đồng ý
z, vậy
v, vậy
face, mặt
lón, lồn

