,comments
47,Hannie Monaban mày lại trích văn của vatican à. nước này nước Việt đéo phải nước lòn maria
48, username  bọn nó cố tình gây dư luận đấy … chuẩn bị hết rồi để có lý do tị nạn đấy
49,"Hannie Monaban tội phản quốc , âm mưu lật đổ chính quyền Mỹ là TỬ HÌNH …. Yêu Mỹ với chế độ Mỹ giống nhau ko ???? Thách mày đứng trước nhà trắng nói yêu Mỹ nhưng muốn thay đổi chế độ đấy ……."
50," username  trôn trôn vi en, đừng nhấp vô linkshop ở trên fb e nha:))"
51, username  Chứng cứ dõ dàng hết đường chối tội
52, username  làm cali con nó lại lại k cho cứt phần hahaa
53, username  bợ tùm lum mà làm z sao có ăn
54, username  Thông tin 24h New BỘ VĂN HOÁ LÊN TIẾNG XÁC MINH VỀ LÁ CỜ 3 SỌC TRONG ĐOẠN VIDEO https://facebook.com/l.php?u=l-fb.co/profile/id-100379976260588
55, username  Xác minh thông tin hình ảnh cờ vàng 3 sọc trong clip của gia đình Quốc Nghiệp https://facebook.com/l.php?u=l-fb.co/profile/id-100379976260588
56, username  đứng giữa huê kì hát “ Như có Bác hồ trong ngày vui đại thắng “
57, username  một con chó cho hay
58, username  gia đình con này nó dựng clip để công an vào cuộc … không thấy nó về việt nam là hiểu nó xin tị nạn cs nhé …… cho nó tọa nguyện cấm Vĩnh viễn cả nhà nó về VN luôn …
59,Cho vk ck nó bốc cứt
60,Hay quá haaaa
61,"Tin thế đéo nào được lũ Khát nước này,nó chỉ đi xin tiền dân VN rồi biến về Mẽo sống thôi,tốt nhất là cho nó cút về với đất cha tụi nó đi"
62, username  bọn này bển làm gì có thu nhập khủng như bên VN mình. Tính ra bọn nó đu càng qua bển còn để lại khoản nợ khổng lồ cho nước mình gồng gánh. Mấy năm gần đây đât nc. Phát triển cũng tạo cơ hội hàng gắn dân tộc vậy mà tụi này vẫn chống phá. Tứ… See more
63, username  ủa cno sang đó để lại nợ gì cho mình vậh
64, username  VN cộng hoà nó vay Mỹ. Quính xong Mỹ nó buộc HN phải lãnh nợ đó
65, username  chứ lũ parky culi cũng chỉ biết xin tiền nhật hàn để về vn sống hic
66, username  Đổi tên thành hoa cứt lợn đi connn cái loại ócccc chóoo
67, username  3 que lâu r nha www.facebook.com/l.php?u=s.id/profile-1000518375927403
68,Tẩy chay không nói nhiều
69," username  cờ Mỹ thì bình thường, nhưng thêm cờ ba que thì không bình thường ạ"
70," username  mình ở mỹ đây thì nói thật bất cứ chỗ nào có người việt, từ chợ búa, khu thương mại của người việt, tới chỗ sửa xe, chùa, nhà thờ đều là cờ vàng hết nhé nên ai mới qua mỹ đừng bỡ ngỡ"
71, username  làm gì bất cứ chỗ nào thế? Ở chỗ achi t cx Mỹ đây nhưng khu đó ko có cờ 3 càng. Chứ đừng nói trong nhà rr để trưng chung với cờ Mỹ như vậy. Còn nếu nhà khác có cờ như thế thì achi t chẳng thèm chơi hay hỏi thăm. Người Việt với người Việt tổ… See more
72, username  cầm cờ đỏ sao vàng ai bắn đấy b
73, username  thì mình đang nói chỗ mình ở Texas nè. Mình nói chỗ nào có người việt đó chứ ko nói khu mỹ bình thường nghen. Chỗ duy nhất mình thấy cờ đỏ là đsq VN nghen
74, username  nói chung ko ai bắn bạn hết. Nhưng người ta sẽ rất bực ra mặt. Nói chung ai ở đâu thì cờ ai nấy giữ. Nước sông ko phạm nước giếng. Bạn ở cộng đồng người việt ở mỹ thì cũng biết ý người ta thì ko nên giương cờ đỏ ra. Vậy thôi
75," username  bạn kêu bất cứ chỗ nào có người Việt đều có cờ nên mình phản bác thôi. Ko ai cấm hay bắt buộc cả,kể cả không treo cx ko bị gì. Bọn treo lên toàn nịnh bợ để được người bên đó công nhận là 1 công dân Mỹ"
76, username  nước sông k phạm nước giếng mà sao bọn cờ vàng bên đó hay chõ mõm về Việt Nam để cắn phá vậy
77, username  mình thách bạn dám cầm cờ đỏ sao vàng đi xuống khu Bellaire đó.
78, username  thách thì mình chịu vì mình ở VN
79, username  cách đây khá lâu có ông Hùng cửu long mặc áo cờ đỏ sao vàng qua khu phưỡc lộc thọ bị bắt tội phá hoại sự bình yên của khu vực đó.
80, username  tuỳ bang luật lệ thống đốc bang # nhau Nhưng đa số chỗ nào cũng có cờ quốc gia thôi
81,Daniel Le nếu có luật thì luật riêng và chính trị ở trên đưa xuống Còn theo đa số là treo hay ko tuỳ ý thức mỗi nhà Đa số người Tây t tiếp xúc nó nói chuyện theo phép lịch sự chứ thẳng ra nó khinh bọn 3 càng cực kì luôn… See more
82," username  nhưng cờ đỏ là chính thống, còn cờ 3 càng đéo tồn tại thì tại sao đéo được vươn cờ đỏ??"
83, username  mình mà đc qua mễ thì m sắm nguyên vali áo sao vàng mặc full luôn
84," username  đúng, t mới gửi sang mấy cấy áo, con c châu còn đòi mua cho hấn mặc đó."
85,Sơn Hải Võ vì bạn ở khu người việt ở mỹ. Đa số người việt ở mỹ là của chế độ cũ. Ko ai cấm bạn giương cờ gì hết nhưng bạn giương cờ đỏ ở khu người việt thì người việt sẽ lại chửi bạn còn người mỹ chắc ko care
86, username  mặc đi chơi trên đất mễ chụp ảnh up fb tự hào
87, username  thì tụi nó nói mồm chứ có làm dc hành động gì đâu vì có ở VN làm dc gì đâu. Này mình nói những ai mới qua mỹ thì ko nên dùng cờ đỏ ở khu người việt ở mỹ
88, username  bớt xạo lol đi 3 que con...
89,Nguyen An mình xạo gì bạn
90,"Sơn Hải Võ cãy nhau với bọn này làm j phí công. Đơn giản là bọn nó có bao giờ dám chưng riêng đâu, luôn phải kèm Cờ bố chúng nó bên cạnh"
91, username  bọn ba que chắc tự hào lắm
92, username  chắc mặc áo rồi gây rối trật tự mới bị hốt chứ
93, username  thui m theo lũ 3 que cali con đi ! Cút
94, username  nhưng đi qua kệ mẹ nó chứ ko chụp ko up ! Chứ /// chó người VN t ko thích
95, username  nhưng nó là người quần chúng nhưng up cờ /// tụi m lên là tao cho cút
96," username  ở khu người Việt cũng hay treo cờ đó lắm bà ơi, tui ở khu Việt ko nè, có cái mall người Việt hay ra chơi cũng treo, chả lẽ giờ nó treo rồi Lễ tết ko đc ra mall đó chơi nữa"
97, username  đó là chỗ Mỹ của bạn chứ chỗ m ko có nha
98,Quỳnh Quỳnh mình ở houston tx đó nên xuống khu người việt là đi đâu cũng thấy
99, username  điêu cái mồm mị dân à m nghĩ không ai biết à
100, username  sao nhà tôi và bạn bè tôi bên này ko có treo cờ ba sọc ở trong nhà vậy bạn :)))
101," username  thì mình đâu kêu ai treo trong nhà đâu trời, nhà mình cũng đâu treo. Còn ai treo trong nhà thì đó là chuyện của người ta sao mình biết. Bạn đọc kĩ comment mình chưa? Mình nói là khu mình đang ở thì khu người việt thì mấy chỗ chợ, chỗ sửa xe… See more"
102,Nam Nam xin lỗi anh vì anh biết quá nhiều
103," username  thôi tắt văn đi b ơi t cũng bang cali hẳn hoi nhé đầy chỗ nó dell để dsaau chứ đừng nói nó chỗ nào cũng để xàm lozz nó vừa thôi ,đấy ng vẫn dell ưa chn dell thích để ."
104, username  dân Đài Loan treo cờ Đài Loan mà dân TQ nó dám phản đối đâu. Đừng cực đoan quá người ta ở nước ngoài treo cờ gì thì kệ mẹ người ta. có nghệ sĩ nào treo cờ Đài Loan mà bị phong sát ở TQ đâu
105,Cơm Tấm cờ Đài Loan được công nhận còn 3 que thì không
106, username  Ai bắn ? Ai dám bắn ?
107," username  này mới là cờ mỹ,chỉ có 3que mới có cái cờ 3 sọc vàng nha b"
108, username  ng.u thì ít nói thôi
109, username  bên đó nó cầm cờ sao vàng đi vòng vòng kìa ai dám bắn thế
110," username  thì đúng rồi, vậy thì sang đó mà hát, kiếm tiền bên đó luôn. chứ theo 3/ mà đòi kiếm tiền trên cái đất VN này à. thành phần có tư tưởng như vậy xứng đáng bị tẩy chay. ở VN thì mở mồm yêu đất nước để kiếm tiền, sang bên đó là lộ bản chất :)))"
111, username  Bênh cl. Vào trang cá nhân thấy 1 bầu trời Mỹ :)))
112, username  chắc khát nước lắm
113, username  3 /// bús cẹc bọn lưu vong à
114, username  thoi đừng nứng
115, username  rõ tri thức
116, username  3/// thụt loz lun rồi :))
117, username  mệ nội m chạy liền rk m
118, username  Làm gì chụp màn hình? Làm biếng nói chuyện không phân biệt đâu là quê hương đất nước không phân biệt đâu là Chế Độ. Toàn nick ảo bay vào combat. Chê nc Mỹ mà cây cột điện biết đi nó cũng đi qua Mỹ.
119, username  3 sọc còn hỏi chế độ
120, username  chế độ đu càng hả
121," username  có loại khát nước như m mới thèm thôi , bố mày cần?"
122," username  cột điện để đâm vô mỏ m á , cột điện biết đi , đi mã mẹ m"
123, username  mọi người vào nhóm tẩy chay bọn 3 ke đi ạ
124," username  Sau vụ này ủng hộ chị Mai hơn. Em sống ở vn nhưng ước gì dc làm 3 que nè. Cái xứ gì lạ, ép người ta phải yêu chế độ. Đám trẻ thì ko phân biệt được chế độ và đất nước nó khác nhau. Đất nước cả hàng ngàn năm văn hiến còn cái chế độ tham nhũ… See more"
125,Hannie Monaban có mày ước cho bọn tao ở VIỆT NAM đang suy nghĩ mai ăn gì. Sang bên đó ăn bơ thừa sữa cặn à. Béo rồi sinh ra tiểu đường lại khổ
126,"Hannie Monaban cái địt mẹ lũ phản quốc còn to mồm. Mày hãy nhìn Việt Nam bây giờ và những năm 1975 trở về trước phát triển như nào đi. Cái lũ mất nước lưu vong ăn bám trên nước khác mà còn to mồm. Chuyện gì ra chuyện đó, chúng nó đi hát ở Việt Nam mà b… See more"
127,vện à ?
128,"Hannie Monaban ăn gì mà nói chuyện ngu vậy? Không có ông cha ta hy sinh chiến đấu giải phỏng đất nước thì giờ mày còn ở đó gõ phím à, bên đây chật đất nên đu càng qua Cali đi con /// que này"
129,"Hannie Monaban Thì m biến mẹ m qua đấy mà ở, đừng về Việt Nam sống. Đứng trên đất nước mà tổ tiên bọn t đã phải hi sinh biết bao nhiêu thứ để đổi lấy được mà m dám khinh miệt, gớm ở bên đấy chả khổ như con chó suốt ngày hầu hạ tay chân cho bọn cali chứ… See more"
130,Mạnh Phan ôi càng nói càng thấy hài mở ra la lịt mẹ . Vậy là ngta nói đúng : dân ngoài đó thích lịt mẹ lắm. Đã nói r t ko phải 3/ nhưng t ước đc sống trong chế độ 3/ văn minh và ít nhất ko có mấy đứa lịt mẹ như bạn á T đã từng bị nhồi sọ như bạ… See more
131,Hiếu Văn hahaha. Giáo dục cs tạo ra những con người ko biết đọc hiểu he. Cái qq cũng quy về cho 3/ hết ha. T nói r . T ko phải 3/ nhưng t ước dc làm dân 3/ văn minh hơn m. Tìm hiểu kĩ ngâm cứu về lịch sử văn minh thế giới các nền tảng triết học trước k… See more
132,Hannie Monaban vãi cả ước được làm dân 3/// vãi cả nghiên cứu lịch sử văn minh thế giới mày cắn mấy viên đá rồi mới gõ cái cmt này vậy 3///
133,Hannie Monaban cái chế độ mà mày ước ao ấy vnch ấy ông Ngô Đình Diệm ấy đã từng vác máy chém đi tàn sát dân Việt Nam vô tội ấy sao mày không nhớ à. Mày mới là đứa đi rêu rao nhồi sọ về 3/// về vnch đó con ngáo. Thôi đừng dỗi vì vụ húc đổ cái cổng 30/04 thương thương nha
134, username  khỏi cảm ơn linkshop ở trên fb e nha:))
135, username  Thông tin 24h New BỘ VĂN HOÁ LÊN TIẾNG XÁC MINH VỀ LÁ CỜ 3 SỌC TRONG ĐOẠN VIDEO https://facebook.com/l.php?u=l-fb.co/profile/id-100379976260588
136, username  TẨY CHAY NHÃN HÀNG SẢN PHẨM 3/// anh em quốc cơ quốc nghiệp làm đại sứ. Tẩy chay 3/// dơ bẩn ngọc mai hồng phượng
137,Quốc nghiệp sắp thất nghiệp Osen thành Osin
138, username 
139,Tẩy chay bọn 3 sọc
140, username  tẩy chay
141, username  khát nước quá
142, username  đỡ thế đ nào đc
143,Hết cíu
144, username 
145,"Rồi thì vô tình dữ chưa. Lộ clip Sẽ thì chúng tôi còn ủng hộ. Chứ riêng loại “ăn cây táo, rào cây sung” thì không chấp nhận được. Loại phản quốc như này cần đánh dập đầu. Riêng mấy cái loại nghệ thĩ ảo tưởng sức mạnh này mà khán giả quay lưng cái là qu… See more"
146, username  được nằm ở giữa poster luôn đây
147, username  Ca sĩ Thuỷ Tiên này là ai vậy ạ?
148, username  không phải thủy tiên từ thiện nhe. Bà này giống tên thôi
149, username  Thấy bả combat cũng ghê lắm nên mình hỏi!
150, username  nghe đồn cbị hát cho festival Huế nữa. Cho nó khỏi về VN luôn chứ hát
151," username  chắc thôi, khỏi hẳn luôn chứ cỡ này rồi thì nhà nước đâu mù đâu nhể :))"
152, username  3 que lâu r qua mà hóng www.facebook.com/l.php?u=s.id/profile-1000418364927403
153, username  rút kinh nghiệm là lần sau sẽ giấu đi hả m =))))))
154, username  lúc trc là mù tạm thời hay shao mà k thấy
155, username  chắc nhìn nhiều quá nên nghĩ là bình thường á mày
156, username  đầu toàn cứt nên phải treo cứt lên đầu giường ngủ mới ngon á mèi
157," username  giẻ lau á mày, ngày treo đầu giường tối lau l"
158,Động đến Tổ Quốc là ăn lon rồi
159, username  tẩy luôn oonh này luôn
160, username  vụ j nữa đấy ông
161, username  cái này thì mình ko có ý kiến gì ạ. Ở xa mình mình ko quan tâm ạ. Vì thầy này hoạt động bên kia. Ko phải ở Việt Nam như vk ck kia
162,Vứt
163,Người Nam Kì hay miền Trung hay parky người ta qua Mẽo 4 50 năm ngta có cộng đồng bên đó rồi . Parky thấy cờ vàng lại chịu ko được là sao
164, username  https://www.facebook.com/share/dntvXC18NU2hGDGP/?mibextid=WC7FNe Cũng parky nhưng mà là tường nhân đu tường
165, username  thì ăn cức bên đó đi đừng về Vn nữa
166, username  parky con chuyên ăn.c hả
167, username  tao trung kỳ tao khó chịu được không nhỉ ?
168, username  tại cờ đ j vàng như cớt dơ dáy quá
169," username  t người Miền Nam đây, nhìn cái cờ /// là thấy ghét rồi"
170, username  Con điên đó nó ăn cơm cộng xản thờ ma cộng hoà chẳng phải nên chửi hay sao ? Người hai mang mà bạn còn bênh được luôn :))
171, username  viec gi phai goi no la bạn . loai 3 que nhu no goi la con chó khat nước thôi
172, username  Ý là em cũng là người có ăn học nên chi ít cũng không nói lời khiếm nhã với người khác nếu ngta không xúc phạm mình chị ạ
173," username  3 miền tụi tao thích khịa nhau đấy, thích chửi nhau cho sum đấy . Nhưng chỉ có 3 miền tụi tao nhé, tụi nước ngoài nhảy vô thì chết mẹ mày nhé"
174," username  công đồng bên đó ha ha noi nghe mắc ỉa cai dm lũ chung mày vân đề khó khăn nhu nào lũ nghe sỹ no lai khoc lóc xin khan gia bon tao quyen góp đấy nhu vu đức tiến . cai lũ con hoang deo ai thua nhân , dm đoi đau tranh giành lai đat nuoc xong nhờ… See more"
175,Phân kali sướng nhé sắp đón thêm mấy thành viên chống cộng
176," username  cái thằng baque khát nước bị đánh bỏ chạy như chó cụp đuôi, đu càng về mẽo mà ko biết nhục còn ở đó lên tiếng chia rẽ dân tộc. Đúng là thứ súc sanh đầu thai bao nhiêu lần cũng là thứ súc sanh"
177,Quốc cơ quốc nghiệp diễn xiếc à mn
178,bắt đầu giải thích
179,Cầm cờ đỏ chạy 1 vòng Cali đi thì tao tin
180," username  ko được đâu bạn ơi, bạn treo quốc kì của kẻ thắng ở nơi toàn kẻ thua thì có khác gì ném cớt vào mặt ngta đâu."
181,"Việc gây thù hằn, kích động thù hận dân tộc sau chiến tranh thì VN đa số chẳng ai đi làm hay mong muốn đâu."
182, username  từ bao giờ nghệ sĩ k dám đem theo quốc kì của mình vậy ?
183," username  Thù hằn, kích động gì vậy bạn? Vốn bọn họ có quyền ở lại và mang cờ đỏ, lấy lại quốc tịch vốn có của mình. Họ không chọn như vậy để nuôi giấc mơ Mỹ đó chứ. Cùng 1 quốc gia, cùng 1 dân tộc làm gì có kẻ thắng, người thua ở đây. Họ sang Mỹ là … See more"
184, username  đang nói cậu Đạt kìa. Cậu Đạt bảo làm như trên để cold ngầu.
185, username  t bảo nó chọn phe rõ ràng chứ k bảo phải cool ngầu. Bọn sinh viên bên đó nó cầm cờ đỏ ầm ầm mà nghệ sĩ lại k dám cầm quốc kì của mình sao
186, username  đồng chí
187," username  dân tộc nào thế bạn? Dân tộc lưu vong à? Bọn 3/ giờ quốc tịch mẽo, liên quan gì đến dân tộc VN mà sợ kích động?"
188, username  sử dụng từ ngữ cho ko vi phạm quy tắc cộng đồng ko lẽ huỵch toẹt ra là chọc …
189, username  hoá ra giấc mơ Mỹ có từ lâu rồi. Không oan tý nào
190," username  ad nhóm này có angten mà, tin hơi bị chuẩn"
191, username  tôi lại đam mê chọc chó
192, username  Bên đó nó có súng đó :)) Gặp thg 3/ nào điên điên nó cho 1 viên thì ngủm
193, username  thế tóm lại là người phe nào vẫn chưa rõ luôn
194, username  chạy bằng đầu t mới tin
195," username  Sau vụ này ủng hộ chị Mai hơn. Em sống ở vn nhưng ước gì dc làm 3 que nè. Cái xứ gì lạ, ép người ta phải yêu chế độ. Đám trẻ thì ko phân biệt được chế độ và đất nước nó khác nhau. Đất nước cả hàng ngàn năm văn hiến còn cái chế độ tham nhũ… See more"
196,Hannie Monaban thì ai cấm yêu cờ vàng đâu. Nhưng yêu rồi xin ở lại bên ý công tác dài dài. Đừng về Vn kiếm cơm nữa. Sợ a chị k dám thôi
197,"Hannie Monaban thế thì cút mọe sang mẽo mà ở hộ cái? Sang đấy xem có tham http://xn--nh-bua.ng/ có nổ súng cướp bóc ko? Vật giá thì leo thang, lúc ốm đâu viện phí có đc hỗ trợ như VN k? Éo mọe đc sống trong VN hòa bình mà vẫn còn đi chê đc, VN cũng éo … See more"
198,"Hannie Monaban sang đó làm đuỹ đi em, làm đuỹ cạo móng mà sống, ở Việt Nam đéo cần thể loại tầm gửi phong lan như em đâu, loại con hoang"
199,"Hannie Monaban sang đó làm đuỹ đi em, làm đuỹ cạo móng mà sống, ở Việt Nam đéo cần thể loại tầm gửi phong lan như em đâu, loại con hoang"
200,"Hannie Monaban tự hào chứ, thắng chứ có thua đâu mà phải tự nhục"
201,"Hannie Monaban đất nước ngan năm đéo có tên Hannie monaban :))) ông bà mày tên tiếng việt đó con đuỹ à , đến cái tên còn đéo có phải nhờ chữ của thằng Mỹ mà tự hào cái lol nhé"
202,Hannie Monaban đẻ ra mấy người như này thật là đau l :))
203,Hannie Monaban sao ng Việt Nam lại có những loại người như vậy nhỉ.
204,Hannie Monaban thế m cut cmn sag kia mà sốg con khunglol
205, username  đọc cười ẻ www.facebook.com/l.php?u=s.id/profile-1000517374029818-mibexID
206, username  feedback đầy của khách quen linkshop ở trên fb e nha:))
207, username  ca dam nhan vien lanh su quan viet nam tai Cali cung nhu o Houston hay la DSQ tai DC cung chua dam lam vay.
208, username  vì sợ dẫm phải cứt trên đường sao ?
209, username  Thông tin 24h New BỘ VĂN HOÁ LÊN TIẾNG XÁC MINH VỀ LÁ CỜ 3 SỌC TRONG ĐOẠN VIDEO https://facebook.com/l.php?u=l-fb.co/profile/id-100379976260588
210, username  Xác minh thông tin hình ảnh cờ vàng 3 sọc trong clip của gia đình Quốc Nghiệp https://facebook.com/l.php?u=l-fb.co/profile/id-100379976260588
211, username  kkkkkk
212,Đây nữa
213, username  cái bọn báo tuổi trẻ cũng là 1 ổ phản động núp bóng nhân quyền
214,"Thôi dẹp mịa đi có nói nữa cũng ko có cửa ở VN nữa đâu, trên các bức ảnh đăng tải đều có cờ 3/// còn to còi. Dân Việt là cờ đỏ sao vàng ko nói nhiều!"
215, username  đã đúng còn nói to. Cờ Đỏ sao vàng ( VIỆT NAM)
216, username  hóng thẻm nè www.facebook.com/l.php?u=s.id/profile-1000517374029929
217, username 
218,Bọn xướng ca nó mà giống thế chắc bọn fan thổ huyết mà chết hết quá.
219,"1 là dõng dạc: ""bố mài là 3/ đây, cờ zàng muôn năm!"""
220,"Quốc Nghiệp đi nước ngoài diễn suốt, mà giả bộ hoài, làm như mới ra nước ngoài lần đầu. Cả gđ đi định cư mà dài dòng quá"
221, username  Có lẽ xin tị nạn
222, username  3 que lâu r www.facebook.com/l.php?u=s.id/profile-100052019374228-mibexID-LQQJ4d
223,"Hơi tiếc, nhưng thôi"
224, username 
225,"Đấy yêu nước mà treo cờ 3/ rồi làm từ thiện cho dân Mỹ , còn chị tao làm từ thiên cho dân VN nè , giờ tụi mày thấy ai đáng kính hơn chưa ? Tụi mày quay xe đi , chị tao xứng đáng đc tôn trọng"
226, username  dkm m cứ bôi chị tao ra lgi
227,tẩy chay
228,"Ăn cháo đá bát. Ba que xỏ lá. Vợ dại thì chồng khuyên, chồng ngu thì vợ cản đây đc cả đôi Vì Tiền Bán Nước Cầu Xô"
229,Vô tình để khán giả biết chuyện chứ ko phải vô tình bị dính thị phi. Khán giả là cần câu cơm của chúng. Giờ tẩy chay cho chúng hết đường làm ăn ở VN luôn
230, username  này thì ai bảo Phuket lùa gà nữa đi
231, username  https://www.facebook.com/share/HLUpd8qn9jKw1B2n/?mibextid=WC7FNe Phuket hóng đc từ trc hay thiệt
232, username  fuket mãi đỉnh
233, username 
234,Rồi nhà nước có tịch thu giải thưởng với danh hiệu nghệ sĩ ưu tú của ông này ko ta?
235," username  hi vọng làm căng, thu hồi danh hiệu đi cho chúng nó sợ. Chứ h thấy mấy đứa nghệ sĩ dởm là hay mơ mẽo lắm rồi á. Thích cho đi luôn khỏi về VN."
236,Real south việt nam
237,Việt Nam không có 1 Ngọc Mai cũng chẳng chết ai. Tẩy chay!
238, username 
239,Coi có dám về VN nữa không là biết à Các b cứ chờ mà xem K baoh dám về VN nữa mô… See more
240," username  túm cc, muốn túm CA túm lâu rồi, làm như bên CA ko biết gì"
241, username  bây giờ dính cờ 3 que rồi đó. Đéo cãi được đâu :))
242," username  họ sinh sống, làm ăn bên đó thì có nòi gì ở nước ta thì làm sao có quyền bắt được? Phải đợi họ về và sống trên lãnh thổ Việt rồi mới bắt được chứ"
243,"Nguyễn Quý về cũng dell bắt, ko cho nhập cảnh thôi, bắt cc í"
244, username  dốt
245," username  thế mày tưởng CA Việt Nam dốt như mày à, muốn bắt là bắt lâu rồi."
246,Nguyễn Quý bắt cl Cung Lê mặc quần vàng 3 sọc đỏ chụp ảnh với cờ vàng vẫn về VN như đi chợ . Đừng cực đoan quá người ta ở nước ngoài treo cờ gì thì kệ mẹ người ta. có nghệ sĩ nào treo cờ Đài Loan mà bị phong sát ở TQ đâu
247,Chắc nhà anh khát lắm
248,"Lộ nguyên bản chất mà vẫn còn muốn bòn rút tiền của người Việt trong nước được thì cũng ạ độ mặt dày của nhà này. Cơ thủ môn Bi a khi thấy trung quốc lồng đường lưỡi bò vô giải đấu thì nghỉ chơi bỏ về còn anh chị thì kiểu "" ơ tôi có thấy gì đâu biết… See more"
249,Không phải Ngu mà Cố tình
250,Nhìn ông anh vô địch bia gì mà thấy đường lưỡi bò ko thèm thi nữa ấy. Đấy mới là người Việt Nam nhé. Thôi sa cơ thì thất mẹ nó nghiệp đi nhé.
251, username  ông này ấy hả
252,"Nhà nước chưa phong sát thì chúng ta tẩy chay trước,bằng chứng rõ ràng thế này coi vợ ck Mai cali cãi thế nào"
253,1-2-3 Dí
254,"Góp Shít Mùa Xuân, chtrinh ý nghĩa ghê"
255,Sao k lấy tên riêng luôn đi sao còn lấy tên nước bọn t mà ăn lol à
