ID,comments
34,Nguyễn Xuân Trưởng bởi vậy thầy cười suối luôn
35,khổ cho người dân mình quá.!!!
36,Dao Nguyen người dân sao mà khổ. Nó có ép phải chuyển cho nó đâu. Mê muội thì mất tiền. Khổ gì
37,Trần Văn Tuấn Họ không éo. nhưng với những lời lẽ như vậy thì ngay cả tôi và bạn cũng khó từ chối !!!
38,Dao Nguyen thôi tu ở trong tâm đc rồi bác thắp hương thắp khói tại gia thôi chùa chiền làm gì giờ toàn ma tăng
39,Trần Văn Tuấn
40,Dao Nguyen . Khổ tự vác vào mình chứ. Vì mê muôi thì ai cản được.
41,Nhìn mặt thầy sao ko thấy có hậu chút nào lun ak trời
42,Ớn mấy thầy thích chuyển khoản này quá
43,Khó thế mà thầy cũng làm đc
44,Cường NguyễnBá suy nghĩ mãi mới ra đó chứ ...kaka
45,Đỗ Hoa chuyến này thất thu :))
46,"Quá đáng sợ, thời Mạc Pháp tới thật rồi, rất hoang mang dù con cũng là đệ tử nhà Phật đã quy y có pháp danh và giờ đây con thà tin vào các tượng Phật Linh thiêng tin vào các bài giảng trên trang giấy chứ con không bao giờ dám tin các Thầy online. Nam M… See more"
47,"Thật sự là cũng do bọn chúng cạnh tranh nhau, đua nhau đưa lên mạng những đoạn thuyết giảng nên thành ra nó mới lòi ra được trình độ học thức trong chất lượng bài giảng của nó. Những cái bài giảng đó thật sự là nó khiến cho người dân thấy vô cùng hoang… See more"
48,Nhận máy mà ko chuyển khoản là nợ Nhân quả tới liền nha phật tử
49,"Ông này gọi thích nhận tiền, bây giờ có một số nhà sư làm bẩn cửa phật , tại sao giáo hội phật giáo ko loại bỏ những thành phần này đi nhỉ"
50,"Không phải như báo PL nói trụ trì chùa Lâm tì ni ở daklak đâu, thầy trụ trì tổ đình Hộ Pháp phú mỹ, bà rịa VT. Thầy Thích chuyển khoản lắm."
51,"Chuyện nhỏ ,chỉ là cái số tài khoản thôi ,chuyện đơn giản có thế thôi mà thí chủ cũng đưa lên Facebook Đã bảo tùy tâm rồi mà"
52,Nghia Văn thầy thích đủ thứ không nói thì ai biết tật xấu
53,Hoa Tran chuyện thế thôi mờ
54,"Thấy cái mặt tên này không có đức tý nào,tên này đi làm hề cho các gánh xiếc thì đúng hơn"
55,Có bài hết..Khầy thật cao minh..
56,Ngày càng mất niềm tin vào các thầy. Dẫu biết rằng đâu đó vẫn có rất nhiều thầy thật
57,Bố tổ loạn vì tiền rồi
58,ôi nụ cười như cái icon này luôn :)))
59,Khầy củng có sáng kiến hơn mấy khầy kia nhỉ
60,"Thy Võ mấy thầy kia kb zalo Viber hết r, có STK hết r, k cần ghi ra danh thiếp"
61,Thầy Thích Massage đây mà
62,Cười 1 cái bay phước luôn tr ui
63,"Thôi Hiền ơi, mình chuyển qua sân khấu Sài gòn tếu làm nghề chân chính đi Hiền ơi! Chứ làm vậy kỳ lắm"
64,Nói về luật nhân quả thì những người bôn ba kiếm ăn ngoài đời mới là những ng từng trải nhiều nhất. Và họ xảy ra nhiều áp lực + có những kinh nghiệm trải đời nhiều nhất. Tại sao mn phải đi nge luật nhân quả từ những ng thợ tu chỉ biết ngồi trong chùa n… See more
65,Nhìn quả mõm là biết đớp thì thôi roof
66,Ối dồi ôi :))))))
67,Vụ này không thấy Giáo Hội Phật Giáo lên tiếng
68,Tâm Minh ờ ? ? ?
69,"Tâm Minh nếu đánh vào 1 phát , là đi cả đoàn sao? Đốt lò chưa đc, cứ từ từ"
70,Bố cũng lậy thầy
71,Mất niềm.teen thế nhỉ
72,Có luôn hả
73,nhìn mặt ổng không thấy thiện cảm gì cả
74,Kkk
75,"Cũng đáng thôi, u mê thì ráng chịu trách chi ai"
76,Tình hình này không còn biết tin ai nữa. Thầy tu sao còn làm những điều khó chấp nhận như vậy.
77,Mặt thằng này trông đê tiện thật
78,Xuân Nghĩa chuẩn
79,Thầy Ông Cố
80,Mặt ông này dâm nhất trong các khầy
81,"Đức Hậu nói nhỏ thôi em, khầy ngại"
82,Hãi cái “luật nhân quả” của các “thích”
83,Thick Nhận Bút
84,Thick Chơi Sang
85,Thầy trò (!) j mấy loại này
86,Thèn cha mỏ tà la như lol trâu
87,Kinh doanh phật; đây là những nhà kinh doanh tài ba ; giả ăn chay; cạo tóc vào chùa thuyết giảng vậy là kinh doanh làm tiền được các phật tử hướng phật (xu thế ngày càng đông)
88,BoBenbun Bố gọi cách khác là các thầy đang chạy nước rút để làm đại gia trong làng thợ tu trước khi mắt mờ chân tay chậm về quê chăn rau thả bướm
89,Đi tu giờ là nghề kiếm tiền cũng như bao nhiêu nghành nghề khác thôi nên bản chất chủ yếu là kiếm tiền
90,Siêu ma tăng ! Tu chùa nào vậy ?
91,Trần Sỹ Phúc hộ pháp vũng tàu
92,Thích Nhặt Tiền
93,Chưa bao giờ thầy tu bị bốc phốt nhiều như bây giờ !
94,"Mình đang nợ 2.tỷ ,giờ mình cúng 2.tỷ tiền nợ đó cho thầy thầy có nhận ko nhỉ"
95,"Thật ra cúng dường với tâm phụng sự Tam Bảo là rất tốt, bạn cúng bao nhiêu tuỳ tâm hộ trì Phật Pháp phát triển. Đừng viết những bài tiêu đề như vậy, làm cho đạo Phật trong lòng mọi người ngày càng xấu đi."
96,Ngọc Phan thế nói luôn bán tùy tâm toàn dựa vào Phật mới tiền dân
97,"Hà Doãn Nói như bạn thì quá tiêu cực, Phật Tử có người này người kia, người nào có mà phát tâm thì cúng, để các Thầy lấy đó làm Phật sự, mở các khoá tu lo cơm nước cho cả ngàn người về tu tập, hỗ trợ các Thầy trẻ mới lên đi học hành. Mình chỉ nói theo … See more"
98,Cuối cùng các Khầy cũng đã tung tuyệt chiêu cuối rồi
99,Sư chùa Bốn vàng!
100,Có stk thì dễ đi lắm :))
101,Sợ quá Thầy ạ
102,Thêm một thằng trọc Thích chuyển khoản nữa rồi mấy tuần nay xôn xao chưa tởn giờ tiếp tục
103,"Hok ấy mỗi ng ck 5k ghi rõ note "" hom qua em tuyet làm "" thì sao mhir"
104,Bg trong quyển kinh phát cho Phật tử còn có số tk nữa là...
105,"Nhìn mặt khầy có hậu lắm mà các bạn,nhưng mà là "" Hậu Quả Khôn Lường"" nha"
106,Thầy tranh thủ để Thầy hoàn tục Thầy có mà dùng ấy mà.
107,Dạo này toàn ma tăng trỗi dậy
108,Thằng này coi vậy chứ có nhiều chị e cưng lắm à nghen! Nhìn mặt là biết! Và nó cũng đã từng hãnh diện về điều đó!
109,Mặt thằng này sao mà học hành gì trời
110,nhìn cái bản mặt chán thật 
111,Đức Phật hiền từ quá để cho đám thợ tu này nó làm mất hình ảnh.
112,"Nhìn bộ nhá a này mồm rộng ,làm khó sử các Phật tử rồi"
113,Công nghệ số quá Thầy. Cho địa chỉ nhà đến Tuỳ Hỷ được không Thầy.
114,nhìn chán thật. ô bẩn phật pháp
115,Nhìn mặt thầy …… chán chả buồn ví như mào luôn
116,Này mới được gọi là thầy @@
117,"Mô phật! chùa nào chứa được thầy, phật ở chùa ấy quả là gánh còng lưng."
118,Hoan hỷ. Thích nghe thầy giảng pháp lắm mà sao dạo này ít nghe. Chắc muốn hết duyên vs những bài giảng của thầy rồi
119,Đat Trương mấy a thợ tu này mà giảng cái gì nghe thì bật thầy pháp hoà mà nghe
120,Tiến Thịnh Dt tao toàn của Pháp Hòa đây này
121,Đat Trương chắc pháp hoà tóc dài hả
122,Tiến Thịnh M điên rồi
123,"Xàm tăng, tội lỗi cho Phật giáo."
124,Bọn này được Phật dạy à
125,"đời này công bằng lắm , có ai cho ko ai cái gì"
126,Linh Vũ Phan tuỳ duyên á ní kk
127,Thằng này mà làm sư thì nó lừa hết của các tín đồ Phật tử.
128,Quá chuyên nghiệp và lợi hại
129,Thầy ăn mảnh
130,Thu về vài chục tỉ bỏ ra 2 tỉ nuôi mấy mạng già lấy danh tiếng làm màu thoạt nhìn thoạt nghe tưởng là đức độ vải thưa che mắt thánh
131,Mặt gian gần chết
132,Cho cha cho mẹ thì tính từng đồng.
133,Cho thằng này lên đường đi. Nhìn ngứa cựa
134,Bảo thằng này đi niềng răng đi
135,Thành Mốc thầy giảng pháp còn bảo bắn hết mưa xuân trái mùa vào mặt các phật tử kia mà :)))
136,TR A NG's mặt này trộm cướp chứ thầy gì
137,Sự này chắc ăn nhiều hơn cầu
138,"Thầy trông hồng hào béo tốt thế, nhìn nụ cười là biết thấy.. thích đủ thứ rồi… đến cúng nhiều nhiều cho thầy để thầy giảng pháp rồi về tha hồ nhiều phước…."
139,Nhìn khầy thấy uy tín rồi :)))
140,Phong cách vị này không giống tu sĩ .
141,Các Phật tử tỉnh táo lại bớt đừng để ngu muội lấn át tâm trí khi cúng dường cho mấy ông sư này
142,Nhìn thôi đã không có một chút cảm tình với thằng chó nhuận đực này mà sao vẫn có những người u mê vẫn tin và ck cho nó (quá ngu)
143,"Mua thần bán thánh lừa người chứ thầy bà gì. Cứ sống theo pháp luật thờ ông bà tổ tiên, không việc gì phải tôn sùng ông ọ bà kia cho mệt"
144,Tha con tép nuốt luôn con tép Cho thầy vui
145,Mồm thầy phúc hậu thật
146,Ông chân Quang đã bảo rồi tướng kg đẹp thì tâm cũng vậy!
147,Đoàn Văn Thanh báo PL lên nà…xong rồi lượm ơi…
148,Chư ngộ năng
149,Riết mấy thợ tu làm quá trời quá đất.
150,Thích cúng dường kkk
151,Thích Chân Quang và Thích Nhuận Đức .
152,Cúng dường cho khầy dj masa
153,Vẫn u mê quá
154,Thì đừng ai ck lời cái máy!akka
155,Nếu xem tướng mặt thằng thợ tu này rất là gian xảo và lưu manh lắm nè các phật tử
156,Chiêu trò dữ tợn ghê chưa…kk
157,Nhìn cái mồm đầy răng chìa ra là biết tham ăn mà lại ăn bẩn nữa.
158,Có khi nào cả đời tu đến khi nhắm mắt lại xuống tầng 18 không A di đà phật
159,"Giờ kb chùa nào còn nhận k nhỉ , đi tu làm 1 mớ xong hoàn tục lại ngon , nghề này giờ đang hót"
160,"Tất cả những người tu hành mà có số TK riêng, có tiền riêng, đất đai nhà cửa riêng tư cho mình, thì là tu hú hết. Mn đừng nên u mê mù quáng tin những cha nội đó, vì những con người đó là thợ tu. Theo đạo là phải có trí tuệ. Tu Hành là không có gì ngoài… See more"
161,Thợ tù giờ khôn như chó
162,Thằng này miệng rộng chắc táp nhiều lắm
163,Thầy nói phét....miệng thì ồn ồn ....thầy bây giờ toàn gì đâu k...vậy mà củng có ng ngồi nghe.
164,Cái mặt nham nhở bắt ớn
165,"Lòi mặt 1 xàm s,ư"
166,Giống Nam đẹp trai :))
167,chẳng ra cái giống đéo gì. t chỉ tin vào phật pháp k tin vào ng truyền đạo.
168,"nhìn thầy phúc hậu quá,mồm kia chắc trả ăn được gì"
169,Cúng dường thầy chứ tam bảo nào
170,Nhìn mặt giống quỹ
171,Thợ tu cùng dòng thích ông nội
172,"Nước ta có Giáo Hội. Vậy tại sao các tu sĩ chùa/ tự viện đã/ đang/ sẽ làm Sai tôn chỉ chẳng có hình thức xử phạt nào cho công chúng thấy ra ngô - ra khoai? "" QUỐC CÓ QUỐC PHÁP- TỰ CÓ TỰ QUY- GIA CÓ GIA PHONG."""
173,Nhìn cái mồm khầy là biết sức khầy Khợp tnao rồi
174,Thựơng toạ thích đủ thứ
175,Thằng bỏ nước đá lẻ nè
176,Bình Già chùa thì phải cúng dường mới tồn tại mà cũng vừa phải thôi. Cuộc sống dân khó khăn là tụ họp bày vẽ quá trớn. Một nhóm người tụ học nghe giảng vài ngày thôi là chi phí xe có di lại ăn uống hành lể rất tốn kém gây lãng phí .
177,Duong Quang Nghia uhm đúng rồi em
178,Bậc thầy Marketing
179,Nhìn tướng mạo rất giống loại sôi thịt...???
180,Thầy thích money
181,Nụ cười thật hồn nhiên mà
182,Thầy chi mà nhìn mặt nham nhở !
183,"Nhìn thấy "" gian gian "" rồi!"
184,Thầy có bộ nhá uy tín thế
185,Từ ngày bạn tui xe cho coi lip của thầy này tui thấy ổng giảng ổng cười tự nhiên tui sợ ma ghê luôn á tui là dân ghiền nghe truyện ma
186,Niệm Phật mà ko để hình ảnh Phật mà để hình thành là biết ngã mạn quá lớn rồi chứ đừng nói chi về Tham
187,Mô Phật
188,Thầy bây giờ gọi thầy chùa là nhiều
189,Nhìn trông k có thiện cảm cho lắm .
190,Đinh Văn Hiếu sư chùa e sn96 còn tâm sự vs e mở 2 cửa hàng cf bị sập cả 2 :))))
191,Thành Trương thế hả .a k theo tôn giáo nào cả . Sư h đại trà như 1 ngề rồi sao ý
192,Đinh Văn Hiếu sư ở chùa của làng e đấy
193,Thích Nhận Tiền
194,Mặt giống Thích Tâm Phúc thế
195,Cái từ thầy phải nên xứng đáng từng con người.
196,bất ngờ chưa
197,Trông mặt biết rồi
198,Mấy thằng này thì ko bắt nó khầy lầy
199,Mặt gian thế này mà một đống con nhang ko nhận ra à
200,Quả PR này của thầy kinh điển đấy
201,Thằng này trươc khi làm thơ tu nó đi bán hàng đa cấp nhỉ
202,Nước cờ này khó thế mà cũng nghĩ ra được…
203,Đã đi tu rồi vẫn còn muốn đớp tiền này tiền lọ. Sư lăng nhăng.
204,Làm thầy dễ thật định mệnh
205,Mới nghe khúc đi massa
206,"Ông này giới thiệu là kẻ lang thang nhậu nhẹt, bất hảo không có việc làm rồi tối ngủ ở chùa sau giác ngộ đi tu, thuyết Pháp không chuẩn xác. "" Thích đủ thứ thì đúng hơn """
207,Thằng ni mà làm thầy hay thiệt. Nhìn cái miệng như hà mã. Phát ngôn hư mồ mã. Nói chung toàn mã vs mã
208,Cúng cho nó lấy tiền đi massage chứ làm gì.
209,"Thầy Thích chuyển khoản cười tươi thế, cái máy nghe pháp hay máy niệm phật 100k, chuyển khoản cho khầy ít lắm 500k, khầy lời lắm luôn, vô chùa thường khầy rỉ rả chuyển khoản hoài chịu sao xiết trời."
210,Thông minh quá khầy ơi
211,Thiếu lâm tự đúng là thái sơn bắc đẩu
212,NAM MÔ A DI ĐÀ PHẬT
213,thầy này nhìn phù hợp với nghề mổ trâu mổ bò
214,Mõm thầy zống mõm con lừa thí
215,tu công nghiệp
216,Ông này năm 2022 ngồi cùng thợ hát Duy Mạnh rồi có đăng tik tok phải ko nhỉ?
217,Thằng này chúa hề chứ thầy thọ cái qué gì
218,Nhìn cái mặt đã k có tý thiện cảm nào.
219,Mặt thằng này giống con heo nọc
220,Sư kinh doanh.
221,Chắc thuộc GHPG VN chứ
222,Trụ trì được bổ nhiệm
223,Khầy khoang trắng trợn quá khầy!
224,Đại Đức Thích Chuyển Khoản à
225,Ni là thợ tu lại bảo tự ái
226,Mồm cá ngão chỉ đớp thôi tu tập gi
227,Thằng ni vừa gian vừa ác
228,Tóm lại mục đích cuối cùng là tiền Còn các việc khác chỉ là phương tiện để kiếm tiền
229,Thày khác trong phim quá
230,Khôn lỏi….
231,nhìn cái mỏ thấy hãi
232,Giờ đi học đi làm xưa rồi đi tu mới là con đường nhanh giàu và nhàn
233,Tâm sinh tướng…
234,Thằng này mà sư gì?????
235,Nụ cười đẹp nhất thế giới mà tôi từng được ngắm.
236,Từ ngày có thầy TMT thì máy a trọc này khó kiếm ăn rồi
237,Sao bảo thầy ăn chay mà mũm mỉm quá trời ?
238,Con nhang đệ tử lại cứ tưởng hốc được của khầy á. Mơ đi…
239,Thầy bà nay thái hóa hết rồi
240,Miệng thầy rộng quá ko từ thứ gì
241,Thầy tư duy quá
242,"Nhìn miệng thày nó bẩn ,cái mặt nhăn nhở trông mất dạy lắm"
243,Thích Lợi Nhuận
244,Tram Nguyen Happy Tour lợi nhuận phải kèm thuận lợi....
245,"Như 1con vậy, chán."
246,Thầy giành khôn hết phần thiên hạ
247,Phật giờ dùng agribank hả m.n
248,Buồn buồn nghe mấy thằng thầy chùa này sl cũng vui. Cái j tốt thì nghe và biết chọn lọc. Còn nghe tụi nó nói xàm rồi ngồi cười thì thua. Bây giờ được bao nhiêu thầy tu đúng nghĩa. Tài khoản mấy ổng trên 9 con số mà người nghèo thì lại bỏ tiền ra dâng lên
249,Khéo quá trời khéo :)))
250,Thầy ít khôn ghê ạ
251,Nhìn mặt thằng này thấy lưu manh đểu giả
252,Thích Nhăn Răng
253,"Thời buổi đổ xô đi làm khầy. Tiền bá tánh làm cống nạp, mặc sức mà hưởng lạc"
254,Nhìn hình khầy thật phéc hậu
255,Đôi khi ko thể ko chữi thề
256,Thầy giống Kim Sĩ Điểu quá.hoá thân của kền kền
257,Thợ tu cá giồ .
258,Quỉ dương chứ ko phải ma dương
259,Đỉnh cao bán hàng
260,"Thời buổi này toàn khầy, bày mưu, hiến kế, lập kế, mấy ông giờ tu trong trang thái thấy được bác là khoái. Nam mô a di đà phật."
261,Vậy mà khối em u mê vẫn chuyển
262,Thầy mới tốt nghiệp khoá kinh doanh 4.0 xong mà
263,Nhìn cái mặt mà muốn đánh lộn
264,thầy thì kinh rồi
265,lỡ nhận máy rồi mà không ck là mắc nợ suốt kiếp
266,Nam mô a di đà phật... Cho con nghỉ tu 5 phút con chửi mấy thằng thầy chùa này cái.
267,Nhầy thích chuyển khoản
268,Nhìn thấy mặt là khó ưa rồi mỏ cá tra
269,Mặt này kg phải ma mà là quỉ tăng !
270,Thích nhuận trường
271,Nụ cười sợ vãi
272,Cái chiêu bỏ con tép lấy con tôm ấy mà
273,"Mặt này vô hậu Thời mạt pháp. Tu sĩ nói lung tung .làm cho phật tử nghi ngờ giao động, mất niềm tin vào các vị tu sĩ."
274,thích nhận đức
275,Vãi thầy với chùa
276,Dm thằng mồm rộng
277,Đỉnh cao của sản phẩm mồi
278,Mất mặt
279,Sao giờ các thầy ăn chay kiểu gì mà vẫn béo mặt nhẵn thín .. Mình ăn ít mới có tuần mà gầy da dẻ như người sắp chết .
280,Chiến thần chốt đơn.
281,Ông này nhìn mặt khả ố
282,A thợ tu
283,"Báo đởm nay đăng thích chuyển khoảng luôn kìa , ai chống phá đạo phật đây vào mà xem ."
284,Hỏi sao mấy thầy đi tu giờ giàu vãi
285,Thích lợi nhuận
286,Nhìn mặt là đã biết kẻ gian dùi
287,Cha bố thầy
288,"Hok bjk sao tui nhìn Chú Khánh k 1 chút thuần hậu, k 1 chút phúc đức hiện ra"
289,Nhìn thầy cười thoải mái ghê
290,Sư gì mà như lợn ỉ chỉ biết liên nhờ chính phủ vào cuộc
291,Ôi thầy giảng dân nghe răm rắp
292,Toàn là thầy kinh tế
293,Ma tăng !
294,Làm tiền hợp pháp
295,Ôi thầy
296,Giờ thì ai tin mà chuyển khoản nữa chuyển mệnh giá lớn thì Phước lớn
297,Mỏ toè loe.đi đứng ko bình thường.nói năng cục súc.vậy mà các phật tử ko nhận ra cái cốt cách bậc sư thầy.theo tôi thì ngu muội hết .ai có chửi thì cứ chửi tôi nhé?
298,THÍCH CHUYỂN KHOẢN …. kkk …
299,nam mô nam mô tiền vô tài khoản.
300,mặt uy tín vãi
301,Thầy Thích Nhận Đô
302,Không khéo các khầy cũng bị khoán doanh thu cũng nên
303,Ngu thì chieu. Ba mẹ gđinh ko lo. Lo đi cung mấy thằng khùng. Ước gì gặp tao đập chết con mẹ mấy thằng tu đó lun
304,Tham lam vô độ Nói láo nói dóc Riết dị ứng mấy thích money luôn… See more
305,"Ti hí mắt lươn ..,.đoạn sau e ko nhớ ạ"
306,Bây giờ thầy tu mà cũng có nhiều chiêu trò đa cấp. Kiếm tiền
307,Dù mẹ toàn ma tăng
308,Bố thằng chư bát giới
309,Chely Tú Thanh Tâm
310,Thầy mõm rộng hay đớp
311,Tâm sinh tướng mà mặt này xoio thịt quá
312,Thầy biết kinh doanh giữ
313,Thích chuyển khoản
314,Tùy tâm năm chăm
315,Giám đốc cty này làm ăn đc nhỉ
316,Thầy là bậc thầy thu hút vốn kkk
317,Toàn sư hổ mang
318,Thợ tu đừng nôn nóng từ từ rồi em nào cũng có đừng chen lấn em có ko
319,Ma này thuyết giản chưa đi tu đã đi massage 2 3 em mas
320,nhìn cái kiểu cười thấy gớm
321,Sợ thật
322,Họ Thích suy thoái quá
323,Nhìn cái miệng là biết ăn Tạp rồi
324,TU DẠO [TAO DỤ]
325,"Ngta tuỳ hỷ ai muốn cúng thì cúng, tiền đó cũng mua lại máy tặng lại người khác. Chứ ai như anh Năm Mực, kêu gọi suốt bị cô Hằng chửi ko còn cái gì."
326,Thầy có điệu cười bá đạo quá
327,Phàm phu tranh thủ hốt cú chót.
328,Mấy khầy giờ nổi tiếng quá
329,Đề nghị công an vào cuộc …
330,Thầy cằng
331,Sinh Phạm vào cúng cái giường đi
332,Đường tình thì khầy thua nhưng đường kiếm ăn khầy chấp hết
333,Khầy lừa đảo!
334,Khôn như thằng heo nái
335,Thích thì bào mới đúng
336,quá êm
337,Nhìn mặt như mấy thằng lừa đảo vậy mà cũng có người nghe hay thật
338,Địt bà nhà thầy.
339,Đặng Thành Hùng thầy mõm a ạ :))))
340,Cúng vườn đi mấy con cúng nhiều nhiều vào
341,Cái mặt như đầu kặt mà thầy con mẹ gì
342,Thic đủ thứ
343,Kinhkong mặc áo cà sa
344,Ông hoàng ma két tinh
345,Sớm muộn cũng lộ thôi mà
346,Tởm lợm với nhiều sư xàm
347,há miệng mắc quai luôn=)). lỡ nhận rồi =))
348,Tâm sinh tướng )()()
349,Rồi có ai chuyển khoản chưa?
350,Thà k tu chứ đi tu mà kiểu nay tội lút đầu
351,Cáo già !
352,thầy đb
353,Chuyện khó vậy khầy cũng nghĩ ra
354,Vậy là kinh doanh....ka ka.
355,thích đủ thứ
356,Ai cung thì cung tuy hy ma ko sao thay nuôi bao nhiêu cứ già đc
357,Vô liêm sỉ
358,Cao minh! Thật cao minh. Tu sĩ thời đại 5Gờ.
359,Thích tao lao
360,Dương Văn Ánh Khi nào ae ta mới học được quả đòn này của thầy kkkkk
361,Sao giờ tui dị ứng lũ này thế ko biết
362,Thì ra tên thật của chú em là “ Hồ Răng Ham “
363,Mặt thằng này mà tu ji nhìn là thấy méo có thiện cảm rồi
364,Con xin cúng cái KÍ
365,Trí toang khầy rồi a
366,Mấy ông này làm tiền chứ sư sãi j .
367,Béo như con lợn . Hốc tốt ngủ tốt
368,Lạy hồn…
369,Vì sao fb zutubi xoay chiều về ..nhà tu hành khất thực. Thich mình tuệ ....
370,Lộ liễu
371,Ẩu quá Khầy ơi
372,Nhất thầy
373,Mặt thằng ma tăng này xấu xí
374,Má nó ăn nói hàm hồ
375,Thích ngậm c..ứ..t. hợp hơn
376,Nhìn cái bộ nhá là ko thẩm nổi.
377,"Nguyễn Phụng Châu nẹ, chuẩn bị thầy đc gặt quả r, quả đắng hay ngọt thì chưa biết"
378,Mồm như cái khau hót
379,Béo múp đầu trạch
380,Cái tướng cười quá dả tạo
381,"""Bộ nhá"" này ăn ko chừa cái j"
382,Đăng thanh Chương Thanh Đặng nhìn giống lắm luôn nha
383,Thang Trinh ư là trời
384,Chuyển cho ổng 1k đc r
385,Miệng thầy hơi bị rộng.
386,Gà Ri do ngày bé khầy ăn nhìu á
387,Thằng 3 chợn
388,Ủa ủa che chị vậy để tao chuyển cho vài tỷ
389,50 ngàn máy mỗi người 100k thôi thầy bỏ túi 5 tỷ quá ghê gớm đúng là nam mô bổn sư thích carl mony.. có khác
390,Ck cho nó 1k
391,Thích nhuận Cức
392,Thời mạt Pháp
393,thằng lồn.
394,"Bỏ cái áo cà sa đi, nhìn thầy giống tướng cướp hơn..."
395,thích đủ thứ hã
396,"Khầy chu đáo gớm ,có QR luôn .kkk"
397,mô phật suy nghĩ cao siêu đấy
398,Nhìn như thằng trốn trại.
399,Khầy quả là cao siêu mà . Kkkkkkk
400,Trông sư chán đời vđ
401,Thầy khoái khầy cười híp mắt luôn
402,Cứ lướt thấy cái mỏ cá trên ông này là tui nổi bồ đề gai
403,Thích Sổ Đỏ
404,Ma tăng
405,Nhìn mặt và thái độ cách ăn nói... là biết ngay khầy lừa đảo chứ tu hành gì.
406,đời lắm thằng bá dơ
407,Thả con tép bắt con tôm. Mấy người già thường hay bị dụ.
408,Nghề tu hành đang hót k làm mà vẫn có đớp
409,Chùa ko có tiền lấy gì có tiền mà xây cho đẹp Tụi m bớt dã tạo đi chùa ko đẹp bọn m có đi không ? Hay bọn m củng chỉ chọn chùa đẹp mới đi
410,Lê Hưng m có cúng ko mà ý kiến
411,Lương Quang Tuấn mới ck thấy 5k
412,À rồi
413,Thích car money benggggg
414,Khó qua ải cơm áo gạo tiền
415,A di đà phật...
416,Phật thích car money
417,=)) thầy đớp kỹ
418,Khầy như lol
419,Thồn lầy chơi dơ vậy
420,Clm thầy khôn v
421,Tướng rượu thịt
422,Thợ chuyên nghiệp thật
423,"Khứa này thì cười suốt, còn khứa thích cẳng quang thì nói ba láp ba xàm thấy cũng vui vui"
424,Mặt như mặt lol
425,Thầy này trông mặt không khác gì cái lon trâu
426,Thầy được cái xấu trai và zô duyên chúa !
427,Đm khầy
428,Thằng ma tăng
429,Thiện Thành coi nghiên cứu vài bữa đi tu
430,Cảnh Chương đã xem và đánh giá
431,Sao face k có nút hì hì ta
432,Nổi lên thầy minh tuệ mới thấy đc sư cũng có sư this sư that..
433,Cao thủ.???
434,Mồm loa mép giãi
435,Ghê vãi
436,Thấy mặt lol
437,Thời tới nữa
438,Thồn lầy
