text,ID
cuối cùng các khầy cũng đã tung tuyệt chiêu cuối rồi,98
sư chùa bốn vàng!,99
có stk thì dễ đi lắm :)),100
sợ quá thầy ạ,101
thêm một thằng trọc thích chuyển khoản nữa rồi mấy tuần nay xôn xao chưa tởn giờ tiếp tục,102
"hok ấy mỗi ng ck 5k ghi rõ note "" hom qua em tuyet làm "" thì sao mhir",103
bg trong quyển kinh phát cho phật tử còn có số tk nữa là...,104
"nhìn mặt khầy có hậu lắm mà các bạn; username ng mà là "" hậu quả khôn lường"" nha",105
thầy tranh thủ để thầy hoàn tục thầy có mà dùng ấy mà.,106
dạo này toàn ma tăng trỗi dậy,107
thằng này coi vậy chứ có nhiều chị e cưng lắm à nghen! nhìn mặt là biết! và nó cũng đã từng hãnh diện về điều đó!,108
mặt thằng này sao mà học hành gì trời,109
nhìn cái bản mặt chán thật ￼,110
đức phật  username  từ quá để cho đám thợ tu này nó làm mất hình ảnh.,111
nhìn bộ nhá a này mồm rộng ;làm khó sử các phật tử rồi,112
công nghệ số quá thầy. cho địa chỉ nhà đến tuỳ hỷ được không thầy.,113
nhìn chán thật. ô bẩn phật pháp,114
nhìn mặt thầy …… chán chả buồn ví  username  mào luôn,115
này mới được gọi là thầy @@,116
mô phật! chùa nào chứa được thầy; phật ở chùa ấy quả là gánh còng lưng.,117
hoan hỷ. thích nghe thầy giảng pháp lắm mà sao dạo này ít nghe. chắc muốn hết duyên vs những bài giảng của thầy rồi,118
 username  mấy a thợ tu này mà giảng cái gì nghe thì bật thầy pháp hoà mà nghe,119
 username  thịnh dt tao toàn của pháp hòa đây này,120
 username  chắc pháp hoà tóc dài hả,121
 username  thịnh m điên rồi,122
xàm tăng; tội lỗi cho phật giáo.,123
bọn này được phật dạy à,124
đời này công bằng lắm ; có ai cho ko ai cái gì,125
 username  tuỳ duyên á ní kk,126
thằng này mà làm sư thì nó lừa hết của các tín đồ phật tử.,127
quá chuyên nghiệp và lợi hại,128
thầy ăn mảnh,129
thu về vài chục tỉ bỏ ra 2 tỉ nuôi mấy mạng già lấy danh  username g làm màu thoạt nhìn thoạt nghe tưởng là đức độ vải thưa che mắt thánh,130
mặt gian gần chết,131
cho cha cho mẹ thì tính từng đồng.,132
cho thằng này lên đường đi. nhìn ngứa cựa,133
bảo thằng này đi niềng răng đi,134
 username  thầy giảng pháp còn bảo bắn hết mưa xuân trái mùa vào mặt các phật tử kia mà :))),135
 username  mặt này trộm cướp chứ thầy gì,136
sự này chắc ăn nhiều hơn cầu,137
thầy trông hồng hào béo tốt thế; nhìn nụ cười là biết thấy.. thích đủ thứ rồi… đến cúng nhiều nhiều cho thầy để thầy giảng pháp rồi về tha hồ nhiều phước….,138
nhìn khầy thấy uy tín rồi :))),139
phong cách vị này không giống tu sĩ .,140
các phật tử tỉnh táo lại bớt đừng để ngu muội lấn át tâm  username  khi cúng dường cho mấy ông sư này,141
nhìn thôi đã không có một chút cảm tình với thằng chó nhuận đực này mà sao vẫn có những người u mê vẫn tin và ck cho nó (quá ngu),142
mua thần bán thánh lừa người chứ thầy bà gì. cứ sống theo pháp luật thờ ông bà tổ tiên; không việc gì phải tôn sùng ông ọ bà kia cho mệt,143
tha con tép nuốt luôn con tép cho thầy vui,144
mồm thầy phúc hậu thật,145
ông chân quang đã bảo rồi tướng kg đẹp thì tâm cũng vậy!,146
 username  báo pl lên nà…xong rồi lượm ơi…,147
chư ngộ năng,148
riết mấy thợ tu làm quá trời quá đất.,149
thích cúng dường kkk,150
thích chân quang và thích nhuận đức .,151
cúng dường cho khầy dj masa,152
vẫn u mê quá,153
thì đừng ai ck lời cái máy!akka,154
nếu xem tướng mặt thằng thợ tu này rất là gian xảo và lưu manh lắm nè các phật tử,155
chiêu trò dữ tợn ghê chưa…kk,156
nhìn cái mồm đầy răng chìa ra là biết tham ăn mà lại ăn bẩn nữa.,157
có khi nào cả đời tu đến khi nhắm mắt lại xuống tầng 18 không a di đà phật,158
giờ kb chùa nào còn nhận k nhỉ ; đi tu làm 1 mớ xong hoàn tục lại ngon ; nghề này giờ đang hót,159
tất cả những người tu hành mà có số tk riêng; có tiền riêng; đất đai nhà cửa riêng tư cho mình; thì là tu hú hết. mn đừng nên u mê mù quáng tin những cha nội đó; vì những con người đó là thợ tu. theo đạo là phải có  username  tuệ. tu hành là không có gì ngoài… see more,160
thợ tù giờ khôn  username  chó,161
thằng này miệng rộng chắc táp nhiều lắm,162
thầy nói phét....miệng thì ồn ồn ....thầy bây giờ toàn gì đâu k...vậy mà củng có ng ngồi nghe.,163
cái mặt nham nhở bắt ớn,164
lòi mặt 1 xàm s;ư,165
giống nam đẹp trai :)),166
chẳng ra cái giống đéo gì. t chỉ tin vào phật pháp k tin vào ng truyền đạo.,167
nhìn thầy phúc hậu quá;mồm kia chắc trả ăn được gì,168
cúng dường thầy chứ tam bảo nào,169
nhìn mặt giống quỹ,170
thợ tu cùng dòng thích ông nội,171
"nước ta có giáo hội. vậy tại sao các tu sĩ chùa/ tự viện đã/ đang/ sẽ làm sai tôn chỉ chẳng có hình thức xử phạt nào cho công chúng thấy ra ngô - ra khoai? "" quốc có quốc pháp- tự có tự quy- gia có gia phong.""",172
nhìn cái mồm khầy là biết sức khầy khợp tnao rồi,173
thựơng toạ thích đủ thứ,174
thằng bỏ nước đá lẻ nè,175
 username  chùa thì phải cúng dường mới tồn tại mà cũng vừa phải thôi. cuộc sống dân khó khăn là tụ họp bày vẽ quá trớn. một nhóm người tụ học nghe giảng vài ngày thôi là chi phí xe có di lại ăn uống hành lể rất tốn kém gây lãng phí .,176
 username  uhm đúng rồi em,177
bậc thầy marketing,178
nhìn tướng mạo rất giống loại sôi thịt...???,179
thầy thích money,180
nụ cười thật hồn nhiên mà,181
thầy chi mà nhìn mặt nham nhở !,182
"nhìn thấy "" gian gian "" rồi!",183
thầy có bộ nhá uy tín thế,184
từ ngày bạn tui xe cho coi lip của thầy này tui thấy ổng giảng ổng cười tự nhiên tui sợ ma ghê luôn á tui là dân g username  nghe truyện ma,185
niệm phật mà ko để hình ảnh phật mà để hình thành là biết ngã mạn quá lớn rồi chứ đừng nói chi về tham,186
mô phật,187
thầy bây giờ gọi thầy chùa là nhiều,188
nhìn trông k có thiện cảm cho lắm .,189
 username  sư chùa e sn96 còn tâm sự vs e mở 2 cửa hàng cf bị sập cả 2 :)))),190
 username  thế hả .a k theo tôn giáo nào cả . sư h đại trà  username  1 ngề rồi sao ý,191
 username  sư ở chùa của làng e đấy,192
thích nhận tiền,193
mặt giống thích tâm phúc thế,194
cái từ thầy phải nên xứng đáng từng con người.,195
bất ngờ chưa,196
trông mặt biết rồi,197
mấy thằng này thì ko bắt nó khầy lầy,198
mặt gian thế này mà một đống con nhang ko nhận ra à,199
quả pr này của thầy kinh điển đấy,200
thằng này trươc khi làm thơ tu nó đi bán hàng đa cấp nhỉ,201
nước cờ này khó thế mà cũng nghĩ ra được…,202
đã đi tu rồi vẫn còn muốn đớp tiền này tiền lọ. sư lăng nhăng.,203
làm thầy dễ thật định mệnh,204
mới nghe khúc đi massa,205
"ông này giới thiệu là kẻ lang thang nhậu nhẹt; bất hảo không có việc làm rồi tối ngủ ở chùa sau giác ngộ đi tu; thuyết pháp không chuẩn xác. "" thích đủ thứ thì đúng hơn """,206
thằng ni mà làm thầy hay thiệt. nhìn cái miệng  username  hà mã. phát ngôn hư mồ mã. nói chung toàn mã vs mã,207
cúng cho nó lấy tiền đi massage chứ làm gì.,208
thầy thích chuyển khoản cười tươi thế; cái máy nghe pháp hay máy niệm phật 100k; chuyển khoản cho khầy ít lắm 500k; khầy lời lắm luôn; vô chùa thường khầy rỉ rả chuyển khoản hoài chịu sao xiết trời.,209
thông minh quá khầy ơi,210
thiếu lâm tự đúng là thái sơn bắc đẩu,211
nam mô a di đà phật,212
thầy này nhìn phù hợp với nghề mổ trâu mổ bò,213
mõm thầy zống mõm con lừa thí,214
tu công nghiệp,215
ông này năm 2022 ngồi cùng thợ hát  username  rồi có đăng tik tok phải ko nhỉ?,216
thằng này chúa hề chứ thầy thọ cái qué gì,217
nhìn cái mặt đã k có tý thiện cảm nào.,218
mặt thằng này giống con heo nọc,219
sư kinh doanh.,220
chắc thuộc ghpg vn chứ,221
trụ trì được bổ nhiệm,222
khầy khoang trắng trợn quá khầy!,223
đại đức thích chuyển khoản à,224
ni là thợ tu lại bảo tự ái,225
mồm cá ngão chỉ đớp thôi tu tập gi,226
thằng ni vừa gian vừa ác,227
tóm lại mục đích cuối cùng là tiền còn các việc khác chỉ là phương tiện để kiếm tiền,228
thày khác trong phim quá,229
khôn lỏi….,230
nhìn cái mỏ thấy hãi,231
giờ đi học đi làm xưa rồi đi tu mới là con đường nhanh giàu và nhàn,232
tâm sinh tướng…,233
thằng này mà sư gì?????,234
nụ cười đẹp nhất thế giới mà tôi từng được ngắm.,235
từ ngày có thầy tmt thì máy a trọc này khó kiếm ăn rồi,236
sao bảo thầy ăn chay mà mũm mỉm quá trời ?,237
con nhang đệ tử lại cứ tưởng hốc được của khầy á. mơ đi…,238
thầy bà nay thái hóa hết rồi,239
miệng thầy rộng quá ko từ thứ gì,240
thầy tư duy quá,241
nhìn miệng thày nó bẩn ;cái mặt nhăn nhở trông mất dạy lắm,242
thích lợi nhuận,243
 username  lợi nhuận phải kèm thuận lợi....,244
 username  1con vậy; chán.,245
thầy giành khôn hết phần thiên hạ,246
phật giờ dùng agribank hả m.n,247
buồn buồn nghe mấy thằng thầy chùa này sl cũng vui. cái j tốt thì nghe và biết chọn lọc. còn nghe tụi nó nói xàm rồi ngồi cười thì thua. bây giờ được bao nhiêu thầy tu đúng nghĩa. tài khoản mấy ổng trên 9 con số mà người nghèo thì lại bỏ tiền ra dâng lên,248
khéo quá trời khéo :))),249
thầy ít khôn ghê ạ,250
nhìn mặt thằng này thấy lưu manh đểu giả,251
thích nhăn răng,252
thời buổi đổ xô đi làm khầy. tiền bá tánh làm cống nạp; mặc sức mà hưởng lạc,253
nhìn hình khầy thật phéc hậu,254
đôi khi ko thể ko chữi thề,255
thầy giống kim sĩ điểu quá.hoá thân của kền kền,256
thợ tu cá giồ .,257
quỉ dương chứ ko phải ma dương,258
đỉnh cao bán hàng,259
thời buổi này toàn khầy; bày mưu; hiến kế; lập kế; mấy ông giờ tu trong trang thái thấy được bác là khoái. nam mô a di đà phật.,260
vậy mà khối em u mê vẫn chuyển,261
thầy mới tốt nghiệp khoá kinh doanh 4.0 xong mà,262
nhìn cái mặt mà muốn đánh lộn,263
thầy thì kinh rồi,264
lỡ nhận máy rồi mà không ck là mắc nợ suốt kiếp,265
nam mô a di đà phật... cho con nghỉ tu 5 phút con chửi mấy thằng thầy chùa này cái.,266
nhầy thích chuyển khoản,267
nhìn thấy mặt là khó ưa rồi mỏ cá tra,268
mặt này kg phải ma mà là quỉ tăng !,269
thích nhuận trường,270
nụ cười sợ vãi,271
cái chiêu bỏ con tép lấy con tôm ấy mà,272
mặt này vô hậu thời mạt pháp. tu sĩ nói lung tung .làm cho phật tử nghi ngờ giao động; mất niềm tin vào các vị tu sĩ.,273
thích nhận đức,274
vãi thầy với chùa,275
dm thằng mồm rộng,276
đỉnh cao của sản phẩm mồi,277
mất mặt,278
sao giờ các thầy ăn chay kiểu gì mà vẫn béo mặt nhẵn thín .. mình ăn ít mới có tuần mà gầy da dẻ  username  người sắp chết .,279
chiến thần chốt đơn.,280
ông này nhìn mặt khả ố,281
a thợ tu,282
báo đởm nay đăng thích chuyển khoảng luôn kìa ; ai chống phá đạo phật đây vào mà xem .,283
hỏi sao mấy thầy đi tu giờ giàu vãi,284
thích lợi nhuận,285
nhìn mặt là đã biết kẻ gian dùi,286
cha bố thầy,287
hok bjk sao tui nhìn chú khánh k 1 chút thuần hậu; k 1 chút phúc đức hiện ra,288
nhìn thầy cười thoải mái ghê,289
sư gì mà  username  lợn ỉ chỉ biết liên nhờ chính phủ vào cuộc,290
ôi thầy giảng dân nghe răm rắp,291
toàn là thầy kinh tế,292
ma tăng !,293
làm tiền hợp pháp,294
ôi thầy,295
giờ thì ai tin mà chuyển khoản nữa chuyển mệnh giá lớn thì phước lớn,296
mỏ toè loe.đi đứng ko bình thường.nói năng cục súc.vậy mà các phật tử ko nhận ra cái cốt cách bậc sư thầy.theo tôi thì ngu muội hết .ai có chửi thì cứ chửi tôi nhé?,297
thích chuyển khoản …. kkk …,298
nam mô nam mô tiền vô tài khoản.,299
mặt uy tín vãi,300
thầy thích nhận đô,301
không khéo các khầy cũng bị khoán doanh thu cũng nên,302
ngu thì chieu. ba mẹ gđinh ko lo. lo đi cung mấy thằng khùng. ước gì gặp tao đập chết con mẹ mấy thằng tu đó lun,303
tham lam vô độ nói láo nói dóc riết dị ứng mấy thích money luôn… see more,304
ti hí mắt lươn ..;.đoạn sau e ko nhớ ạ,305
bây giờ thầy tu mà cũng có nhiều chiêu trò đa cấp. kiếm tiền,306
dù mẹ toàn ma tăng,307
bố thằng chư bát giới,308
 username  thanh tâm,309
thầy mõm rộng hay đớp,310
tâm sinh tướng mà mặt này xoio thịt quá,311
thầy biết kinh doanh giữ,312
thích chuyển khoản,313
tùy tâm năm chăm,314
giám đốc cty này làm ăn đc nhỉ,315
thầy là bậc thầy thu hút vốn kkk,316
toàn sư hổ mang,317
thợ tu đừng nôn nóng từ từ rồi em nào cũng có đừng chen lấn em có ko,318
ma này thuyết giản chưa đi tu đã đi massage 2 3 em mas,319
nhìn cái kiểu cười thấy gớm,320
sợ thật,321
họ thích suy thoái quá,322
nhìn cái miệng là biết ăn tạp rồi,323
tu dạo [tao dụ],324
ngta tuỳ hỷ ai muốn cúng thì cúng; tiền đó cũng mua lại máy tặng lại người khác. chứ ai  username  anh năm mực; kêu gọi suốt bị cô hằng chửi ko còn cái gì.,325
thầy có điệu cười bá đạo quá,326
phàm phu tranh thủ hốt cú chót.,327
mấy khầy giờ nổi  username g quá,328
đề nghị công an vào cuộc …,329
thầy cằng,330
 username  vào cúng cái giường đi,331
đường tình thì khầy thua  username ng đường kiếm ăn khầy chấp hết,332
khầy lừa đảo!,333
khôn  username  thằng heo nái,334
thích thì bào mới đúng,335
quá êm,336
nhìn mặt  username  mấy thằng lừa đảo vậy mà cũng có người nghe hay thật,337
địt bà nhà thầy.,338
 username  thầy mõm a ạ :)))),339
cúng vườn đi mấy con cúng nhiều nhiều vào,340
cái mặt  username  đầu kặt mà thầy con mẹ gì,341
thic đủ thứ,342
kinhkong mặc áo cà sa,343
ông hoàng ma két tinh,344
sớm muộn cũng lộ thôi mà,345
tởm lợm với nhiều sư xàm,346
há miệng mắc quai luôn=)). lỡ nhận rồi =)),347
tâm sinh tướng )()(),348
rồi có ai chuyển khoản chưa?,349
thà k tu chứ đi tu mà kiểu nay tội lút đầu,350
cáo già !,351
thầy đb,352
chuyện khó vậy khầy cũng nghĩ ra,353
vậy là kinh doanh....ka ka.,354
thích đủ thứ,355
ai cung thì cung tuy hy ma ko sao thay nuôi bao nhiêu cứ già đc,356
vô liêm sỉ,357
cao minh! thật cao minh. tu sĩ thời đại 5gờ.,358
thích tao lao,359
 username  khi nào ae ta mới học được quả đòn này của thầy kkkkk,360
sao giờ tui dị ứng lũ này thế ko biết,361
thì ra tên thật của chú em là “ hồ răng ham “,362
mặt thằng này mà tu ji nhìn là thấy méo có thiện cảm rồi,363
con xin cúng cái kí,364
 username  toang khầy rồi a,365
mấy ông này làm tiền chứ sư sãi j .,366
béo  username  con lợn . hốc tốt ngủ tốt,367
lạy hồn…,368
vì sao fb zutubi xoay chiều về ..nhà tu hành khất thực. thich mình tuệ ....,369
lộ liễu,370
ẩu quá khầy ơi,371
nhất thầy,372
mặt thằng ma tăng này xấu xí,373
má nó ăn nói hàm hồ,374
thích ngậm c..ứ..t. hợp hơn,375
nhìn cái bộ nhá là ko thẩm nổi.,376
 username  nẹ; chuẩn bị thầy đc gặt quả r; quả đắng hay ngọt thì chưa biết,377
mồm  username  cái khau hót,378
béo múp đầu trạch,379
cái tướng cười quá dả tạo,380
"""bộ nhá"" này ăn ko chừa cái j",381
đăng thanh  username  nhìn giống lắm luôn nha,382
 username  ư là trời,383
chuyển cho ổng 1k đc r,384
miệng thầy hơi bị rộng.,385
 username  do ngày bé khầy ăn nhìu á,386
thằng 3 chợn,387
ủa ủa che chị vậy để tao chuyển cho vài tỷ,388
50 ngàn máy mỗi người 100k thôi thầy bỏ túi 5 tỷ quá ghê gớm đúng là nam mô bổn sư thích carl mony.. có khác,389
ck cho nó 1k,390
thích nhuận cức,391
thời mạt pháp,392
thằng lồn.,393
bỏ cái áo cà sa đi; nhìn thầy giống tướng cướp hơn...,394
thích đủ thứ hã,395
khầy chu đáo gớm ;có qr luôn .kkk,396
mô phật suy nghĩ cao siêu đấy,397
nhìn  username  thằng trốn trại.,398
khầy quả là cao siêu mà . kkkkkkk,399
trông sư chán đời vđ,400
thầy khoái khầy cười híp mắt luôn,401
cứ lướt thấy cái mỏ cá trên ông này là tui nổi bồ đề gai,402
thích sổ đỏ,403
ma tăng,404
nhìn mặt và thái độ cách ăn nói... là biết ngay khầy lừa đảo chứ tu hành gì.,405
đời lắm thằng bá dơ,406
thả con tép bắt con tôm. mấy người già thường hay bị dụ.,407
nghề tu hành đang hót k làm mà vẫn có đớp,408
chùa ko có tiền lấy gì có tiền mà xây cho đẹp tụi m bớt dã tạo đi chùa ko đẹp bọn m có đi không ? hay bọn m củng chỉ chọn chùa đẹp mới đi,409
 username  m có cúng ko mà ý kiến,410
lương quang  username  mới ck thấy 5k,411
à rồi,412
thích car money benggggg,413
khó qua ải cơm áo gạo tiền,414
a di đà phật...,415
phật thích car money,416
=)) thầy đớp kỹ,417
khầy  username  lol,418
thồn lầy chơi dơ vậy,419
clm thầy khôn v,420
tướng rượu thịt,421
thợ chuyên nghiệp thật,422
khứa này thì cười suốt; còn khứa thích cẳng quang thì nói ba láp ba xàm thấy cũng vui vui,423
mặt  username  mặt lol,424
thầy này trông mặt không khác gì cái lon trâu,425
thầy được cái xấu trai và zô duyên chúa !,426
đm khầy,427
thằng ma tăng,428
 username  coi nghiên cứu vài bữa đi tu,429
 username  đã xem và đánh giá,430
sao face k có nút hì hì ta,431
nổi lên thầy minh tuệ mới thấy đc sư cũng có sư this sư that..,432
cao thủ.???,433
mồm loa mép giãi,434
ghê vãi,435
thấy mặt lol,436
thời tới nữa,437
thồn lầy,438
mặt  username  lol trâu,439
khầy thích chuyển khoản,440
điệu cười man trá,441
thầy đẹp trai wá,442
có quân sư hiến kế...kkk... thằng này nó còn tạc tượng của nó nữa kìa. trong miệng chỉ sủa adi đà phật ngoài ra ko biết j về kinh phật...,443
thích car money,444
lưu manh đội lốt,445
lửa,446
cu trọc này dở trò moi tiền dân ; tu gì mà chỉ nghĩ cách lừa dân vậy ?,447
nhìn. cái. mặt. của. thần.,448
 username  mới xong,449
 username  tài khoản của thầy  username ng tên ngừoi khác . sau này dễ xử lý …tầm vài năm hoàn y. thầy có tiền tỷ đi massgge 3 e,450
 username  sáng nguyễn nhỳnh thợ tu kìa....... kaka,451
đm thằng hô,452
có j lạ đâu.h báo mới biết,453
con chó,454
thầy !thầy ơi là thầy .!,455
mé nhìn cái tướng mặt.,456
 username  nè,457
võ  username  khầy đây,458
 username  chắc ai ghét gày bẫy thầy á,459
võ  username  ai mà kì cục,460
nhìn mặt hãm,461
mặt dún  username  ik z r. khuong tranbi nguyễnnguyễn văn túnguyễn văn toànhuỳnh toàn,462
 username  thích thuận đời,463
thả con tép bắt con tôm . mn cứ kêu tỳ hỷ chứ ko ép  username ng mà có ai nhận r ko biếu lại cái j đó có thấy ngại ko ? dĩ nhiên là có bản thân t cũng vậy nên bank 1 ít . chiến thuật m@ céc tingggg cả,464
nhìn là biết…,465
 username  các thầy chỉ cúng dường rồi đem về làm giầu cho cá nhân nhà mình;cá nhân em thấy bây giờ nhà nào mà có sư chủ trì 1 ngôi chùa nào đó nhà rất giầu,466
bố thằng lưu manh .xấu dai..,467
 username  nó xấu đau đớn thôi chứ bố nó không có xấu,468
thằng trọc này nhìn mặt gian wá..!?,469
chả trách được họ; cái người tự nguyện quỳ lạy họ và giao tiền cho họ mới đáng sợ,470
trước lúc tu chắc đi bán thuốc sơn đông mãi võ,471
nước đi này tại hạ xin bái phục,472
mô phật. thầy kinh doanh giỏi quá ạ,473
 username  thời tới rồi.... không cản được,474
