comments,label
may địa mặt np hóp cân que hoài chả,2
vú vú silicon ốm que vú khe huhu cân ốm phái lắm vú tiêu,2
miệng xệ xệ khóc chán đời,2
òh xươg di động,2
mắc áo da vó thịt khoẻ khoắn,2
mập lắm kiêng ốm nhách xương khô chả giám,2
ốm nhách ôm nhơ da bọc xương,2
má riếc ốm nhom gớm. thay ma. đẹp chỗ,2
ốm xấu đẹp đâu. xương chả sức sống. sợ chết,2
que củi,2
ốm riết ghê,2
thôi. thật. đẹp đâu. teo tóp lắm. hình ám ảnh cân,2
cỡ xấu,2
che tui hình dung mỏ hô,2
mồm khau hót,2
nh thẩm nổi.,2
mặt thằng ma xấu xí,2
thầy chi mặt nham nhở,2
mồm khầy sức khầy khợp o,2
mặt quỹ,2
thầy phúc hậu quámồm kia,2
mặt nham nhở bắt ớn,2
thằng miệng rộng táp lắm,2
mồm chìa tham bẩn nữa.,2
tướng mặt thằng thợ tu gian xảo lưu manh lắm nè phật tử,2
chút cảm tình thằng chó nhuận đực u mê chồng qu ngu,2
thầy trông hồng hào nụ cười thấy.. cúng thầy thầy giảng pháp tha hồ phước.,2
mặt trộm cướp thầy,2
mặt gian chết,2
mặt miệng cười hãi hùng tâm hướng vật chất tiền bạc thể tĩnh tâm tu thành,2
tui mặt thầy hong hậu chút trời,2
mồm rộng,2
mồm rộng lắm,2
lợi hở thiên hạ .,2
chuẩn..nhìn mặt hắn hiện nham hiểm dã man on ngan,2
nụ cười nham nhở,2
công khuôn mặtnụ cườihàm ..nham nhở sợ vãi,2
mặt thầy hậu chút trời,2
mặt tí nàotên đi hề gánh xiếc,2
mõm đớp roof,2
mặt thiện cảm,2
mặt thằng trông đê tiện,2
mặt dâm khầy,2
mặt thằng học hành trời,2
mặt chán,2
tướng mạo sôi thịt .,2
trông thiện cảm lắm .,2
béo lợn . hốc ngủ,2
mặt gian đống nhang,2
mặt thằng tu ji đéo thiện cảm,2
miệng mắc quai luôn. lỡ,2
mặt mấy thằng lừa đảo,2
khôn thằng heo nái,2
miệng tạp,2
kiểu cười gớm,2
tâm sinh tướng mặt xoio thịt,2
thầy mõm rộng đớp,2
ti hí mắt lươn .đoạn,2
mỏ toè loe.đi đứng bình thường.nói năng cục súc.vậy phật tử cốt bậc sư thầy.theo ngu muội .ai chửi chửi,2
mặt kẻ gian dùi,2
mặt khả ố,2
địt mẹ thằng mồm rộng,2
mặt vô hậu thời mạt pháp. tu sĩ luông tung .làm phật tử nghi ngờ giao động niềm vị tu sĩ.,2
nụ cười sợ vãi,2
mặt ma quỉ,2
mặt ưa mỏ tra,2
mặt thằng lưu manh đểu giả,2
miệng thày bẩn mặt nhăn nhở trông dạy lắm,2
miệng thầy rộng qu,2
bảo thầy chay mũm mỉm qu trời,2
mỏ hãi,2
mồm ngão đớp tu tập gi,2
mặt thằng heo nọc,2
mặt tí thiện cảm nào.,2
mõm thầy zống mõm lừa thí,2
thằng ni thầy thiệt. miệng hà mã. phát ngôn hư mồ mã. toàn mã mã,2
hơi ục ịch kì,2
nh mồm rộng sử phật tử,2
ơn tiễn dong xì tai lái quất dân chần đẹc khởi sở thú uni giùm,2
mập quá. chê,2
harnnaz bệnh hơi tròn phủ phê béo người. uni dẹp trần dô kho giùm stylist quằn mặc đồ góm hen kvân kduyên.. mặc đồ nhìu ta xu đạo nhái,2
mày xung quanh vui mày đẹp duyên. đéo 2 la làng ta,2
hoa hậu mặt nọng,2
bửa đăng quang đẹp lắm hnay ngãi heo nhập nè,2
nh huê hậu tròn trĩnh nghiệp,2
béo thế. béo thế. béo thế. đồng ý.,2
địt mẹ mày. béo bảo béo. mày mù thấy. ngu dốt mồm,2
ngọc sơn mắt bạn. béo bảo gầy,2
béo ta bảo béo. lồn sồn sồn . chả lẽ bảo gầy.,2
giờ heo rồ đi,2
mắt thằng sờ tai loét lác. ác,2
xấu bảo xấu shaming quái,2
bọn bắc kỳ mày xấu chửi đi tiểu nhân chó tụi mày hình hả,3
lũ cà mau cay sao.ủa,3
cay lũ bắc kỳ mày tao bình luận tao cay,3
tao dẫm đuôi lũ cà mau,3
bắc kỳ cức nhiêu bắc kỳ bắc kỳ bắc kỳ tức đỏ dái kìa bắc kỳ rau muống khôn nỗi nhìu cức,3
lũ cà mau cay đéo sao.ủa,3
mẹ súc vật đẻ thằg súc sanh bắc kỳ mày ngứa gãi súc sanh cức,3
lũ cà mau ngoan kêu sao.ủa sao.ủa liền,3
ráng cức nhìu khôn bắc kỳ nha,3
dấu hiệu đuối lý bắc kỳ ngu,3
lũ bắc kỳ ngứa bắc kỳ tức lắm bắc kỳ tiến hoá thành,3
sao.ủa lũ cà mau,3
cức bắc kỳ cức,3
tao mấy đứa phân biệt miền tao ghét . mồm mày gốc ba que nam kỳ rồi. phân biệt mày mẹ mày kìa thằng cu,3
lũ cà mau cayy,3
bắc kỳ nhột lắm ngứa lắm cức chó,3
lũ cà mau culi tao.áp đéo.ít kìa,3
ba que quyền khịa bắc kỳ mày,3
tiếng tiếng chó bắc kỳ bắc kỳ bắc kỳ nhột lắm,3
lũ cà mau nẩy dẫm đuôi,3
tụi bắc kỳ mày nhột tiếng tao thông cảm lũ khỉ đói rau muống 7 món,3
bình sao. tao kêu tao bắc kì bình thường. thể phân biệt miền xứng gốc ba que đó. mày nhột cu ba que nam kỳ,3
lũ cà mau cay sao.ủa,3
tụi bắc kỳ tụi mày nhột hả thương tụi mày đít miền nam tụi tao cắn chúc mày trở nge chó đụ trâu đụ bò riết ngu đần,3
bắc kỳ tụi mày vô nam chi nhìu vô hả tụi mày đi kì thị đi xkld cấm mấy thông đi,3
1 cà mau vợ phò đổ vỏ chia sẻ,3
bắc kỳ ghét ba que nam kỳ. xung quanh bè tao chẳng ghét bắc kỳ lẽ nam kỳ hả ta. ác toàn việt nam. không. bắc kỳ nhột nhảy dựng . mày kêu tao ba que 4 que mà.,3
cay chả lý bình luận vô nam nè tụi tao cức nè súc sanh tinh trùng khuyết tật,3
miền bắc miền nam mà.ghét đố kỵ ghen tị bắc thông minh giỏi lãnh đạo dân trách nhiệm chủ,3
nha vô nam alo tao hốt cức miền nam,3
tỉ phú la toàn bắc. 3 tòa ốc miền nam chủ bắc. ngưỡng mộ lãnh đạo ngài,3
miền bắc việt xịn việt tông,3
im moẹ mõm đi . mấy ba que bao dám mặt lồn . sợ tế . toàn núp lồn . tội . tội chó,3
bắc kỳ đần độn,3
nam kỳ namcali,3
bắc kì nhột kìa chọt trúng chỗ thốn tụi mày bắc kỳ cá rô lựu đạn chết bắc kỳ mày tao tặng mày thơ,3
hề nhột nha tụi tao khoái bọn mày gọi nam kỳ namcali,3
nam chó nam nam kỳ hài bắc kỳ cá rô mày gọi bắc kì lắm chó vô nam tụi tao cứt thoải mái nè,3
thẳng mẹ bắc kì đi. bắc kỳ mẹ rối,3
mắc lôi ba que nam kỳ vào. mày nhột hả,3
đồng chứng tỏ bắc kỳ tức lắm đi sủa sủa đi nhiên bắc kỳ,3
chó miên cặc sủa,3
cặc. pakycho sợ mẹ. lũ rợ,3
ui bọn nam kỳ,3
bay dô cắn đít cay đắng cay tụi bắc kỳ cức mày cay,3
tao tụi mày nè đừng tàu lau nha tụi bắc kỳ tụi mày tức lắm hả mày tức giao lưu thử coi tụi mày mày next xứ bắc kỳ mày đj cay lắm hả mấy chó,3
miên não chó cay,3
mày chiến tranh gọi bắc kỳ đi cứu bọn nam kỳ bọn mày thuê giặc,3
bọn ba que nam kỳ khịa . mày ba que bênh,3
lũ cà mau đéo.ớp cái.ứt dân bắc sống nè,3
tao.áp đéo.ít tao nè lũ nguu cà mau,3
gia đình sinh viên cà mau cay,3
thằng bố mẹ mày culi dân bắc,3
lũ cà mau culi bắc kỳ kìa,3
tư hào nam kỳ,3
thằng nam kỳ cá lau kính cá chê chán thèm cứt,3
lo húp pịa kìa nam kỳ,3
mày ghét tổ tông mày à. đập mẹ bàn thờ đi. bàn thờ mày toàn bắc kỳ tổ tông mày toàn bắc 54,3
tao ghét bắc kỳ bò đỏ liên quan đế mb cu,3
tao nam định mb ghét tụi bắc kỳ,3
dit me nam kỳ,3
nam kỳ tụ tập lũ bám,3
bọn khơ me cắn thốn,3
bắc kỳ nam kỳ liếm chân pháp kĩ,3
namcali đông qu,3
bọn miền nam phân miền 10 9 nam kỳ toàn bọn miền nam nam kỳ nam kỳ bắc,3
tụi bắc kỳ đạo lý qu ha sống iồn,3
mấy thằng khơ me già trẻ bố tiếp,3
nam kỳ cay,3
nam kỳ nhục,3
mày mấy thằg tây bắc pịa cức khen ngon,3
cút bắc kỳ sống. kêu mấy thằng bắc kỳ đi nha. đất khơ me tiếp bọn bắc kỳ,3
tao cháo bắc kỳ. tao giàu hàn,3
viết tiếng việt tiếng khơ me cháo đéo bát,3
campuchia kêu bắc kỳ rút bắc đi. đi chi haha.,3
haha bắc kỳ ní nuận,3
bắc kỳ đất khơ me chi dạ. đi mấy thằng bắc kỳ,3
bọn gốc champa,3
bắc kỳ giải phóng lũ vô ơn nam kỳ mày đấy,3
bảo miền bắc phát triển chậm miền nam,3
nam kỳ kinh,3
mày nam kỳ,3
bắc kỳ cay đỏ nhái,3
bò đỏ liên quan đếu bắc kì bắc kì miền bắc gọi thời pháp cụ,3
mày viết tiếng hả thằng đần miền nam mù chữ bố bắc kỳ chữ mày đấy. mày nô lệ mỷ thôi. tao chửi thằng nam định quên tổ tông kìa lew lew,3
bố tất y hệt tàu khựa nó. dạy bố láo bắc kỳ,3
bắc kỳ,3
mày bắc kỳ lồn cá rô miên thằng gái mẹ mày chó cức,3
mày miên mày chả cắn,3
phát vả gì. nam kỳ im mõm. đéo tư phát biểu bố.,3
vãi lồn mấy thằng chộm cướp bảo nam kỳ đấy dựng mẹ lông,3
đúng.đụng ba que,3
bắc kỳ tổ tiên bạn.cứ thằng giấy khai sinh chữ dân tộc kinh tổ tiên bắc kỳ đó.nó chửi bắc kỳ chửi tổ tiên,3
ba que cay lắm khát,3
thằg nhóc tui nhảy trời đặc biệt ngoãi,3
nhảy chỗ vậynó nhue nam kì trung kì nhóc,3
nhìu cứt vô nam tụi tao nè,3
mày bồn kỳ lắc,3
văn ngụy,3
nhột ngụy phản động,3
nhục giùm tụi rau muống cá rô tụi bây áchứ miền nam chẳng súc vật mày mày sản phẩm gia phả hình tròn,3
kêu nam kỳ hào ghê bắc kỳ kì,3
mẩy hả cá rô ngứa,3
thằng nam kỳ. mày nhảy đong đỏng tao coi.,3
sủa nhiêu sủa quài chọc chọc hồi chạy vô nam cắn bây,3
khơ me bảo khơ me kinh tổ tiên mày cam kìa đừng vơ,3
nam kì bọn mày nhạy cảm mày thử bình luận chữ nam kỳ tiktok mấy facebook đứa cắn,3
mấy thằng nam kì nhắc chữ nam kỳ giải phóng 30/4 giãy đút đuông dừa đít,3
backy nam kỳ tàn dư mỹ ngụy,3
gốc bắc 2k . 54 bọn nam kỳ .,3
tao vện nam kỳ gốc nam kỳ ghét bọn nam kỳ nam kỳ mày thua đéo,3
mù chữ mẹ mày thời pháp mẹ tao học chữ im mồm thằng bắc kỳ tỏ vẻ ta đéo đách,3
khịa mày nam kỳ bắc kỳ mày lối suy lạ nhẩy bố nam kỳ xơi bò bú vang sướng khịa mày phí thời gian hả bắc kỳ đạn,3
mày nhảy xồm bố kêu bố xồn bắc chó chó,3
nam kỳ đéo nội mày bắc kỳ nguyễn quang nam kỳ mày cục đòi tư bắc kỳ ảo tưởng vcc,3
đường nam kỳ khởi nghĩa xưa đâu. bắc kỳ ta,3
biển bọn nam kỳ xỏ lồn ba que tây nội địa khóc máu,3
bắc kỳ việt xịn nô lệ họ. yêu bắc kỳ việt tông,3
bố thằng ngu mày cội việt nam bắt đầu cụ tổ mày di dân nam sống cụ tổ mày đánh chiếm hà nội vũng tàu móc lũ vô ơn tụi mày hả.,3
khổ. nguyễn hóa gửi cháu nam. tội nghiệp hệ cháu. hehe. kẻ thua ám ảnh mãi. giàu giàu lãnh đạo 3 miền khổ. cay cay.,3
bắc kỳ mại đỉnh,3
bắc kỳ cay,3
kêu thằng mày mẹ shop bắc kỳ hào,3
kiếp nô lệ nam thuê hào,3
bắc kỳ khóc,3
ba que nam kỳ đó. chấp . rác thải mà. kệ đi,3
màu khát máu màu liên xô trung cộn khối xhcn tàn bạo,3
bắc kỳ never die,3
chất rạng danh bắc kỳ,3
đại chiến nam kỳ 800 hiệp hài tết trễ,3
padky cháu nhảy đảnh liền tổ tiên paky đéo dám,3
chuẩn mấy mấy,3
bồn kì lắc ní nựng,3
mấy nam kỳ ba que cay cay . cay bình luận tao chửi xong add tao đống. hề lồn. tưởng rác add tao . aliuliu mấy đêu gốc,3
đồng đấy tao trung kì muôn đời ọc ọc,3
tao miền trung tao mấy bắc kỳ vô học thằng ba que đểu xấuchơi kiểu ta bắc kỳ,3
bắc kỳ giựt đĩa vôi.,3
bắc kỳ hả thằng tây nội địatiếng vậyhay,3
đau đớn bắc kỳ,3
nhiên lũ bắc kỳ mày ghét lí,3
bắc kỳ tụi mày nhột nhột,3
nam kỳ đái máu liền.. haha,3
nam ba que sống sót bắc sao.,3
chuẩn bố 2 bắc kỳ bận áo cưới đắm đuối,3
ngu tưởng min ngầu đell bọn nam kỳ 3 gạch,3
bắc kỳ non,3
miền bắc vua chị. mãi thắng thống trị 3 miền,3
bắc chó nhột,3
bọn mày nhạy cảm bắc kỳ bắc kỳ đâu.mà bắc kỳ bọn bắc kỳ nhảy dựng nam kỳ chẳng quen tâm,3
bắc kỳ bắc kỳ chó tó ẳng,3
nam kì xúc phạm hả bắc kỳ,3
bắc kỳ tụi mày tụi mày dãy đàn bắc kỳ mãi đỉnh nha,3
miền nam đẻ phân biệt miền nam kỳ bắc kỳ mà. ngu,3
bảo nam kỳ lạy nhảy dựng lênd,3
đi học tả hả nam kỳ đéo đi học đéo đạo đức,3
100% counter ba que xỏ lá fr,3
nam kỳ mù chữ,3
ngọng lồn bắc kì ngọng rg ví dụ hq sắc tiếng văn hoá miền hả nam chó,3
bắc kỳ kéo nam học văn hoá miền nam thằng khoái thích. chứng tỏ bắc kỳ dạy dạy ..,3
học nam kỳ chả học ngu 3 miền,3
mày bắt sai tả. không. bắc kỳ ní nuận,3
nam kỳ miệt mày sủa tí đi khát,3
mả thằng nam kỳ mày cút cút facebook tao,3
tao bắt chó 3 / khát cu,3
bắc kỳ,3
bắc kỳ bắc kỳ ẳng dẫm trúng đuôi,3
thôiđừng khứa bắc kỳ xúi bậy nè. tụi đạo đức đi,3
bắc kỳ thông minh học giỏi. việt tông khác. mãi lãnh đạo dân tộc việt nam,3
bắc kỳ mãi đỉnh,3
biển gọi mày bắc kỳ vui đi mày thừa bắc kỳ,3
miền nam đấu tranh chả xỉa xói miền nam. toàn bọn nam kỳ đội lốt nhột xong cắn,3
mày tbt đời chủ tích đời nghệ tĩnh đa tao show uvbct nghệ tĩnh bắc kỳ óc chó gg đọc,3
miền nam toàn lũ khát mấy miền nam xưa ngu thành mấy mộ liệt sĩ cháu thành khát bắc kỳ dân việt nam yêu,3
bọn khát rúc gọi miền nam mày nam kỳ nhảy ngược,3
bắc kỳ cay lôi nói.,3
rác xoá ảnh đại diện chó mày cu . cút đi giùm ba que,3
mày gọi tao nam kỳ ba que mày cay tụi thôi. tao kêu mày bắc kỳ mày cắn. má mắc cưới quá. bắc kỳ cay,3
đấy nam kỳ nảy đấy,3
tao bình luận bình 1 nam chó nhảy cẫng má tội nghiệp bọn nam chó sồn sồn lênnói ta ta nhảy cẫng dội sôi buồi,3
gỡ quê quán hà nội đi mấy thằng nam kỳ rơm mày đòi quê hà nội nam kỳ,3
chủ tao nam chó nam chó viết văn đừng nhai câu,3
bắc chó bảo vệ chủ ghê nhảy táp,3
bắc chó bắt đầu dơ mồm mày cay kìa bắc chó,3
1 nam chó bình luận nồng nặc mùi tức banh háng eo ôi bình luận đầu tao bình luận bình nam chó vô táp chó,3
tao 1 bắc chó xồn miệng cay cay đấy,3
nam chó sồn sồn ghê,3
cay hả bắc chó chó mày cay cay,3
cay lắm hả bắc chó chó,3
xồm cay hả bắc chó chó dòng tộc cối mày chọc giải trí cay đéo,3
đừng tức chết nam chó,3
cay dòng bố mày cay bắc kì chó dòng nón cối nhét mồm mày,3
nam chó cay đừng mắc cười lắm nam chó,3
bắc chó chó cướp la làng nhảy xôm bố kêu bố mày xồm mẹ mày,3
mày nhảy rép bình luận ta đóđúng nam chó đụng ta ta đụng khóc ròng,3
nam kỳ cắn,3
nam kỳ nhông,3
sồn sồn ghê ta ta nam chó,3
dẵm đuôi mày bụi lao oẳng câu đi ốt bắc chó chó,3
nam chó cưới moà,3
im moẹ đi mấy cún nam kỳ . cay toàn táp thôi. bẩn quần vãi cức,3
nguyễn đăng bách im mẹ mõm đi. bọn ba que nam kỳ tụi mày đừng xàm cặc tao . tao vé bạn. lồn.o.cái.không đỡ mặt tụi tao vui .,3
nguyễn đăng bách bọn ba que tụi mày thân đi cặk tao tụi mày hài tết,3
đám nam kỳ nhú,3
miền nam mày toàn bắc cầm chịch khôn cầm đầu tụi mày đó. oai đéo,3
thể hiện vắn hóa bắc kỳ nhiếu tiếp đi bắc kỳ .. xứ bắc kỳ văn hóa,3
hình .. văn hóa bắc kỳ mày lắm bắc kỳ,3
văn hóa bắc kỳ bình luận tực tiểu bậy xong xóa xưng bố kinh lắm bắc kỳ,3
xóa bình luận bắc kỳ bình luận ta văn hóa xứ bắc kỳ,3
bắc kỳ điển hình bào ta khinh,3
bọn phân biệt miền bắc kỳ đéo miền nam bắc mày nổi ngoại mày lãnh đạo tbt phài miền bắc ný nuận cười ỉa,3
bắc kỳ rau muống lỳ trâu giề,3
tao mỹ tao cầm súng bắn lũ bắc kỳ mexico băn bắng gà,3
giọng bọn khơ me ngọng ngọng,3
tôn rơm nam kỳ bọn lai khơ me trí óc đần 3 miền,3
ba que mõm,3
tụi tao khịa parkey tụi kì thị parkey thằng mày việt nam nha sủa nam kỳ đe.o xi nhê,3
nè chả bao bảo ba que toàn bảo khơ me rơm lá,3
chả cay ghét. xong kêu ba que,3
mày ba que dãy nảy,3
đi chọc thằng 3,3
haizz chán ba que cãi bắt đầu chửi đổng dân khánh hòa dân nam kỳ cu,3
mày thằng bắc kỳ,3
chứng bắc 54 việt nam cộng hòa đặc sản ba que tuyên láo bịa nhét chữ mồm cu tả xong lịch sử,3
toàn ba que miền nam việt nam cộng hòa đu miền bắc lo đá đít bọn mày đi,3
1975 chạy giặc cộng sản bắc 54 nhiều. mày giọng nam kỳ đa giọng bắc à. thằng nguyễn kỳ bắc kỳ,3
nam kỳ ba que 90% miền bắc bịa dở,3
nam kỳ ba que tụi 90% bắc kỳ 54 thằng ngu,3
bắc kỳ,3
nam kỳ,3
giúp xoài dạo toàn đi bắc kỳ trở bình,3
nam kỳ cay,3
bắc nam kí đầu nam kỳ,3
tụi bay bắc kỳ nam kỳ,3
đổ đầu đàn miền bắc,3
sơn thùng rác cửa thành màu vàng xong vẽ them 3 que xỏ cặc xẩy,3
chủ thớt chủ tiệm nam kỳ hả,3
paky thằng tổ tiên sống qu cháu kêu pakyy nhảy ẳng đéo dám pakyy dân nam kỳ kêu nam kỳ hào nam kỳ sống lủ rừng paky suối tối hang lươn lẹo khôn lỏi,3
nam kỳ nam kỳ nam kỳ phùng tú,3
thằng nam kỳ,3
nam kỳ ba que,3
đù nam kỳ,3
nam kỳ uống lu nam kỳ uống ku nam kỳ,3
đứa nam kỳ ba que,3
30/4 thằng chạy chó nhục đéo ba đứa nam kỳ ba que xỏ lá,3
đứa nam kỳ,3
nam kỳ mãi đỉnh. nam kỳ khắp việt nam đồng ho miền .,3
nam kỳ đỏ dái,3
đẳng nam kỳ,3
nam kỳ mãi đỉnh,3
nam kỳ cá rô nhầm lựu đạn chết nam kỳ . chúc tiệm phất diều,3
lũ ghét hl bac phét văn ho khôn lỏi ba thằng này. chửi nam trung đéo ưa dân nam nam đéo ưa nổi tụi sửa lo sửa lo sủa,3
hoàng nam kỳ,3
ba que vong nô bú bồi nam kỳ,3
nam kỳ suc sinh mãi đỉnh,3
nam kỳ miền nam mua chủ thuê đứa . bảo phân biệt .,3
nam kỳ chó 54,3
bắc kỳ phe sơn tùng nhé.,3
tao mê bắc kỳ,3
mày dân tộc bọn mày nghèo đấy nam kỳ mày bọn bắc tao sống hôm,3
nam kỳ đom đóm hả,3
nam kỳ suy tí đi tao bú sữa,3
kèo tao bắc kỳ,3
mấy thằng nam kỳ chia rẽ tình cảm 3 miền,3
toàn clồn bọn tq đấy đừng quan tâm,3
nam kỳ nam kỳ ls,3
toàn bọn nam kỳ khích ngu,3
xưa bắc hỗ trợ quân nam chiến tranh trung quốc hỗ trợ bắc bây máy đứa trẻ bắc kỳ cá rô nam kỳ,3
nam kỳ chửi dẹo dẹo,3
nam kỳ chửi cay hả,3
bọn nam kỳ mày . sánh vai dân việt nam bọn tao,3
memaychửi mày mày calino hẳn bả bất lực lắm,3
nam kỳ nô lệ câm,3
nam kỳ chửi trẻ đéo bao thấm,3
trẻ nam kỳ câm mồm,3
nam kỳ,3
chửi bạn. tiếng nam kỳ,3
nam kỳ kinh nhề,3
chửi bọn namquỳ mày đấy,3
nam kỳ tả đấy,3
nam kỳ cay,3
bắc kỳ gang bang mày mày uất ức,3
bắc kỳ chửi đấy,3
fan jack triệu cay đoé mồm bắc kỳ,3
y giải phóng nam kỳ đấy,3
đỡ nam kỳ rap tụng kinh,3
nam kỳ cặc cặc địt má nam kỳ,3
đám nam kỳ bình luận ta kì thị,3
shop lừa đảo lươn lẹo lưu manh bẩn bựa nam kỳ,3
nam kỳ nam kỳ nam kỳ chất nam kỳ nhiều. nam kỳ xưa lòi cham ba cổ đại việt đấm. dân toàn gay bê đê chán đéo được. hào nam kỳ,3
nam kỳ phóng khoáng an nhàn rực rỡ khôn ngoan y yêu thương,3
nam kỳ phóng khoáng an nhàn rực rỡ khôn ngoan y yêu thương,3
nam kỳ phóng khoáng an nhàn rực rỡ khôn ngoan y yêu thương yêu,3
nam kỳ phồn an nhàn rực rỡ khôn ngoan y yêu thương.,3
nam kỳ nhìu tiền an nhàn thằng khoẻ khôn ngoan y yêu thương,3
nam kỳ chả cả. vấn đề đứa ba que nam kỳ phân biệt miền,3
chửi ngàn ngàn lớp lớp nóng máu à. nam kỳ lũ dợ phân biệt miền lũ à. nam kỳ cội vua hùng đờ,3
nam nam kì vấn đề mấy video kiểu giết chộm cắp đứa barky đấy đứa nam kỳ đấy,3
phân biệt miền. nam kỳ miền viet nam phân biệt.ba que chó nam kỳ miền nam. nam kỳ nam.đây phân biệt chó,3
nam kì nam kỳ,3
vác nam kỳ biển thờ thay giòng,3
nam kỳ mãi đỉnh nha,3
nam kỳ 51,3
nam kỳ sống miền nam,3
đứa nam kỳ conten phân biệt miền kích động cbi quốc hận,3
nam kỳ,3
thằngcon nam kỳ nhảy cắn nè,3
nam kỳ number one,3
cầm cờ đỏ vàng chạy khắp nam kỳ clip hô to đảng cộng sản việt nam muôn ih đường việt nam kiếm ăn. lỡ đu 3\\\ lẹ minh nga chi,3
mẽ gái ện 49 53 tới. 54 chúa nam 5 lộ 1 ổ nam kỳ.,3
đừng xúc phạm chó ơi. chó mỹ đúc tượng lũ nam kỳ chó,3
bố mày cười phọt nam kỳ,3
gà lắm đấm tiếng mấy bầu nam kỳ xô hốt tiền xong việt nam tẩy trắng thành vô thành rút kinh nghiệm kiếm tiền 2 đấy,3
100 suất học bổng nam kỳ giơ,3
nam kỳ ba que nín,3
nam kỳ đứa kid,3
đom đóm nam kỳ tức,3
thằng mồ côi nam kỳ nhột,3
bình luận bố mày tận 20 bình luận nam kỳ đếm bố mày spam nam kỳ tiếp văn hóa nam kỳ rác nam kỳ phá nam kỳ đáy xã hội,3
nam kỳ,3
nam kỳ nho,3
nam kỳ haha,3
nam kỳ,3
mafia_hocmon_07 văn hóa nam kỳ,3
nam kỳ,3
narky chả bảo nam kỳ nhảy đạp đuôi nam kỳ đáy xã hội,3
lướt bình luận bình luận nam kỳ tức tức hả,3
dung nam kỳ narky sat thuong hả bố mày nè nam kỳ nam kỳ tức nam kỳ nam kỳ nam kỳ nam kỳ nam kỳ nam kỳ,3
ảnh đại diện nam kỳ thằng bắc kỳkiki nam kỳ tức bố mày bố mày nam kỳ bố mày tức nam kỳ tức vay,3
thiệt tức quan tâm bình luận cắn bậy kìa lướt bình luận toàn nam kỳ 1 xã hội án nam kỳ nam kỳ nam kỳ,3
khét qu nam kỳ,3
đứa nam kỳ việt nam chứa đứa,3
chuẩn nam kỳ,3
nam kỳ nam kỳ nam kỳ giận tím,3
nam kỳ nam kỳ lẽ nam kỳ đẹp mặt nam kỳ,3
miền nam bắt đầu học thói láo đứa nam kỳ đứa nam kỳ nhiễm miền nam zz,3
bố mày phản độg bố mày ghét đứa nam kỳ đứa đứa bố mày,3
việt nam đứa nam kỳ,3
lắm nam kỳ mãi đỉnh,3
lũ nam kỳ culi tiền nhật hàn việt nam sống hic,3
nam kì miền trung nam kỳ ta mỹ 4 50 ta cộng đồng . nam kỳ cờ vàng,3
nam kỳ chuyên ăn.cái hả,3
suốt nam kỳ thằng nam kỳ,3
liếm giày đi nam kỳ,3
1 bô húp kẻo bắc kỳ giành,3
nam tụi tao toàn uống lọc uống pịa kia,3
tao miền trung coi tụi chửi vui,3
miền bắc cung lương thực miền nam thời kháng chiến miền nam nợ miền bắc cảm ơn,3
