comments,nametag
"Linh Ngọc Phạm làm gì đó mạnh mẽ hơn đi, gõ phím k đau đâu mà",Linh Ngọc Phạm
"Chú Hề Thôi nào, để nó khịa bẩn đến ntn mà vẫn còn kiên nhẫn trả lời nó à. Có những đứa mình không cần thiết phải rep nó. Không phải đồng loại, không nói tiếng người thì cố giải thích nó cũng có hiểu đâu. Sự khinh bỉ lớn nhất là coi nó không tồn tại :))",Chú Hề
Bùi Thanh Phát mài khát lắm đúng ko. À làm gì có nước đâu mà uống,Bùi Thanh Phát
Mai Anh Phạm hi Nhị Lang Thần,Mai Anh Phạm
Bùi Thanh Phát thì ra bọn 3 que dạy mài mất văn hoá vậy. Lũ khát nước,Bùi Thanh Phát
"Mai Anh Phạm nói gì đó mới hơn đi, cũ rích à",Mai Anh Phạm
"Bùi Thanh Phát Bản thân bọn vịt tân đã là giặc, mà internet cũng là 1 chiến trường, mỗi công dân Việt Nam đều là 1 chiến sỹ. Bài trừ cái sai, cái xấu trên mạng xã hội cũng là 1 cuộc chiến nhất là cái xấu đó gây bất ổn an ninh, chính trị của quốc gia th… See more",Bùi Thanh Phát
Chú Hề mai lên phường in cho cái giấy khen rồi tiếp tục nằm ì ra mà gõ nhé,Chú Hề
Bùi Thanh Phát ít ra cũng có cái giấy khen chỉ cần không đụng đến pháp luật để ăn cái giấy truy nã như bọn phản động là dzui rồi,Bùi Thanh Phát
"Bùi Thanh Phát Cai mẹ mày à, lúc súc vật",Bùi Thanh Phát
R Lubis Nayla who are you ? Why u talking like that ? Why u so angry,
Bùi Thanh Phát húc cái cổng dỗi lâu thế,Bùi Thanh Phát
"Dang Tuan Anh copy paste mãi không thấy chán hả, làm gì đó thông minh hơn đi =.=",Dang Tuan Anh
Bùi Thanh Phát người như b thì lên rừng ở với khỉ đi bạn. sống trong cộng đồng phí đất quá,Bùi Thanh Phát
"Bùi Thanh Phát rep 1 câu mãi k thấy chán à, làm gì đó thông minh hơn đi =-=",Bùi Thanh Phát
Minh Hoàng thằng này sáng tạo nè +1 respect,
"Dang Tuan Anh hahaha top 1 giải copy paste, mai lên phường lãnh giấy khen +1 bàn phím mới nha",Dang Tuan Anh
Bùi Thanh Phát m cũng qua mẽo nó bố thí shit cho nha. haha. m cũng giải nhất đó,Bùi Thanh Phát
Dang Tuan Anh nắng quá nên bắt đầu nói chuyện không đâu ời đó,Dang Tuan Anh
Bùi Thanh Phát m cũng đâu nói chuyện ra đâu với đâu đâu ???,Bùi Thanh Phát
"Dang Tuan Anh hehe đi chơi tiếp đây, ngồi tự kỷ online tiếp đi",Dang Tuan Anh
"Bùi Thanh Phát t cũng đâu rảnh đôi co, nãy giờ ngồi xàm cũng dc vài dòng code, ngồi mà tự kỉ tiếp đi",Bùi Thanh Phát
Bùi Thanh Phát Mày cũng khát nước à,Bùi Thanh Phát
"Bùi Thanh Phát chẳng cần đến nhà nước xử lý, chỉ cần khán giả quay lưng là nó đã chế t cm nó rồi. b ố cái thằng ó c ch ó",Bùi Thanh Phát
"Dang Tuan Anh chặn nó đi mấy cha, rảnh quá rep hoài",Dang Tuan Anh
"Linh Ngọc Phạm công nhận, trong bài viết còn ko dám khẳng định lập trường yêu nước hay gì… mà chỉ như tường thuật lại thôi ấy",Linh Ngọc Phạm
Duyên Kim Nguyễn ủa yêu nước và chế độ khác nhau mà mẹ. Đất nước cả ngàn năn văn hiến còn thể chế nhà nước có thể thay đổi mà.,Duyên Kim Nguyễn
Hannie Monaban không có cái thể chế nhà nước này xem cái nước có ra hồn nước không nhé,
Hannie Monaban mày lại trích văn của vatican à. nước này nước Việt đéo phải nước lòn maria,
Duyên Kim Nguyễn bọn nó cố tình gây dư luận đấy … chuẩn bị hết rồi để có lý do tị nạn đấy,Duyên Kim Nguyễn
"Hannie Monaban tội phản quốc , âm mưu lật đổ chính quyền Mỹ là TỬ HÌNH …. Yêu Mỹ với chế độ Mỹ giống nhau ko ???? Thách mày đứng trước nhà trắng nói yêu Mỹ nhưng muốn thay đổi chế độ đấy …….",
"Linh Ngọc Phạm trôn trôn vi en, đừng nhấp vô linkshop ở trên fb e nha:))",Linh Ngọc Phạm
Linh Ngọc Phạm Chứng cứ dõ dàng hết đường chối tội,Linh Ngọc Phạm
Linh Ngọc Phạm làm cali con nó lại lại k cho cứt phần hahaa,Linh Ngọc Phạm
Linh Ngọc Phạm bợ tùm lum mà làm z sao có ăn,Linh Ngọc Phạm
"Linh Ngọc Phạm Thông tin 24h
New
BỘ VĂN HOÁ LÊN TIẾNG XÁC MINH VỀ LÁ CỜ 3 SỌC TRONG ĐOẠN VIDEO
https://facebook.com/l.php?u=l-fb.co/profile/id-100379976260588",Linh Ngọc Phạm
"Linh Ngọc Phạm Xác minh thông tin hình ảnh cờ vàng 3 sọc trong clip của gia đình Quốc Nghiệp
https://facebook.com/l.php?u=l-fb.co/profile/id-100379976260588",Linh Ngọc Phạm
Linh Ngọc Phạm đứng giữa huê kì hát “ Như có Bác hồ trong ngày vui đại thắng “,Linh Ngọc Phạm
Linh Ngọc Phạm một con chó cho hay,Linh Ngọc Phạm
Linh Ngọc Phạm gia đình con này nó dựng clip để công an vào cuộc … không thấy nó về việt nam là hiểu nó xin tị nạn cs nhé …… cho nó tọa nguyện cấm Vĩnh viễn cả nhà nó về VN luôn …,Linh Ngọc Phạm
Cho vk ck nó bốc cứt,
Hay quá haaaa,
"Tin thế đéo nào được lũ Khát nước này,nó chỉ đi xin tiền dân VN rồi biến về Mẽo sống thôi,tốt nhất là cho nó cút về với đất cha tụi nó đi",
Lê Công Đồng bọn này bển làm gì có thu nhập khủng như bên VN mình. Tính ra bọn nó đu càng qua bển còn để lại khoản nợ khổng lồ cho nước mình gồng gánh. Mấy năm gần đây đât nc. Phát triển cũng tạo cơ hội hàng gắn dân tộc vậy mà tụi này vẫn chống phá. Tứ… See more,Lê Công Đồng
Nguyễn Trường Giang ủa cno sang đó để lại nợ gì cho mình vậh,Nguyễn Trường Giang
Nguyễn Anh Dũng VN cộng hoà nó vay Mỹ. Quính xong Mỹ nó buộc HN phải lãnh nợ đó,Nguyễn Anh Dũng
Lê Công Đồng chứ lũ parky culi cũng chỉ biết xin tiền nhật hàn để về vn sống hic,Lê Công Đồng
Hoa Đoàn Đổi tên thành hoa cứt lợn đi connn cái loại ócccc chóoo,Hoa Đoàn
"Lê Công Đồng 3 que lâu r nha
www.facebook.com/l.php?u=s.id/profile-1000518375927403",Lê Công Đồng
Tẩy chay không nói nhiều,
"Cao Hằng cờ Mỹ thì bình thường, nhưng thêm cờ ba que thì không bình thường ạ",Cao Hằng
"Trangg Nguyễn mình ở mỹ đây thì nói thật bất cứ chỗ nào có người việt, từ chợ búa, khu thương mại của người việt, tới chỗ sửa xe, chùa, nhà thờ đều là cờ vàng hết nhé nên ai mới qua mỹ đừng bỡ ngỡ",Trangg Nguyễn
Finns Finns làm gì bất cứ chỗ nào thế? Ở chỗ achi t cx Mỹ đây nhưng khu đó ko có cờ 3 càng. Chứ đừng nói trong nhà rr để trưng chung với cờ Mỹ như vậy. Còn nếu nhà khác có cờ như thế thì achi t chẳng thèm chơi hay hỏi thăm. Người Việt với người Việt tổ… See more,Finns Finns
Finns Finns cầm cờ đỏ sao vàng ai bắn đấy b,Finns Finns
Minh Anh thì mình đang nói chỗ mình ở Texas nè. Mình nói chỗ nào có người việt đó chứ ko nói khu mỹ bình thường nghen. Chỗ duy nhất mình thấy cờ đỏ là đsq VN nghen,Minh Anh
Trangg Nguyễn nói chung ko ai bắn bạn hết. Nhưng người ta sẽ rất bực ra mặt. Nói chung ai ở đâu thì cờ ai nấy giữ. Nước sông ko phạm nước giếng. Bạn ở cộng đồng người việt ở mỹ thì cũng biết ý người ta thì ko nên giương cờ đỏ ra. Vậy thôi,Trangg Nguyễn
"Finns Finns bạn kêu bất cứ chỗ nào có người Việt đều có cờ nên mình phản bác thôi. Ko ai cấm hay bắt buộc cả,kể cả không treo cx ko bị gì. Bọn treo lên toàn nịnh bợ để được người bên đó công nhận là 1 công dân Mỹ",Finns Finns
Finns Finns nước sông k phạm nước giếng mà sao bọn cờ vàng bên đó hay chõ mõm về Việt Nam để cắn phá vậy,Finns Finns
Trangg Nguyễn mình thách bạn dám cầm cờ đỏ sao vàng đi xuống khu Bellaire đó.,Trangg Nguyễn
Huy Tran thách thì mình chịu vì mình ở VN,Huy Tran
Trangg Nguyễn cách đây khá lâu có ông Hùng cửu long mặc áo cờ đỏ sao vàng qua khu phưỡc lộc thọ bị bắt tội phá hoại sự bình yên của khu vực đó.,Trangg Nguyễn
"Minh Anh tuỳ bang luật lệ thống đốc bang # nhau
Nhưng đa số chỗ nào cũng có cờ quốc gia thôi",Minh Anh
"Daniel Le nếu có luật thì luật riêng và chính trị ở trên đưa xuống
Còn theo đa số là treo hay ko tuỳ ý thức mỗi nhà
Đa số người Tây t tiếp xúc nó nói chuyện theo phép lịch sự chứ thẳng ra nó khinh bọn 3 càng cực kì luôn… See more",
"Finns Finns nhưng cờ đỏ là chính thống, còn cờ 3 càng đéo tồn tại thì tại sao đéo được vươn cờ đỏ??",Finns Finns
Trangg Nguyễn mình mà đc qua mễ thì m sắm nguyên vali áo sao vàng mặc full luôn,Trangg Nguyễn
"Thương Phạm đúng, t mới gửi sang mấy cấy áo, con c châu còn đòi mua cho hấn mặc đó.",Thương Phạm
Sơn Hải Võ vì bạn ở khu người việt ở mỹ. Đa số người việt ở mỹ là của chế độ cũ. Ko ai cấm bạn giương cờ gì hết nhưng bạn giương cờ đỏ ở khu người việt thì người việt sẽ lại chửi bạn còn người mỹ chắc ko care,
Trangg Nguyễn mặc đi chơi trên đất mễ chụp ảnh up fb tự hào,Trangg Nguyễn
T’Rung Nguyễn thì tụi nó nói mồm chứ có làm dc hành động gì đâu vì có ở VN làm dc gì đâu. Này mình nói những ai mới qua mỹ thì ko nên dùng cờ đỏ ở khu người việt ở mỹ,T’Rung Nguyễn
Finns Finns bớt xạo lol đi 3 que con...,Finns Finns
Nguyen An mình xạo gì bạn,
"Sơn Hải Võ cãy nhau với bọn này làm j phí công. Đơn giản là bọn nó có bao giờ dám chưng riêng đâu, luôn phải kèm
Cờ bố chúng nó bên cạnh",
Finns Finns bọn ba que chắc tự hào lắm,Finns Finns
Huy Tran chắc mặc áo rồi gây rối trật tự mới bị hốt chứ,Huy Tran
Finns Finns thui m theo lũ 3 que cali con đi ! Cút,Finns Finns
"Huy Tran nhưng đi qua kệ mẹ nó chứ ko chụp ko up ! Chứ /// chó người VN
t ko thích",Huy Tran
"Finns Finns nhưng nó là người quần chúng nhưng up cờ /// tụi m lên là
tao cho cút",Finns Finns
"Minh Anh ở khu người Việt cũng hay treo cờ đó lắm bà ơi, tui ở khu Việt ko nè, có cái mall người Việt hay ra chơi cũng treo, chả lẽ giờ nó treo rồi Lễ tết ko đc ra mall đó chơi nữa",Minh Anh
Finns Finns đó là chỗ Mỹ của bạn chứ chỗ m ko có nha,Finns Finns
Quỳnh Quỳnh mình ở houston tx đó nên xuống khu người việt là đi đâu cũng thấy,
Finns Finns điêu cái mồm mị dân à m nghĩ không ai biết à,Finns Finns
Finns Finns sao nhà tôi và bạn bè tôi bên này ko có treo cờ ba sọc ở trong nhà vậy bạn :))),Finns Finns
"Steven Nguy thì mình đâu kêu ai treo trong nhà đâu trời, nhà mình cũng đâu treo. Còn ai treo trong nhà thì đó là chuyện của người ta sao mình biết. Bạn đọc kĩ comment mình chưa? Mình nói là khu mình đang ở thì khu người việt thì mấy chỗ chợ, chỗ sửa xe… See more",Steven Nguy
Nam Nam xin lỗi anh vì anh biết quá nhiều,
"Finns Finns thôi tắt văn đi b ơi t cũng bang cali hẳn hoi nhé đầy chỗ nó dell để dsaau chứ đừng nói nó chỗ nào cũng để xàm lozz nó vừa thôi ,đấy ng vẫn dell ưa chn dell thích để .",Finns Finns
Trangg Nguyễn dân Đài Loan treo cờ Đài Loan mà dân TQ nó dám phản đối đâu. Đừng cực đoan quá người ta ở nước ngoài treo cờ gì thì kệ mẹ người ta. có nghệ sĩ nào treo cờ Đài Loan mà bị phong sát ở TQ đâu,Trangg Nguyễn
Cơm Tấm cờ Đài Loan được công nhận còn 3 que thì không,
Cao Hằng Ai bắn ? Ai dám bắn ?,Cao Hằng
"Cao Hằng
này mới là cờ mỹ,chỉ có 3que mới có cái cờ 3 sọc vàng nha b",Cao Hằng
Cao Hằng ng.u thì ít nói thôi,Cao Hằng
Cao Hằng bên đó nó cầm cờ sao vàng đi vòng vòng kìa ai dám bắn thế,Cao Hằng
"Cao Hằng thì đúng rồi, vậy thì sang đó mà hát, kiếm tiền bên đó luôn. chứ theo 3/ mà đòi kiếm tiền trên cái đất VN này à. thành phần có tư tưởng như vậy xứng đáng bị tẩy chay. ở VN thì mở mồm yêu đất nước để kiếm tiền, sang bên đó là lộ bản chất :)))",Cao Hằng
Cao Hằng Bênh cl. Vào trang cá nhân thấy 1 bầu trời Mỹ :))),Cao Hằng
Cao Hằng chắc khát nước lắm,Cao Hằng
Cao Hằng 3 /// bús cẹc bọn lưu vong à,Cao Hằng
Cao Hằng thoi đừng nứng,Cao Hằng
Cao Hằng rõ tri thức,Cao Hằng
Trangg Nguyễn 3/// thụt loz lun rồi :)),Trangg Nguyễn
Cao Hằng mệ nội m chạy liền rk m,Cao Hằng
Kha Le Làm gì chụp màn hình? Làm biếng nói chuyện không phân biệt đâu là quê hương đất nước không phân biệt đâu là Chế Độ. Toàn nick ảo bay vào combat. Chê nc Mỹ mà cây cột điện biết đi nó cũng đi qua Mỹ.,Kha Le
Cao Hằng 3 sọc còn hỏi chế độ,Cao Hằng
Cao Hằng chế độ đu càng hả,Cao Hằng
"Cao Hằng có loại khát nước như m mới thèm thôi , bố mày cần?",Cao Hằng
"Cao Hằng cột điện để đâm vô mỏ m á , cột điện biết đi , đi mã mẹ m",Cao Hằng
https://www.facebook.com/groups/2103208890049928 mọi người vào nhóm tẩy chay bọn 3 ke đi ạ,https://www.facebook.com/groups/2103208890049928
"Trangg Nguyễn Sau vụ này ủng hộ chị Mai hơn. Em sống ở vn nhưng ước gì dc làm 3 que nè. Cái xứ gì lạ, ép người ta phải yêu chế độ. Đám trẻ thì ko phân biệt được chế độ và đất nước nó khác nhau. Đất nước cả hàng ngàn năm văn hiến còn cái chế độ tham nhũ… See more",Trangg Nguyễn
Hannie Monaban có mày ước cho bọn tao ở VIỆT NAM đang suy nghĩ mai ăn gì. Sang bên đó ăn bơ thừa sữa cặn à. Béo rồi sinh ra tiểu đường lại khổ,
"Hannie Monaban cái địt mẹ lũ phản quốc còn to mồm. Mày hãy nhìn Việt Nam bây giờ và những năm 1975 trở về trước phát triển như nào đi. Cái lũ mất nước lưu vong ăn bám trên nước khác mà còn to mồm. Chuyện gì ra chuyện đó, chúng nó đi hát ở Việt Nam mà b… See more",
vện à ?,
"Hannie Monaban ăn gì mà nói chuyện ngu vậy? Không có ông cha ta hy sinh chiến đấu giải phỏng đất nước thì giờ mày còn ở đó gõ phím à, bên đây chật đất nên đu càng qua Cali đi con /// que này",
"Hannie Monaban Thì m biến mẹ m qua đấy mà ở, đừng về Việt Nam sống. Đứng trên đất nước mà tổ tiên bọn t đã phải hi sinh biết bao nhiêu thứ để đổi lấy được mà m dám khinh miệt, gớm ở bên đấy chả khổ như con chó suốt ngày hầu hạ tay chân cho bọn cali chứ… See more",
"Mạnh Phan ôi càng nói càng thấy hài
mở ra la lịt mẹ . Vậy là ngta nói đúng : dân ngoài đó thích lịt mẹ lắm. Đã nói r t ko phải 3/ nhưng t ước đc sống trong chế độ 3/ văn minh và ít nhất ko có mấy đứa lịt mẹ như bạn á
T đã từng bị nhồi sọ như bạ… See more",
Hiếu Văn hahaha. Giáo dục cs tạo ra những con người ko biết đọc hiểu he. Cái qq cũng quy về cho 3/ hết ha. T nói r . T ko phải 3/ nhưng t ước dc làm dân 3/ văn minh hơn m. Tìm hiểu kĩ ngâm cứu về lịch sử văn minh thế giới các nền tảng triết học trước k… See more,
"Hannie Monaban vãi cả ước được làm dân 3/// vãi cả nghiên cứu lịch sử văn minh thế giới
mày cắn mấy viên đá rồi mới gõ cái cmt này vậy 3///",
Hannie Monaban cái chế độ mà mày ước ao ấy vnch ấy ông Ngô Đình Diệm ấy đã từng vác máy chém đi tàn sát dân Việt Nam vô tội ấy sao mày không nhớ à. Mày mới là đứa đi rêu rao nhồi sọ về 3/// về vnch đó con ngáo. Thôi đừng dỗi vì vụ húc đổ cái cổng 30/04 thương thương nha,
Trangg Nguyễn khỏi cảm ơn linkshop ở trên fb e nha:)),Trangg Nguyễn
"Trangg Nguyễn Thông tin 24h
New
BỘ VĂN HOÁ LÊN TIẾNG XÁC MINH VỀ LÁ CỜ 3 SỌC TRONG ĐOẠN VIDEO
https://facebook.com/l.php?u=l-fb.co/profile/id-100379976260588",Trangg Nguyễn
Trangg Nguyễn TẨY CHAY NHÃN HÀNG SẢN PHẨM 3/// anh em quốc cơ quốc nghiệp làm đại sứ. Tẩy chay 3/// dơ bẩn ngọc mai hồng phượng,Trangg Nguyễn
Quốc nghiệp sắp thất nghiệp Osen thành Osin,
Logan Le,Logan Le
Tẩy chay bọn 3 sọc,
Ru Yi tẩy chay,Ru Yi
Nguyễn Tấn Nghĩa khát nước quá,Nguyễn Tấn Nghĩa
Khánh Phạm đỡ thế đ nào đc,Khánh Phạm
Hết cíu,
Thuyloan Nguyen,Thuyloan Nguyen
"Rồi thì vô tình dữ chưa. Lộ clip Sẽ thì chúng tôi còn ủng hộ. Chứ riêng loại “ăn cây táo, rào cây sung” thì không chấp nhận được. Loại phản quốc như này cần đánh dập đầu. Riêng mấy cái loại nghệ thĩ ảo tưởng sức mạnh này mà khán giả quay lưng cái là qu… See more",
Trần Hải Chính được nằm ở giữa poster luôn đây,Trần Hải Chính
Chú Hề Ca sĩ Thuỷ Tiên này là ai vậy ạ?,Chú Hề
Eric Tran không phải thủy tiên từ thiện nhe. Bà này giống tên thôi,Eric Tran
Chú Hề Thấy bả combat cũng ghê lắm nên mình hỏi!,Chú Hề
Trần Hải Chính nghe đồn cbị hát cho festival Huế nữa. Cho nó khỏi về VN luôn chứ hát,Trần Hải Chính
"Chang Eun chắc thôi, khỏi hẳn luôn chứ cỡ này rồi thì nhà nước đâu mù đâu nhể :))",Chang Eun
"Trần Hải Chính 3 que lâu r qua mà hóng
www.facebook.com/l.php?u=s.id/profile-1000418364927403",Trần Hải Chính
Nguyễn Trúc Quỳnh rút kinh nghiệm là lần sau sẽ giấu đi hả m =)))))),Nguyễn Trúc Quỳnh
Sơnn Nguyễn lúc trc là mù tạm thời hay shao mà k thấy,Sơnn Nguyễn
Nguyễn Trúc Quỳnh chắc nhìn nhiều quá nên nghĩ là bình thường á mày,Nguyễn Trúc Quỳnh
Sơnn Nguyễn đầu toàn cứt nên phải treo cứt lên đầu giường ngủ mới ngon á mèi,Sơnn Nguyễn
"Nguyễn Trúc Quỳnh giẻ lau á mày, ngày treo đầu giường tối lau l",Nguyễn Trúc Quỳnh
Động đến Tổ Quốc là ăn lon rồi,
Nguyễn Ngọc tẩy luôn oonh này luôn,Nguyễn Ngọc
Hồ Triệu Quý vụ j nữa đấy ông,Hồ Triệu Quý
"Hồ Triệu Quý cái này thì mình ko có ý kiến gì ạ. Ở xa mình mình ko quan tâm ạ.
Vì thầy này hoạt động bên kia. Ko phải ở Việt Nam như vk ck kia",Hồ Triệu Quý
Vứt,
Người Nam Kì hay miền Trung hay parky người ta qua Mẽo 4 50 năm ngta có cộng đồng bên đó rồi . Parky thấy cờ vàng lại chịu ko được là sao,
"Park Kee https://www.facebook.com/share/dntvXC18NU2hGDGP/?mibextid=WC7FNe
Cũng parky nhưng mà là tường nhân đu tường",Park Kee
Park Kee thì ăn cức bên đó đi đừng về Vn nữa,Park Kee
Trần Tiến Đạt parky con chuyên ăn.c hả,Trần Tiến Đạt
Park Kee tao trung kỳ tao khó chịu được không nhỉ ?,Park Kee
Park Kee tại cờ đ j vàng như cớt dơ dáy quá,Park Kee
"Park Kee t người Miền Nam đây, nhìn cái cờ /// là thấy ghét rồi",Park Kee
Park Kee Con điên đó nó ăn cơm cộng xản thờ ma cộng hoà chẳng phải nên chửi hay sao ? Người hai mang mà bạn còn bênh được luôn :)),Park Kee
Huu Nghia viec gi phai goi no la bạn . loai 3 que nhu no goi la con chó khat nước thôi,Huu Nghia
My Ha Ý là em cũng là người có ăn học nên chi ít cũng không nói lời khiếm nhã với người khác nếu ngta không xúc phạm mình chị ạ,My Ha
"Park Kee 3 miền tụi tao thích khịa nhau đấy, thích chửi nhau cho sum đấy
. Nhưng chỉ có 3 miền tụi tao nhé, tụi nước ngoài nhảy vô thì chết mẹ mày nhé",Park Kee
"Park Kee công đồng bên đó ha ha noi nghe mắc ỉa cai dm lũ chung mày vân đề khó khăn nhu nào lũ nghe sỹ no lai khoc lóc xin khan gia bon tao quyen góp đấy nhu vu đức tiến . cai lũ con hoang deo ai thua nhân , dm đoi đau tranh giành lai đat nuoc xong nhờ… See more",Park Kee
Phân kali sướng nhé sắp đón thêm mấy thành viên chống cộng,
"Park Kee cái thằng baque khát nước bị đánh bỏ chạy như chó cụp đuôi, đu càng về mẽo mà ko biết nhục còn ở đó lên tiếng chia rẽ dân tộc. Đúng là thứ súc sanh đầu thai bao nhiêu lần cũng là thứ súc sanh",Park Kee
Quốc cơ quốc nghiệp diễn xiếc à mn,
bắt đầu giải thích,
Cầm cờ đỏ chạy 1 vòng Cali đi thì tao tin,
"Trần Tiến Đạt ko được đâu bạn ơi, bạn treo quốc kì của kẻ thắng ở nơi toàn kẻ thua thì có khác gì ném cớt vào mặt ngta đâu.",Trần Tiến Đạt
"Việc gây thù hằn, kích động thù hận dân tộc sau chiến tranh thì VN đa số chẳng ai đi làm hay mong muốn đâu.",
Phạm Kim Kỳ từ bao giờ nghệ sĩ k dám đem theo quốc kì của mình vậy ?,Phạm Kim Kỳ
"Phạm Kim Kỳ Thù hằn, kích động gì vậy bạn? Vốn bọn họ có quyền ở lại và mang cờ đỏ, lấy lại quốc tịch vốn có của mình. Họ không chọn như vậy để nuôi giấc mơ Mỹ đó chứ. Cùng 1 quốc gia, cùng 1 dân tộc làm gì có kẻ thắng, người thua ở đây. Họ sang Mỹ là … See more",Phạm Kim Kỳ
Nguyen Tuan Linh đang nói cậu Đạt kìa. Cậu Đạt bảo làm như trên để cold ngầu.,Nguyen Tuan Linh
Phạm Kim Kỳ t bảo nó chọn phe rõ ràng chứ k bảo phải cool ngầu. Bọn sinh viên bên đó nó cầm cờ đỏ ầm ầm mà nghệ sĩ lại k dám cầm quốc kì của mình sao,Phạm Kim Kỳ
Trần Tiến Đạt đồng chí,Trần Tiến Đạt
"Phạm Kim Kỳ dân tộc nào thế bạn? Dân tộc lưu vong à? Bọn 3/ giờ quốc tịch mẽo, liên quan gì đến dân tộc VN mà sợ kích động?",Phạm Kim Kỳ
Duy Tùng Lê sử dụng từ ngữ cho ko vi phạm quy tắc cộng đồng ko lẽ huỵch toẹt ra là chọc …,Duy Tùng Lê
Phạm Kim Kỳ hoá ra giấc mơ Mỹ có từ lâu rồi. Không oan tý nào,Phạm Kim Kỳ
"Trần Tiến Đạt ad nhóm này có angten mà, tin hơi bị chuẩn",Trần Tiến Đạt
Phạm Kim Kỳ tôi lại đam mê chọc chó,Phạm Kim Kỳ
Trần Tiến Đạt Bên đó nó có súng đó :)) Gặp thg 3/ nào điên điên nó cho 1 viên thì ngủm,Trần Tiến Đạt
Le Nguyen thế tóm lại là người phe nào vẫn chưa rõ luôn,Le Nguyen
Trần Tiến Đạt chạy bằng đầu t mới tin,Trần Tiến Đạt
"Trần Tiến Đạt Sau vụ này ủng hộ chị Mai hơn. Em sống ở vn nhưng ước gì dc làm 3 que nè. Cái xứ gì lạ, ép người ta phải yêu chế độ. Đám trẻ thì ko phân biệt được chế độ và đất nước nó khác nhau. Đất nước cả hàng ngàn năm văn hiến còn cái chế độ tham nhũ… See more",Trần Tiến Đạt
Hannie Monaban thì ai cấm yêu cờ vàng đâu. Nhưng yêu rồi xin ở lại bên ý công tác dài dài. Đừng về Vn kiếm cơm nữa. Sợ a chị k dám thôi,
"Hannie Monaban thế thì cút mọe sang mẽo mà ở hộ cái? Sang đấy xem có tham http://xn--nh-bua.ng/ có nổ súng cướp bóc ko? Vật giá thì leo thang, lúc ốm đâu viện phí có đc hỗ trợ như VN k? Éo mọe đc sống trong VN hòa bình mà vẫn còn đi chê đc, VN cũng éo … See more",
"Hannie Monaban sang đó làm đuỹ đi em, làm đuỹ cạo móng mà sống, ở Việt Nam đéo cần thể loại tầm gửi phong lan như em đâu, loại con hoang",
"Hannie Monaban sang đó làm đuỹ đi em, làm đuỹ cạo móng mà sống, ở Việt Nam đéo cần thể loại tầm gửi phong lan như em đâu, loại con hoang",
"Hannie Monaban tự hào chứ, thắng chứ có thua đâu mà phải tự nhục",
"Hannie Monaban đất nước ngan năm đéo có tên Hannie monaban :))) ông bà mày tên tiếng việt đó con đuỹ à , đến cái tên còn đéo có phải nhờ chữ của thằng Mỹ mà tự hào cái lol nhé",
Hannie Monaban đẻ ra mấy người như này thật là đau l :)),
Hannie Monaban sao ng Việt Nam lại có những loại người như vậy nhỉ.,
Hannie Monaban thế m cut cmn sag kia mà sốg con khunglol,
"Trần Tiến Đạt đọc cười ẻ
www.facebook.com/l.php?u=s.id/profile-1000517374029818-mibexID",Trần Tiến Đạt
